아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
X9iZ1VpK,상위 5%,24.11.14,아이보리,코코아,정사이즈예요,아주 만족해요,화면과 비슷해요,151cm,50kg,상의 55,"1+1이니 안 살 이유가 없죠 ??
화이트와 인디핑크를 사려다가 무채색의 옷이 너무 없어서 무난한 코코아를 샀는데 선택 나이스 .. 🤎
차분하면서도 분위기 있는 색감!! 딱 가을과 어울리는 🍂
재질은 진짜진짜진짜 보들보들 ㅠㅠ
숨 쉴 틈 없이 촥 달라붙는 게 아닌 적당히 달라붙되 핏은 살려주는 옷이라서 휘뚤마뚤 잘 입을 수 있어요!
이너티로는 물론, 봄가을부터 초겨울까지는 단독으로 입어도 매우 예쁜 티 😉

비침 정도 확인해주세요!!
소라색 속옷 입었을 때의 이 정도 비침!
검정색 같은 어두운 계열의 속옷을 입으면 당연 더 비치겠죠?
근데 전 이 정도 비침은 별 거 아니란 생각으로 잘 입습니다 유교걸이신 분들은 신중히 고민해보셔요!"
03ZU50mf,상위 15%,24.11.04,아이보리,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,비치긴하지만 이너로 입으려고 산거라서 딱 좋아요 너무 두꺼워도 부해보여서 잘안입는데 얇아서 따뜻하구 조습니당 ㅎㅎ 부드러운거 좋어하는데 부드러워서 더 좋아요 가격도 착해요 ~
IlNH9DOx,상위 1%,24.02.20,아이보리,코코아,정사이즈예요,아주 만족해요,화면보다 어두워요,170cm,55kg,상의 55,"촉감도 부드럽고 촉촉해서 좋아요!! 목부분이 얼굴넣을때 조금 낑기긴 하지만 이너로 입기 아주 좋슴니다 ㅎㅎㅎㅎ
코코아는 사진에있는 색감과 비슷해요!! 표기 사진보다 조금더 어두운것같아욥! 아이보리는 노란끼 쪼끔 가미됀 화이트같아요!! 당연히 속옷 비쳐서 이너로 입는게 좋습니당! 코코아는 색은 안비치지만 속옷 라인이 보이는 편이에요"
jn21***,,24.02.14,소라,블랙,작아요,보통이에요,화면보다 밝아요,156cm,45kg,상의 44,"소라색 목폴라티를 찾고 있었는데 제가 찾는 색이랑 여기 쇼핑몰이 가장 흡사해보여서 여기서 샀어요! 근데 화면보단 조금 더 채도있는 소라색인것 같습니다! 
 질은 아직 세탁을 안 해봐서 모르겠지만 보들보들하고 잘 늘어나는 재질이네요. 기대를 안 해서 그런가 생각보다 좋은 것 같아요! 
 사이즈는 저한텐 내복처럼 꽉 쪼이거나 그렇게 달라붙진 않아요! 다만 제가 팔이 짧은 편인데도 사진처럼 딱맞아요ㅠㅠ 저보다 키가 크거나 팔이 긴 분들은 짧을수도 있을 것 같네요 전 좀 긴걸 원했는데.. 쩝 아깝네유

그래도 가격이 저렴해서...가격대비 살만합니다!!"
WelCwzCn,,24.01.28,블랙,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,160cm,50kg,상의 55,"소재도 부들부들하고 이 가격이 1+1이라니 가성비 대박입니다 !! 다만 손이 저정도 비칠 정도의 두께이고 한겨울에 조끼 안에 입기에는 추울거 같아요~
가디건이나 티셔츠 안에 입는 용도로 좋을거 같습니다 ~"
R3LOKjuL,상위 15%,24.11.24,블랙,코코아,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,48kg,상의 55,얇고 부드러워서 이너로 입기에 너무 좋아요. 가격이 착해서 기대 안했는데 부드럽고 세탁했는데도 보풀이 일어나지 않았어요. 목도 적당히 신축성 좋아서 편하게 입을 수 있는 이너 목폴라 해요.
q8ocCghh,상위 15%,24.02.17,먹색,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,57kg,상의 66,"부들부들하고 잘 늘어나서 좋아요. 팔이 자꾸 올라가는게 좀 그렇긴 한데 그래도 짧진 않네요.
목을 너무 조이는 것 같은 느낌도 싫고 어정쩡한 느낌도 싫어하는데 둘다 아니라서 맘에 듭니다!"
qls6**,,24.01.08,블랙,연그레이,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,둘다 색깔은 예상한 그대로 왔고 재질도 좋고 부드러워요. 근데 생각한거보다 좀 더 얇더라구요! 검은색을 입었는데도 안에가 많이 비쳐요. 근데 안에 나시랑 입으면 또 괜찮아서 전 좋았어요!
V3WcV3g8,,23.12.28,아이보리,소라,정사이즈예요,아주 만족해요,화면보다 밝아요,164cm,63kg,상의 55,"소라,아이보리 구매했어요.
아이보리는 자연광에서도 속옷 비침 있어서 단독으로는 못입구요 소라색은 자연광 쎄게 받으면 2번 사진처럼 속옴 비침 있으니 참고하세용
소재가 부들부들 차르륵 소재라서 안에 이너로 입기 너무 좋아요! 겨울에 목티 없으면 안되는 목티처돌이라 이런 소재 너무 사랑합니다. 검정으로 두개 쟁여놔야겠어요ㅋ
다만 소라색은 옷 냄새가 좀 나네요 받자마자 손세탁 필"
BJsA0U8G,,23.12.21,아이보리,브라운,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"생각했던거보다 더 부들부들하고 좋아요 편하고 따뜻해서 잘 입고 다녀요 다만 저보다 체격이 더 있으시면 작을 수도 있을 것 같습니다 .. 구김이 심하긴한데 이너로 입을거라 상관없을 듯 해요
아이보리는 배꼽까지 그냥 비치고요 브라운은 속옷실루엣이 보이긴 해요"
