아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
0993,상위 10%,24.09.09,아이보리,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164cm,58kg,상의 66,"* 일단 제 몸은 크고 작은 옷을 입다보니 벌어지는 일 같은데, 이 옷도 겨드랑이가 좀 껴요
*핏 자체는 마음에 들어요. 적당한 넥라인 파임이 시원해보이게 해주고 승모근은 감싸줘서 부각이 덜하네요.
*순백색입니다.그래서 그런지 비침을 피할 수가 없네요.🥹 생각보다는 두껍고 탄탄한 원단인데도 비침이 꽤 심해서 완전 스킨톤 속옷만 입을 수 있을 것 같아요. 이 점이 좀 아쉬워요!
* 이너로 입기 좋은 옷 같아요.두께가 흐물한 이너보단 두껍고 보통 골지티보다는 얇아서 가을이나 초겨울에 아우터 안에 입기 좋을 것 같네요
*탄탄한 원단으로 질은 괜찮아 보입니다.
*다시 구매한다면 크림색이나 어두운 색으로 구입하지 않을까 싶습니다."
Ej28dvnH,상위 15%,24.03.02,아이보리,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,44kg,상의 44,"몸에 딱붙지 않고 약간 널널해서 군살도 숨겨지고
너무 흐물하지않은 탄탄한 신축성이라 오래입을 수 있을 것 같아요!
몬가 단독으로는 이너로 입기 좋을 거같고 홀터넥 나시같은거랑 입으니까 여리한 느낌이 좋아요
소매기장도 넉넉하게 내려오는게 여리함 더해줘서 넘 예쁘고 그냥 가격대비 완전 짱입니다!"
3vwD9t1e,상위 25%,24.02.26,크림,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"색감은 화면가 동일하고 얇은 감이 있지만 재질자체는 퀄리트있고 부드러워요
저는 피팅모델언니 핏이 안되는 몸이라 걱정하며 구매하긴했는데 넥라인도 부담되지 않고 상상이상으로 핏도 이뻐요-!
사진은 배에 힘줬을때랑 안줬을때로 넣어봤습니다"
jJSIRrZc,,24.01.17,크림,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,55kg,상의 55,"제가 다음날 바로 입어야해서 직진배송으로 시켰는데 이렇게 오염돼서 왔어요…ㅠ 그것도 배 중앙에..티가 많이 나요…그래서 핏도 이쁘고 마음에 들어서 환불 받고 싶었는데 바로 입어야해서(그럴려고 제가 하루배송으로 시킨거였는데,,ㅜ) 그냥 어쩔 수 없이 입었어요 ㅠ 진짜 너무 마음이 안 좋아요 ㅜ
일단 이거는 그냥 동네 나갈때 입고 같은 색상으로 또 사긴 할려고요"
SVc6Z4lw,상위 30%,25.01.01,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,48kg,상의 66,일단 적당히 파이고 적당히 붙는 이런 완벽한 티가 어디있을까요 ㅠㅠ 이너로 입으려고 샀는데 너무 마음에 들고 날씨 풀리면 단독으로 입어도 너무 핏이 이뻐서 괜찮을 거 같아요 정말 마음에 듭니다. 다른 색깔도 살 예정이에요. 간만에 쇼핑 성공해서 너무 기분이 좋습니다.
예쁜거만사,상위 5%,24.12.29,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,52kg,상의 55,"파임은 생각보다 깊은데 골지가 얇으면서 탄탄해서 목늘어남 별루 없어여
소매도 길어서 여리하고 안에 그냥 탑나시 입으면 조금 오프숄더처럼 입어두 예쁘더라구여
이너로 손이 자주가고 기본템으로 왕왕추천해요"
원이에오,상위 1%,24.12.21,아이보리,FREE,작아요,보통이에요,화면과 비슷해요,160cm,54kg,상의 66,"기본 이너티 필요해서 검색하다가 평이 좋아서 구매했어요 많이 파이지 않은 티를 원했는데 적당히 파임이 있어서 좋아요
얇아서 한겨울에는 단독으로 입기는 너무 춥고 껴입는 용으로 입어야 할 것 같아요!
팔뚝 부자인 분들는 조금 낄 수도 있을 것 같어요 ㅠㅠ 저는 살짝 끼네여,,,,😭
쿠폰 쓰고 저렴하게 구매해서 가성비 티로 만족합니다 ㅎㅎ"
토깽스,상위 5%,24.12.07,아이보리,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,52kg,상의 55,"제가 가지고 있는 긴팔 이너중에 제일 좋아요 !! 넥라인 예쁘게 파져있고 너무 붙지도 않고 너무 널널하지도 않은 딱 적당한 핏에 얇지 않고 적당히 탄탄해요 잘 안 늘어날 것 같아요 !! 
검정 브라 했는데 비침 확인하세요! 별로 심하지 않은듯 색 맞춰입으면 아예 안 비칠 것 같아요 이너로도 좋고 단독으로 입을수도 있겠어요👍🏻🤍"
Y77Uq9b7,상위 10%,24.12.02,아이보리,FREE,정사이즈예요,보통이에요,화면과 비슷해요,158cm,50kg,상의 44,"핏 예쁜 기본 긴팔티 찾는다면 무조건 이거 사세요우… 
기본티 필요해서 찾다가 가성비 엄청난 것 같아서 리뷰 믿고 구매해봤습니다 
요즘 살쪄서 기본티 잘 안입는데 핏 진짜…👍🏾👍🏾
넥라인도 딱 예쁘게 파여 있어서 넘흐조아요… 다른 색도 살거에요"
냥냐옹,상위 25%,24.11.27,소라,FREE,정사이즈예요,보통이에요,화면과 비슷해요,158cm,58kg,상의 55,"소라색 샀는데.. 뮤트한 소라가 아니라 쨍한 하늘색 느낌이 강해요! 옷 자체는 쫀쫀해서 좋은데.. 날씨가 갑자기 엄청 추워져버려서,, 봄에 입어야겠어요! 색상도 가을보단 봄에 잘어울려요"
