아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
달띵잉,,24.09.09,스퍼그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,48kg,상의 44,"상체 마른 편인데도 겨드랑이쪽 팔 부분이 살짝 불편쓰한 느낌이에요 막 엄청 쨍기는 느낌이 아니라 음,, 설명하기 어렵네요.
그치만 결론적으로 만족합니다! 가격대 저렴하고, 옷 소재도 탄탄하고, 색상도 맘에 들어요. 골지라서 저렴해 보이지도 않아요
오늘도 출근룩으로 입었습니당~ 잘 입을게요ㅎㅎ"
kje9***,상위 15%,24.03.26,메란지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,52kg,상의 44,"진짜 너무 만족스러워서 눈물이 다 나네요🥹🥹
기존에 가지고 있던 흰티랑 레이어드할 회색티를 아주 오랫동안 찾아 해맸는데요ㅠ 딱 제가 바라던 느낌을 130% 구현해서 진짜 입자마자 비명 질렀어요
어깨선 너무 적절하고 핏이 진짜 예뻐요... 그래서인지 레이어드해도 예쁘고 그냥 단독으로 입어도 좋네요!! 오랫동안 입을 수 있을 만한 퀄리티라서 너무 만족합니다 진짜 최고에요 색깔별로 더살게요...ㅠㅠ"
XZGcQfYc,상위 10%,24.03.14,스퍼그레이,FREE,정사이즈예요,보통이에요,화면보다 밝아요,160cm,48kg,상의 44,핏은 소매를 당겨입을 때 이쁜거같고 소재 탄탄한 편이고 휘뚤마뚤 잘 입을거같아요. 근데 색상이 생각보다 더 웜해요. 뮤트한 소라색을 기대했는데 실제로 보면 연한 노란 필터를 깐 듯한 색상이어서 좀 아쉬웠어요. 그리고 양 소매 모두 실밥이 엄청 많았어요. 가격 생각해서 그냥 정리해서 입었습니다!
BIEYBMJJ,상위 5%,24.12.23,아이보리,FREE,작아요,아주 만족해요,화면과 비슷해요,163cm,48kg,상의 44,"안에 입을 레이어드 용도로 구매했어요
입어보니깐 생각보다 조이더라고요 역시 모델분이 개말라였던 것이였습니다,, 글고 생각보다 길이가 좀 짧았어용 그래도 기본티로 질은 좋아서 후회하지않습니다!"
여름이에용,상위 1%,24.12.20,스퍼그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,55kg,상의 55,색감이 미쳤어요 기존에 가지고 있던 흰 티랑 매치하려고 컬러들 구경하는데 눈에 딱!!! 띄는게 있어서 고민없이 바로 질렀구 후회안합니다~~ㅎㅎ 겨드랑이 부분이 타이트하다는 후기처럼 약간의 불편함이 있으나 소재나 가격 고려하면 이정도는 괜찮다고 봐요 ㅎㅎ 골지 재질이 톡톡해서 단독으로도 손색없겠어요! 다음에 또 다른 컬러 사러와야지~~~
으니쨩리뷰,탑리뷰어,24.12.19,아이보리,FREE,정사이즈예요,보통이에요,화면과 비슷해요,153cm,52kg,상의 55,"<구매이유>
이너티로 입기 위하여 구매하였어요 

<색상>
깔끔한 화이트 에요

<체형 핏>
153cm 52키로

<디자인>
깔끔하고 팔 길이도 제법 길어요

<후기>
착용감은 막 부드럽거나 하진 않아도 까끌거림 없이 편해요.
이너티로 입으려고 목이 조금 높은 거로 고르다가 주문하게 되었어요.
사진과 같이 가디건과 같이 입으면 목하고 소매 부분이 살짝 보여서 포인트로 좋아요:
두께는 사진에 보시면 속옷 검정으로 입었을때 비치는 만큼의 두께에요, 
레이어드로 해서 입다보니 더 따뜻하고 겨울 내내 활용 잘할것 같아요.

추천드려요~"
풉풉,상위 20%,24.12.19,블랙,FREE,작아요,아주 만족해요,화면과 비슷해요,158cm,52kg,상의 44,"(착용샷은 한 번 빨고 입은 거 입니다)
트위드 자켓 안에 이너로 입으려고 구매했어요.
마른분 아닌 이상 널널한 핏은 아니에요. 단독보다는 이너로 입기 좋은 사이즈 같아요. 퀄리티는 만족합니다.
개인적으로는 빨래 후 아주 약간 줄어든느낌이 있었으나 골지 옷 자체가 어쩔수없는거 같아요.
길이는 제기준 골반정도까지 왔어요. 넣입하기도 빼입하기에 애매한 기장이 아니라 자기 취향에 따라 하기 좋은 길이라 좋았어요 
난 자켓안에 이너로 입을 옷이 필요하다.하면 추천드려요. 
아 그리고 어깨라인이 예뻐보여요."
문메모,탑리뷰어,24.12.18,소라,FREE,정사이즈예요,보통이에요,화면과 비슷해요,160cm,50kg,상의 44,"🏷️ 161cm 50kg / 약간 마른편 / 웨이브 체형 / 봄웜
불편하지 않지만 어느정도 핏되는 티셔츠였어요

내복같아 보이지 않고 단독으로도 착용하기 좋은
티셔츠 찾고있었는데 골지라 단조롭지 않아서
픽했는데 만족스러워요 ㅎㅎ

▫️골지 + 쫀쫀해서 몸매가 좀 예뻐보임
▫️웜톤도 가능한 소라색임 약간 노랑빛이 돈다해야하나
▫️팔 기장이며 허리기장 다 애매하지 않아서 만족 
▫️촉감도 좋아서 안에 나시 입을 필요없음!
▫️갠적으로 네이비랑 제일 잘 어울림!
▫️네이비 하의 있다면 같이 매치해보는 거 추천💙

📍가격대비 퀄리티 좋도 원단도 넘 얇지않아서 
가을 겨울철 이너로 딱 좋아요 추천입니다 !"
v4IcN6oZ,상위 15%,24.12.07,스퍼그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,54kg,상의 55,"(색) 다른 리뷰에서 보긴 했다만, 확실히 착샷보다 민트빛이 꽤나 돕니다. 그레이보단 옅은 민트 느낌이에요. 그래서 뭔가 매치 가능한 옷 색이 그리 다양하진 않지만.. 화이트가 종종 부담스러운 옷에 입음 될 것 같아요. 

(핏) 아주 맘애 듭니다. 딱 제가 생각한 붙는 골지인데, 재질이 톡톡해서 하나만 입어도 안 부담스러워요. 4번째 사진 보시면 어깨가 좀 좁게 나온 것 같긴 해요. 그리고 크롭까지는 아닌데 손 들면 배 보이는 정도의 길이이요. 

(재질, 퀄리티) 소매 마감, 어깨 약간 뜨는 거 빼고는 매우 맘에 듭니다. 톡톡하고, 잘 변형 없을 것 같아요. 예전에 골지 티 샀다가 너무 얇고 흐물거려서 걱정했거든요 ㅠ 그래서 다른 색으로도 구매할 예정입니다~~ 강추요!"
Q4QMt731,상위 5%,24.12.04,코랄핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,50kg,상의 55,"이너로 항상 하얀색 아님 검정색만 입다가 색다르게 핑크색 입고 싶어서 샀는데 단독으로 입기도 괜찮을 정도로 핏이 예쁘네요 
피부에 닿는 질감도 부드러워서 좋아요
다만 목 부분이 앞보다 뒤에 더 여유로운 느낌? 그래서 입고 있다보면 앞쪽 목 선이 자꾸 올라와서 약간 답답한 느낌을 주는거 빼면 만족합니다!!"
