아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
에구구,상위 5%,24.12.01,매트베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,154cm,40kg,상의 44,"매트베이지로 구매했습니다!
구매한진 꽤 됐는데, 가을에 잘 입었어요ㅎㅎ
지금은 날씨가 추워져서 지금입기엔 좀 추울것 같네요!

기장감 딱 적당해서 좋았구요. 재질 퀄리티도 좋은거 같아서 한철만 입을 옷은 아닌거 같습니당
4번째 사진이 실물 색감으로 맞게 보정한 사진인데
약간 회베이지에 가깝습니다."
eGzKsjfq,상위 10%,24.11.27,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,150cm,41kg,상의 44,"같은 가격대의 이너용 티셔츠 중에 제일 질 좋은 것 같아요! 다른 제품들은 후기 보면 그 가격에도 사기 아까운 몇천원짜리 보세ㅆㄹㄱ 같은데 이건 후기 리뷰가 괜찮고 마감도 괜찮아보여서 샀어요!
기대했던 것보다도 더 목 부분이 신축성이 없어서(머리 큰 사람들은 힘들 수도 있을 거 같아요 화장하기 전에 입으세요) 늘어날 걱정 없을 거 같아요
그리고 검정색 브라 입었는데 생각보다 비침이 덜하네요? 이건 엄청 장점인 거 같아요!
면도 괜찮고 딱 시중에 파는(보세브랜드) 이너 중에 제일 질 좋은 거 같아요 다들 거적대기 사지 마시고 요거 사세요~
후기에 보이는 목부분 들뜸? 그런 거 저는 없어서 다행이었어요! 요건 약간 복불복인듯합니다"
뀨룽,상위 10%,24.11.23,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,47kg,상의 55,"기본 화이트 색입니다
이 옷을 선택한 이유는 이너티로 입을 예정이긴
하지만 목부분이 잘 안늘어날것 같은 옷으로
골랐어요 소재도 일반면이랑은 약간 다릅니다
품은 넉넉한편이구 팔은 좀 길게 나왔더라구요
손 반을 덮습니다
이너로 입을 땐 접고 입어주고 있어요
세탁해도 안늘어나길 빌며 잘입을게요!"
RDpg0hEs,상위 5%,24.11.16,매트베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,53kg,상의 55,"재질 좋고 짱짱해요 리뷰가 왜 좋은지 알겠어요
흔히 생각하는 티셔츠 재질과 비교했을 때는 이 티는 코팅되어 있는 느낌이 듭니다. 그래서 더 오래갈 것 같아요
매트베이지 먼지 같을까 고민했는데 흔하지 않으면서도 가을소프트에게 찰떡인 색깔이라 골랐습니다.

여성스러운 티는 아니고 라인 안 잡혀있는 중성적인 티입니다. 저는 안 붙고 널널한 게 좋아서 마음에 들어요
기본템으로 강추해요 라운드 말고 브이넥도 있으면 사고 싶네요.

색깔 잘 가늠할 수 있도록 확대샷도 첨부하였습니다
소프트톤에게 찰떡인 귀여운(?) 먼지 색깔이에요"
yeju*****,상위 5%,24.11.11,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,60kg,상의 66,"데일리로 무난하게 입고다닐 옷을 찾다가 구매했습니다
일단 디자인이랑 핏은 사진에서 보던 거랑 비슷하고요 아쉬운 점은 제가 키가 작고 팔이 짧은 편이라 그런지 팔이 생각보다 좀 길더라고요 손목까지 덮는 정도? 아 그리고 소재가 까끌까끌한 건 아닌데 생각만큼 부드럽진 않고 저는 사진으로 제품을 봤을 때 면 같은 재질로 생각했는데 폴리에 가까운 느낌.. 광이 살짝 있는 것도 생각하던 거랑 조금 달랐어요 그래도 핏이 괜찮아서 그냥 입고 다니려고요"
aShvJk8A,상위 15%,24.10.27,매트베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,50kg,상의 55,보풀이 잘 일어날 것 같지 않은 탄탄한 재질입니다. 오래 입을 이너를 찾고 있었는데 퀄리티가 좋아요. 올해 넘기면 또 재구매할 것 같아요. 라벨링 마감은 더 신경써주시면 좋았을 것 같아요.
nRe8YhFE,상위 15%,24.10.25,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,58kg,상의 66,"기본티가 은근 마음에 드는거 찾기 힘든데 정말 마음에 듭니다. 

적당한 곡률의 넥라인, 너무 얇지도 않고 두껍지도 않은 두께감, 팔기장,넣입 빼입 모두 가능한 길이, 몸에 짝 달라붙지도 않고 어벙벙하지도 않은 품, 면 특유의 부드러운 촉감.. 이 모든 부분에서 만족스러워요. 네이밍에 '질 좋은' 넣은거 인정합니다. 

한 가지 단점이 있다면 색상이 좀더 다앵했음 한다는거..? 여러벌 사고 싶은데 다른 색들은 좀 애매해보여서요. 제발 컬러 조금만 더 다양하게 뽑아주세요🙏
색상 마음에 든다면 일단 구매해 보십쇼! 적극 추천드려요"
OeKIR8Rp,상위 30%,24.11.19,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,60kg,상의 66,"이거 정말 굳이에여 아니 개좋아요
목 정말 안 늘어나는 그런 티구요
아니 다 떠나서 재질도 좋고 기장감 두께감 저에게 완벽해요 저는 이걸 주변인들에게 전파했어요 이집 최고에요
대성공 옷❤️‍🔥"
0JyejrgI,상위 5%,24.10.11,연브라운,,정사이즈예요,아주 만족해요,화면보다 밝아요,160cm,53kg,상의 55,"구매 이유
반팔 버전 입고서 재질이 괜찮아서 재구매 했어요.

소재
얇지만 탄탄해요. 스판 없는 레깅스 느낌이 살짝 나는데 보풀 없이 오래 입을 수 있을 것 같아요.

핏
적당한 핏이에요. 너무 붙지도, 너무 크지도 않아서 휘뚜루 마뚜루 매치하기 좋아요. 어디 모난 곳도 없고 부각되는 곳도 없어서 좋아요.

색감
진한 코코아 색깔이에요. 생각보다 진했어요."
ckst******,상위 10%,24.10.11,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,56kg,상의 55,"진짜 이거 미쳤어요
저 티만 진짜 여러벌 사봤어여ㅜㅜ 
비싸고 싼거 다사봤는데 직장에서 긴팔티입다보면 보풀일어나거나 건조기 돌리면 줄어드는건 덤.. 가을 겨울 안에 입다보면 겨울에는 늘 긴팔티가 항상 필요한데.. 
얘는 보풀놉 건조기 절대 안쪼그라들며 목아지 라인도 아주우수하며 와ㅋㅋㅋ진짜 무조건 쟁겨두려합니다 
하얀 검정 샀는데 흰티 일본여행때 가져갔다가 촉감이 너무 좋아서 빨아서 입을정도였습니다 
사장님 사랑합니다👏👏👏👏👏👏"
wCtyAeRI,상위 10%,24.10.05,챠콜,,생각보다 커요,아주 만족해요,화면과 비슷해요,161cm,55kg,상의 66,"흑청바지에 입을려고 구매
핏 완전만족 원단 몸에닿는 느낌도 만족
색감도 이정도면 만족 기장감 만족
오늘날씨에 요거 하나만 입고 외출 딱 좋음
두가시색 샀는데
오늘 연브라운 입고 사촌 발레 콩클보러 갔다옴"
wCtyAeRI,상위 10%,24.10.05,연브라운,,생각보다 커요,아주 만족해요,화면과 비슷해요,161cm,55kg,상의 66,"색도 이쁘게 핏도 크지도 작지도않게 이쁘게 딱 이쁜 기장 스타일러 돌리고 오늘 사촌 발레 콩클있어서 입고 외출
오늘 날씨에 하나만 입고 나가니까 가을분위기 나고 덥지않고 저녁에도 춥지않고 딱좋았다"
JgP6og0z,,24.09.29,포그블루,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,상의 66,,저희집은 건조기에 살아남는 놈들만 남아서 이 제품 건조기 돌릴 수 있게 제작됐다길래 사봤어용 색감은 마지막 사진보다 조금 더 채도 있어요! 데일리하게 아무 바지에나 매치하기 좋구 가격대비 좋은 것 같아요! 어두운 컬러도 함 사보려구여 목 안늘어날것 같고 두께감이 가볍긴 해서 몇번 세탁해봐야 보풀 생길지 아닐지 알 수 있을듯~
tJjxo5Ek,상위 15%,24.09.20,매트베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,54kg,상의 55,이제 날이 선선해질테니 기본기 장만했습니다~ 리뷰들보니까 건조기 돌려도 말짱하다는 후기들 많은데 새가슴이라서 건조기는... 최대한 피해보려구요 ㅋㅋ 넥라인 탄탄하고 색감도 너무 어둡지않고 딱이네요!!!!
q4KMrlr7,상위 15%,24.12.05,챠콜,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,59kg,상의 55,"저번에 검정 브라운 사고 만족해서 다른 색 또 샀어요
다른 기본티보다 핏 무난하고 좋아하는 재질(좀더 탄탄한데 부한 감은 덜한) 이라 사게 되네오
뮤트톤 더 만들어주삼요"
060NaH2D,상위 10%,24.12.04,블랙,,생각보다 커요,보통이에요,화면과 비슷해요,,,,"믿고사는 슬로우 메이드
증말루 재질도 좋고 핏도 이쁩니다
색감도 맘에들어용
정말 맘에들어요 색 별로 쟁이고싶습니다!
네이비 블랙 다샀슈"
tMNfKGBq,상위 10%,24.11.13,매트베이지,,정사이즈예요,보통이에요,화면과 비슷해요,166cm,57kg,상의 66,"소재가 늘어날것같지않아요. 탄탄합니다. 
생각보다 얇지만, 무난한 컬러와 늘어나지않을것같은 소재여서 만족스럽습니다. 
자켓안에 자주 입을것같아요."
FrOUbYpB,상위 15%,24.11.08,매트베이지,,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"기본티 사실분들 , 바로 여기입니다!!
목도 안늘어날것같고 한철 입을소재가 아니에요.
너무 핏되지않고 적당히 루즈해서 
휘뚜루마뚜루 잘입을것같아요.
유명한 이유가있네요~🤍"
FrOUbYpB,상위 15%,24.11.08,블랙,,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"기본티 사실분들 , 바로 여기입니다!!
목도 안늘어날것같고 한철 입을소재가 아니에요.
너무 핏되지않고 적당히 루즈해서 
휘뚜루마뚜루 잘입을것같아요.
유명한 이유가있네요~🤍"
FrOUbYpB,상위 15%,24.11.08,포그블루,,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"기본티 사실분들 , 바로 여기입니다!!
목도 안늘어날것같고 한철 입을소재가 아니에요.
너무 핏되지않고 적당히 루즈해서 
휘뚜루마뚜루 잘입을것같아요.
유명한 이유가있네요~🤍"
FrOUbYpB,상위 15%,24.11.08,아이보리,,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"기본티 사실분들 , 바로 여기입니다!!
목도 안늘어날것같고 한철 입을소재가 아니에요.
너무 핏되지않고 적당히 루즈해서 
휘뚜루마뚜루 잘입을것같아요.
유명한 이유가있네요~🤍"
dT531okf,상위 25%,24.10.27,챠콜,,정사이즈예요,보통이에요,화면과 비슷해요,,,,기본템으로 입기 좋아요 적당히 여유로워서 이너로 따입니다 박음질 상태도 가격대비 좋은편이라고 생각되네요 빨래한번 해봐야 더 정확할거같아요
4ZiRK4tH,상위 5%,25.01.13,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,46kg,상의 44,"헉 평소에 기본티 잘 사지 않는 편이라 별 기대안했는데 한 달 내내 너무너무 잘 입고 다니고 있어요ㅠㅠ💗
누가 입어도 핏 진짜 괜찮을 느낌!
길이도 허리까지 적당해서 어벌어벌한 느낌도 하나도 없고 와중에 팔 떨어지는 느낌은 여리여리해서
단독으로 입고 중요한 자리 나가도 손색없고, 위에 가디건 하나 걸쳐입고 나가기도 좋아요. 최고!!!🥺"
jusu****,상위 15%,25.01.08,포그블루,,생각보다 커요,아주 만족해요,화면과 비슷해요,155cm,54kg,상의 66,재질도 좋고 핏도 넉넉해서 좋은데 안쪽 실밥처리가 조금 아쉽기는해요! 그래도 가격 생각하면 정말 마음에 들어요. 사진에서 색이 많이 칙칙하게 나왔는데 실제 색은 다른 리뷰 참고해주시면 좋을 것 깉아요! 예쁜 하늘색입니다
N5S0S1RQ,상위 10%,25.01.04,연브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,64kg,상의 66,"기본티 맛집 슬로우앤드. 여름 반팔티도 너무 마음에 들아서 4컬러나 구매했었는데, 긴팔도 역시나 원단 톡톡하고 좋네요. :) 배송도 빠르고 최고에요. 66반 사이즈
통통체형도 잘 맞아요."
tidw****,상위 1%,25.01.01,매트베이지,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,53kg,상의 55,이너용 긴팔 티가 마음에 드는 게 없어서 찾다가 후기가 좋아서 4개나 구매했어요 세탁하고 후기 쓰려고 세탁하고 건**지 했는데 리뷰대로 늘어짐 없고 목부분 탄탄하고 재질도 까끌까끌하지 않고 봄-겨울까지 잘 입을듯해요 소매부분 마감이 살짝 아쉽지만 이 가격대에서는 매우 만족 ◡̈
