아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
tidw****,상위 1%,25.01.01,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,53kg,상의 55,이너용 긴팔 티가 마음에 드는 게 없어서 찾다가 후기가 좋아서 4개나 구매했어요 세탁하고 후기 쓰려고 세탁하고 건**지 했는데 리뷰대로 늘어짐 없고 목부분 탄탄하고 재질도 까끌까끌하지 않고 봄-겨울까지 잘 입을듯해요 소매부분 마감이 살짝 아쉽지만 이 가격대에서는 매우 만족 ◡̈
tidw****,상위 1%,25.01.01,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,53kg,상의 55,이너용 긴팔 티가 마음에 드는 게 없어서 찾다가 후기가 좋아서 4개나 구매했어요 세탁하고 후기 쓰려고 세탁하고 건**지 했는데 리뷰대로 늘어짐 없고 목부분 탄탄하고 재질도 까끌까끌하지 않고 봄-겨울까지 잘 입을듯해요 소매부분 마감이 살짝 아쉽지만 이 가격대에서는 매우 만족 ◡̈
tidw****,상위 1%,25.01.01,포그블루,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,53kg,상의 55,이너용 긴팔 티가 마음에 드는 게 없어서 찾다가 후기가 좋아서 4개나 구매했어요 세탁하고 후기 쓰려고 세탁하고 건**지 했는데 리뷰대로 늘어짐 없고 목부분 탄탄하고 재질도 까끌까끌하지 않고 봄-겨울까지 잘 입을듯해요 소매부분 마감이 살짝 아쉽지만 이 가격대에서는 매우 만족 ◡̈
gaxkJu2X,상위 5%,24.12.28,블랙,,정사이즈예요,아주 만족해요,화면보다 어두워요,163cm,60kg,상의 55,"화면보다 훨씬어둡고, 먼지도 잘 안붙어요. 질감도 보들거리고 가벼워요. 소매가 살짝 넓어서 예쁘고, 전체 길이도 적당해서 바지에 넣어 입기도 좋아요. 어깨라인도 딱 맞아 떨어져서 좋아요!"
f3SVEHRs,상위 15%,24.12.27,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,52kg,상의 44,"화면이랑 비슷해요. 이너로 입을 게 필요해서 구매했는데, 전체적인 퀄리티나 그런 건 만족하지만 목 있는 부분이 너무 애매하게 뜬다고 해야 하나요.. 좀 안 예쁘게 헐렁한 느낌이예요."
4wlYLqn8,상위 5%,24.12.19,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,163cm,53kg,상의 66,"여름에 반팔도 잘 입었어서 긴팔 블랙 샀는데 
긴팔도 괜찮은거같아 아이보리로 재구매했어요! 
짱짱하다고 해서 사면 한두번 세탁 후 목 늘어나고 그러길래 짜증났는데 슬로우앤드 기본티는 그런게 없더라구요! 앞으로 깔별로 항상 쟁여둬야겠어요~"
MFNaiIUm,상위 15%,24.12.10,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,163cm,50kg,상의 55,"재질이 생각했던 거랑은 달라요
보들보들 유연한 타입은 아니구 매끈매끈 탄탄해요
보풀 걱정 없이 오래 입을 수 있을 것 같긴 하네요
근데 옷에 붙어있는 slowmood 라벨 제거하려다가 옷에 빵꾸날 뻔 해서 포기했어요ㅋㅋㅋㅋ목 뒤가 거슬리는게 싫어서 모든 옷에 붙어있는 라벨을 떼는 편인데 이건 안되네요…ㅠㅠ"
V0l2CGcc,상위 25%,24.12.10,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,53kg,상의 55,"세상에,,,,😱5년 전에 샀던 슬앤 기본티를 아직 입고 있능 사람으로써 또 기본티가 필요해서 다시 맛집으로 찾아왔어요!! 역시는 역시였고 소재는 기본으로 좋고 맨살에 입어도 이물감 없고 목 늘어남은 사진보몀 아시지만 절대 없어요~~ 옷 입고 벗을때 화장 묻는거 싫어서 목 주몀을 쫙쫙 늘리면서 입고 벗는데 사진처럼 멀~쩡 합니다ㅋㅋㅋㅋ신기합니다ㅋㅋ160cm 53kg에 핏도 기본이라 니트 가디건 어디든 다 받쳐입어요,, 색감도 너무 흰색도 아니고 그렇다고 베이지도 아닌 고급진 아이보리입니다!!🤍너무 길지도 짧지도 않은 정핏! 너무 두꺼운 기본티는 또 안에 레이어드 하면 너무 부해보여서 덩치가 커보여서 안되거등요~~ㅎㅎ 이렇게 퀄리티 좋으면 자주 못와여~~~ 🥹👍🏻👍🏻"
bxAPkslN,상위 5%,24.12.07,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,64kg,상의 66,"완전 기본티로 딱이에요
가디건이나 니트 이너로 주로 입고있습니당
단독으로 입어도 달라붙지 않고 적당히 여유있어서 핏이 이뻐요. 
목부분 마감이 탄탄해서 늘어짐 없고
건조기 막돌려도 절대 안줄어듭니다ㅋㅋ
다른색도 샀는데 대만족이에요"
bxAPkslN,상위 5%,24.12.07,매트베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,64kg,상의 66,"완전 기본티로 딱이에요
가디건이나 니트 이너로 주로 입고있습니당
단독으로 입어도 달라붙지 않고 적당히 여유있어서 핏이 이뻐요. 이것만 3벌 있네요ㅎㅎ
목부분 마감이 탄탄해서 늘어짐 없고
건조기 막돌려도 절대 안줄어듭니다ㅋㅋ
다른색도 샀는데 대만족이에요"
bxAPkslN,상위 5%,24.12.07,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,64kg,상의 66,"완전 기본티로 딱이에요
가디건이나 니트 이너로 주로 입고있습니당
단독으로 입어도 달라붙지 않고 적당히 여유있어서 핏이 이뻐요
같은색으로 여러벌 살 걸 그랬어요
목부분 마감이 탄탄해서 늘어짐 없고
건조기 막돌려도 절대 안줄어듭니다ㅋㅋ
다른색도 샀는데 대만족이에요"
yr2zyxPF,,24.12.05,매트베이지,,생각보다 커요,아주 만족해요,화면과 비슷해요,163cm,47kg,,생각보다 널널해서 너무 좋고 색깔도 너무 튀지도 않고 안비쳐서 좋아요 딱 달라붙는 옷 안 좋아해서 속에 받혀 입으려고 샀는데 그냥 이 티만 입어도 괜찮을 정도로 좋아요 옷 보자마자 엄마가 탐내요
shQoxQPE,상위 30%,24.12.05,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,,,"좋아요
전에 입어봤는데
질 좋아서
하나 추가 구매했어요
키가 작아서 그런가 팔길이가 조금 길게 느껴질수는 있는데
그냥 소매 접어입으니까 더 스타일리쉬해요
가디건 이너로 입었더니 실내가 훈훈해서 긍가 땀나네요 ㅋㅋㅋ"
ㅁㄴㅇㄹㄹㄹㄹ,상위 5%,24.12.04,매트베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,58kg,상의 55,소프트 유넥을 매번 주기적으로 샀는데 보풀이 좀 잘 일어나서 아쉬운감이 있었는데 짱짱한 재질로 긴팔이 나왔더라구요! 이 재질로 반팔도 갖고있는데 여름에 헤지지도 않고 너무너무 잘 입었어요ㅎㅎ 긴팔은 목부분이 조금 입고 벗을때 힘들긴 해서 소프트 유넥처럼 좀 더 파였으면 좋겠는 작은 소망이 있숩니다..헤헤 슬로우앤드는 기본티 맛집인듯 티들 다 단종시키지말아쥬세요!!!
ㅁㄴㅇㄹㄹㄹㄹ,상위 5%,24.12.04,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,58kg,상의 55,소프트 유넥을 매번 주기적으로 샀는데 보풀이 좀 잘 일어나서 아쉬운감이 있었는데 짱짱한 재질로 긴팔이 나왔더라구요! 이 재질로 반팔도 갖고있는데 여름에 헤지지도 않고 너무너무 잘 입었어요ㅎㅎ 긴팔은 목부분이 조금 입고 벗을때 힘들긴 해서 소프트 유넥처럼 좀 더 파였으면 좋겠는 작은 소망이 있숩니다..헤헤 슬로우앤드는 기본티 맛집인듯 티들 다 단종시키지말아쥬세요!!!
ㅁㄴㅇㄹㄹㄹㄹ,상위 5%,24.12.04,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,58kg,상의 55,소프트 유넥을 매번 주기적으로 샀는데 보풀이 좀 잘 일어나서 아쉬운감이 있었는데 짱짱한 재질로 긴팔이 나왔더라구요! 이 재질로 반팔도 갖고있는데 여름에 헤지지도 않고 너무너무 잘 입었어요ㅎㅎ 긴팔은 목부분이 조금 입고 벗을때 힘들긴 해서 소프트 유넥처럼 좀 더 파였으면 좋겠는 작은 소망이 있숩니다..헤헤 슬로우앤드는 기본티 맛집인듯 티들 다 단종시키지말아쥬세요!!!
ngzn******,상위 5%,24.12.03,브릭레드,,생각보다 커요,보통이에요,화면과 비슷해요,164cm,57kg,상의 55,"색상이 살짝 아주 살짝 다홍빛 도는 벽돌색이에요.
컬러가 예뻐서 마음에 들어요.
레이어드 용도로 입을 생각으로 구매했는데
오버핏으로 사이즈가 좀 커서 어깨도 좀 크고
넥라인도 넉넉한 편이라, 마른 분들은 조금 
없어보일 수도 있을 것 같은 핏이에요.
상세 사이즈 잘 보구 구매하시길 추천 드려요.
넥라인이 넓어서 생각대로 레이어드는 잘 안될 것 같긴 한데 차라리 이 티 안에 셔츠 입고 위에 또 베스트 입고 이런 식으로 활용해야 할 듯 해요."
f4hgnB1D,상위 30%,24.11.28,챠콜,,정사이즈예요,아주 만족해요,화면과 비슷해요,152cm,56kg,상의 66,"n번차 구매하는 슬앤기본티에요
처음에는 밝은류의 기본티 샀다가 어두운 색도 필요해서 차콜 구매 했습니다 66인데 날씬해보이고 너무 파인 목도 아닌데 목을 적당히 드러내줘서 길어보이고 좋아요 퀄리티도 좋아서 세네번 빨았는데 아직 좋습니다 :) 
많이 파세요 단종하지 말아주세요~~!!"
VJOcqurj,상위 15%,24.11.26,매트베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,58kg,상의 55,"큰 기대없이 기본 긴팔로 입으려고 구매했는데 퀄리티가 좋아서 놀랐어요
약간 탄탄해서 살짝 블라우스핏이라고 해야할까요?
단독으로 입어도 넘 좋을 것 같고 다른 색상도 뽐뿌옵니다..
추천해요!!"
ahha**,상위 10%,24.11.26,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,54kg,상의 55,"사실 무지 흰티로는 좀 가격있다구 생각해서 고민했는데 퀄 좋다해서 구매
결론은 대만족입니다!! 일반 면이랑 다르게 탄탄매끄러운 면이라 촉감도 넘 부드럽구,,
기장 딱 떨어져요
레이어드 용으로 구입해서 살짝 더 길었으면 싶기두 하네용 롱버젼두 원해여!!!"
nk0XvSph,상위 5%,24.11.24,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,56kg,상의 66,기본 롱슬리브티가 필요해서 고민하다가 샀는데 목 부분이 매우매우 탄탄하고 소매 길이도 적당해서 너무 마음에 들어요!!! 여기저기 매치하기 좋은 재질이구 질 좋아서 오래 입을 거 같아용
ZmOtwKwi,상위 20%,24.11.24,포그블루,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,65kg,상의 66,"소재가 매우 마음에 듭니다. 상의 살 때 얼마나 오래 입을 수 있을지, 세탁하면 변형이 심할지, 핏감이 오래 살지가 가장 고민이라 고르고 골라서 샀는데 생각보다도 더 잘 혼방한 소재네요. 돈을 좀 더 아껴썼으면 다른 색들도 살 수 있었을텐데 아쉬울 정도로요. 핏도 어디하나 단점이 부각되지 않고 예쁘게 떨어지도록 설계를 잘하신 것 같습니다. 만족스러워요."
wt0zq1oH,상위 30%,24.11.22,아이보리,,정사이즈예요,아주 만족해요,화면보다 밝아요,174cm,66kg,상의 66,"반팔티도 샀는데 재질,핏맘에들어서 긴팔 아이보리도 주문해봤어요 ! 아이보리보단 살짝 화이트에 가깝지만 잘 입을 수 입는 색이라 맘에듭니당! 다 맘에들지만 ㅜ 목부분이 항상 좁고 늘어나질 않아서 벗을 때만 조큼 불편해요"
mB79jfa2,상위 10%,24.11.16,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"진짜 좋아서 총 4장 쟁엿어요...ㅋㅎ 
목부분 시원하게 트여잇고 소재도 좋고 사이즈도 딱 좋아서 기본티로 최고예요! 
라벨 박음질부분은 여전히... 별로지만... 
이게 참 고민인게 걍 뜯어버리니까 구멍이 송송;; 나잇어서 누가봐도 라벨 뜯은사람이고... 걍입자니 실밥처리가 ㅂㄹ고... 옷이 ㄱㅊ아서 용서합니다...ㄱ-"
yeju*****,상위 5%,24.11.13,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,60kg,상의 66,무난하게 입고다닐 티를 찾다가 구매했습니다 검은 색도 같이 샀는데 아이보리가 인기가 많아서 그런지 조금 늦게 왔네요 검은 색보다 아이보리가 옷감 특유의 광?같은 게 덜하구요 개인적으로는 검은색보다 아이보리가 더 맘에 드네요 팔이 좀 길긴 하지만 디자인도 핏도 무난해서 잘 입고 다닐 듯합니다
HZTvGBEN,상위 25%,24.11.08,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,55kg,상의 55,오자마자 사이즈만 확인하고 세탁해서 널어놨어요! 강력한 통돌이 세탁기라 박음질 부분이 살짝 울었는데 앞으로는 망에 넣어서 세탁하면 오래 입을수 있을것 같아요! 사이즈도 딱이고 재질 너무좋아서 다른 컬러도 사러 갑니닽
HZTvGBEN,상위 25%,24.11.07,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,55kg,상의 55,오자마자 사이즈만 확인하고 세탁해서 널어놨어요! 강력한 통돌이 세탁기라 박음질 부분이 살짝 울었는데 앞으로는 망에 넣어서 세탁하면 오래 입을수 있을것 같아요! 사이즈도 딱이고 재질 너무좋아서 다른 컬러도 사러 갑니닽
cdXo5oNQ,상위 20%,24.11.06,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,67kg,상의 66,목부분이 짱짱해서 입고 벗으면서 잘 안늘어날 것 같아요 옷감도 퀄리티가 좋아서 이 가격을 주고 샀다고 생각 못 할 것 같아요 팔 길이도 짧지 않고 딱 적당해서 좋았어요 흰색이라 비침은 좀 있는 편이에요
Fe7Wi5xN,상위 5%,24.10.31,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,58kg,상의 66,"자켓안에 입기 딱입니다
몸에 달라붙지 않아서 회사에 입고가기 좋아요
배가 많이나온편인데 티가 덜나요
목은 늘어나지 않아서 입을 때 쫌 불편하긴 한데 목이 늘어질 일은 없으니 더 좋습니다 
이건 컬러별로 쟁여놔야 할 거 같아요"
Fe7Wi5xN,상위 5%,24.10.31,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,58kg,상의 66,"자켓안에 입기 딱입니다
아이보리는 속옷도 비치지 않는 두께감이에요
몸에 달라붙지 않아서 회사에 입고가기 좋아요
배가 많이나온편인데 티가 덜나요
목은 늘어나지 않아서 입을 때 쫌 불편하긴 한데 목이 늘어질 일은 없으니 더 좋습니다 
이건 컬러별로 쟁여놔야 할 거 같아요"
AXL0A7V9,상위 15%,24.10.31,아이보리,,생각보다 커요,보통이에요,화면과 비슷해요,162cm,52kg,상의 55,네이비 색상 구매하고 마음에 들어서 아이보리랑 퍼플색상 추가 구매요! 안에 방팔입고 요 난방하나 걸쳐주면 딱이에여 ! 굳굳 평소 오버핏이나 박시한거 좋아하면 대만족:) 두께는 보통과 얇음의 중간 느낌?
