아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
Hamster,,24.10.29,챠콜,레귤러핏,정사이즈예요,보통이에요,화면과 비슷해요,159,46,44,"색, 핏, 디자인 다 마음에 들지만 망에 넣고 세탁기 돌렸는데 목 부분이 울어요 ㅠ 처음부터 택이 한쪽으로 치우쳐 있었는데 애초에 불량이었는지 뭔지...
상체 작고 가슴 없는 저한테도 딱 맞아서 바스트 있으신 분들께는 작을 듯합니다.",레귤러핏
btxiExbd,상위 15%,22.05.17,크롭핏,,정사이즈예요,아주 만족해요,화면과 비슷해요,163,51,55,벗는게 너무 힘들어서 별 한 개 빼요… 옷 튼튼하고 안 비치고 앞 부분 자수라 프린팅 떨어질 일도 없고 팔뚝살 부각 없는 예쁜 핏!!! 인데 벗는게 스포츠예요… 오늘 벗다가 어깨 담 걸렸..,
GmXxmYoK,,24.09.25,챠콜,슬림핏,정사이즈예요,보통이에요,화면과 비슷해요,160,51,55,"최근 반팔을 구매했는데, 정말 만족스러워요! 소재가 부드럽고 통기성이 좋아서 여름에 입기 딱이에요. 세탁 후에도 형태가 잘 유지되어 고급스러움이 느껴집니다. 핏도 몸에 딱 맞아 편안하고 스타일리시하게 입을 수 있어서 자주 손이 갈 것 같아요.",슬림핏
6wAEvp89,상위 5%,24.09.06,화이트&블랙,오버핏,정사이즈예요,아주 만족해요,화면과 비슷해요,160,58,55,흰검 나비가 제일 예쁜 것 같아요! 무난한 여름 반팔티셔츠로 아무렇게나 입기 좋고 크기도 적당해요. 넘무 오버핏이 아니라 그냥 95-100 사이의 반팔티 같습니다. 나비 그림이 예뻐요❤️,오버핏
lill*****,상위 15%,24.07.21,챠콜,레귤러핏,정사이즈예요,아주 만족해요,화면과 비슷해요,158,48,55,반팔치고 너무 비싼거 같아서 고민했는데 와ㅠㅠ너무 만족해요 딱 원하던 핏이에요ㅜㅠ 목부분이 고무줄같은? 그런 느낌으로 잘 늘어나는데 쫀쫀해서 잘 입을 거 같아요 받아보니 이 가격 받을만 한거 같아요 너무 만족합니당,레귤러핏
J93iF2cE,상위 5%,24.07.21,챠콜,레귤러핏,정사이즈예요,보통이에요,화면과 비슷해요,155,49,55,"오버핏이랑 고민했는데 편하게도 입고 꾸밀때도? 입고싶어서 레귤러 핏으로 했는데 리뷰처럼 크진 않네요 ㅋㅋ
일반 크롭길이랑 크기정도라거 생각하심 됩니다
80c 로 조금 끼긴 하지만 이뻐요",레귤러핏
topy******,,24.09.09,화이트&스카이블루,레귤러핏,정사이즈예요,아주 만족해요,화면과 비슷해요,170,62,66,"핏이며 재질이며 넘 예쁘게 잘 맞았어요!
급하게 구매했는데 배송도 빨리오고 목늘어남 없이 잘 입을 수 있을 것 같아요 :)
청바지엔 두 말할 것 없고, 핀턱 스커트나 슬렉스에 입어도 이쁠 것 같아요!",레귤러핏
수박이이,탑리뷰어,24.07.13,챠콜,오버핏,생각보다 커요,아주 만족해요,화면과 비슷해요,157,45,44,"오랜만에 박스티를 찾다가 뒷모습이랑 색조합이 예뻐서 오버핏으로 구매했어요 ! 박스티를 잘못입으면 몸이 더욱 작아보이는 체형이라 이틀정도 고민하다가 샀는데 너무 만족해요 😆 158/45 기준 엉덩이 덮는 길이로 핏도 괜찮고, 편하지만 예쁘게 입을 수 있는 옷이에요 👍🏻 색깔은 딱 챠콜색이고, 나비는 보라색에 가까운 핑크에요~ 살짝 아쉬운점은 입었을 때 목쪽이 뒤로가는 느낌(?)이 드는게 목 부분이 작은 것 같아 아쉬워요!",오버핏
92t9o9Z7,상위 10%,24.07.12,챠콜,오버핏,정사이즈예요,아주 만족해요,화면과 비슷해요,156,48,55,"그레이에 핑크자수여서 너무 예뻐요
편하게 입고다니기 좋습니당
목쪽이 좀 좁기는한데 재질이 얇은 편이어서 시원해요
제 키에 엉덩이 덮이는 정도 길이인데 너무 크지 않아서 오버핏으로 입기 좋아요",오버핏
OlRjl0hO,,24.07.08,블랙,레귤러핏,정사이즈예요,아주 만족해요,화면과 비슷해요,161,49,55,"직진배송으로 빠르게 배송 받아서 바로 입어 봤습니다! 딱 처음 실물 봤을 때 흰색 살 걸 그랬나 잠깐 후회했지만 볼수록 블랙도 이쁜 것 같어요
사이즈는 너무 숏하지도 않고 크지도 않아서 딱 레귤러 느낌이긴 합니다
원단은 생각보다 약간 도톰한 편이지만 더운 느낌은 아니에요~ 그리고 옷 입을 때 목 부분이 되게 유연해서 약간 놀랐습니다ㅋㅋ덕분에 입고 벗기 쉬워요
직잭세일로 저렴하게 구입했습니다 잘입을게요~",레귤러핏
0Npp66gH,상위 10%,24.07.08,화이트&스카이블루,레귤러핏,정사이즈예요,아주 만족해요,화면과 비슷해요,156,48,55,"어깨 사이즈표 보니까 많이 좁더라구요..
어깨가 넓어서 어깨선 넘어가는데 그냥 알고 산거라 그냥저냥 늘려서 입으려구요
근데 개취로 전 실물 보니 오버핏이 더 예쁘고 로고색도 검정이 훨 예쁨",레귤러핏
0Npp66gH,상위 10%,24.07.07,화이트&블랙,오버핏,생각보다 커요,아주 만족해요,화면과 비슷해요,156,48,55,"로고 위치가 생각보다 더 위에 있네요
디자인이 예뻐요
전 어깨가 넓은 편이라 좀 떡대 있어 보여요
근데 레귤러핏보다 오버핏이 더 예뻐요
두께가 적당해요 비침 없을 정도. 좀 많이 움직이면 요즘 날씨에는 더울 것 같습니다",오버핏
AtH1rGL1,상위 5%,24.07.07,챠콜,레귤러핏,작아요,보통이에요,화면과 비슷해요,,,,"사진 방향이 왜 자꾸 돌아가는지 모르겠네요
색깔이 마음에 들어서 샀는데 사진이랑 비슷해요. 다만 짧은 옷을 좋아하지 않는데 오버핏이 너무 클까봐 고민 끝에 이 사이즈를 선택했는데 조금 후회되네요. 디자인은 마음에 드는데 크롭티랑 크게 차이 안나는 사이즈라 조금 불편하긴 합니다. 목도 탄탄하다고 해서 샀는데 세탁하니 조금 쪼글쪼글해졌어요.",레귤러핏
