아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
tVfpb87M,,24.04.09,아이보리,긴팔ver_크롭ver,정사이즈예요,아주 만족해요,화면과 비슷해요,166,56,44,"배송 받고 언박싱 하자마자 와 질감 좋다~ 동생이랑 같이 아주 만족했어요!
적당히 후들+탄탄한 질감이라 이너, 단독 할 것 없이 잘 입을 수 있는 기본티라 좋아요 :)

크롭 길이는 제 체형 기준 너무 길지도 짧지도 않은 하이웨스트 하의랑 매치했을 때 딱 예쁜 기장이라 제 마음에 쏙 들었어요~

흰색, 옐로우 같은 밝은 색은 어두운 속옷이 비치지만 대부분 이정도 두께면 다들 비슷하니 참고만 하시면 될 것 같고요! 일단 질감과 핏이 맘에 들어서 몇 장 더 쟁일 것 같아요 이 가격에 이런 기본티라니 정말 감사합니다🫶",긴팔ver_크롭ver
6Uns3YxF,상위 5%,24.12.11,그레이,피치기모_기본ver,작아요,보통이에요,화면과 비슷해요,163,55,55,"입을때 먼지(?)가 파하~~~
겨드랑이가 왤케 쬐죠…? 암홀이 쫍은 느낌이에여
근데 따숩기는 함. 탄탄한 기모티 너낌쓰 ~
한번 세탁해서 입어야 할 것 같아용 근데 건조기 돌리면 더 줄어들거 같아서 걱정 🥺",피치기모_기본ver
SbyC4LSG,상위 10%,24.11.24,그레이,긴팔ver_기본ver,정사이즈예요,아주 만족해요,화면과 비슷해요,153,44,44,"사진에는 이 이쁜 핏이 안담겨서 넘 아쉽네요ㅠㅠ
올해 여름에 착붙핏 반팔티에 꽂혀서 여기저기 주문해봤는데 여기께 제일 짱짱하고 핏도 이뻐서 긴팔 버전까지 추가주문했습니다 ㅎㅎ
역시나 핏 너무 이쁘고, 여러번 입어도 보풀 안일어나고 늘어남이 적은 것 같아요..

크롭은 출퇴근용으로 입을 용기가 없어서 기본버전으로 주문했더니 딱 이뻐요.. 출퇴근 시 입으려면 기본버전으로 구매하는걸 추천드려요! 
리뷰남기러 온김에 또 구매하러 갑니다 ㅎㅎ",긴팔ver_기본ver
tGydtImT,상위 5%,24.11.20,그레이,긴팔ver_크롭ver,정사이즈예요,아주 만족해요,화면과 비슷해요,155,42,44,"길이는 딱 배꼽 가려줘요! 
여름에 반팔티를 너무 만족스럽게 입어서 긴팔도 주문했어요!
지금은 긴팔티 위에 가디건으로 레이어드 해주고 코트입고 다녀요! 더 추워지기전까진 계속 잘 입고 다닐거 같네요ㅎㅎ 한번입고 빨고 했는데도 보들보들 스판끼도 잘 유지되고 있어요! 돌아오는 여름에는 색상별로 크롭티 또 쟁여놔야겠어요👍👍",긴팔ver_크롭ver
Raya,상위 15%,24.11.04,그레이,긴팔ver_기본ver,작아요,보통이에요,화면보다 어두워요,173,61,55,"상태가 조금 안 좋게 왔지만 소재는 부드럽고 좋습니다. 이너티로 입을거라 보이지는 않을 것 같아요.
키가 있어서인지 기본티로 샀어도 길이는 살짝 짧아요. 하이랑 같이 입어야 할 것 같다는 후기 보고 산거라 예상한 만큼이긴 해요",긴팔ver_기본ver
WxAuvk4p,상위 25%,24.10.15,아이보리,피치기모_기본ver,작아요,보통이에요,화면과 비슷해요,158,42,44,"기모가 들어있는건 아니고 원단이 좀 도톰한거네용 이너로 입으려고 삿는데 입어보니 따숩고 잘 산거 같아요!
기본버전은 저는 체형이 마른편인데도 크롭인거 처럼 작아요…. 배꼽위 기장🫠 기본도 배꼽위인데 크롭은 얼마나 짧은거죠
그리고 먼지가 날려서 꼭 한 번 세탁하고 입어야 할 거 같아요 세탁하고 나면 괜찮으면 좋겠네요",피치기모_기본ver
XcsSGctv,상위 30%,24.09.28,옐로우,반팔ver_크롭ver,정사이즈예요,아주 만족해요,화면과 비슷해요,154,41,44,"미국 여행갈때 입고가서 뽕을 뽑고왔어요🥰 컬러도 부담스럽지 않고 은은하게 예쁜 레몬색이라 휘뚜루마뚜루 화사하게 입을수있구요, 재질도 보들보들해서 착용감이 편안해요💕 목부분이 많이 파이지않아서 좋은데, 크롭기장이라 코디할 때 포인트가 된다는 점이 좋아요❤️ 핏도 예뻐서 크롭 처돌이인 저는 깔별로 구매했어요😆 화이트 팬츠랑 입으면 넘넘 예쁜 아이템입니다💕",반팔ver_크롭ver
밍몽미,상위 15%,24.08.21,그레이,반팔ver_기본ver,작아요,아주 만족해요,화면과 비슷해요,154,42,44,"마른편인데 몸매 핏 잘 잡아줍니다
기장이 키작은 저한테도 짧은 편이라 다른분들에게는 크롭정도로 짧을듯 합니다
쫀쫀해서 살 어느정도 있어도 핏 잘잡아줄것같아요

코코블랑 사이트에서 골지티도 샀는데
골지티보다 이티가 더 핏 잘잡아주고
골지티는 소매 허리 둘다 넉넉해서 핏감은 별로더라구요

재질은 두번정도 세탁한 게 요정도 이고
입다보면 보풀은 어느정도 생기겠으나
이정도 가격에 이핏이면 괜찮지않나 생각이 드네요",반팔ver_기본ver
NQ48U3qN,상위 5%,24.08.13,그레이,반팔ver_크롭ver,작아요,보통이에요,화면과 비슷해요,156,57,66,"팔과 겨드랑이 부분이 매우 낍니다 ㅠㅠ ㅜ ㅜㅡㅠ ㅠㅜ
제가 유독 팔과 겨드랑이,부유방살이 많긴한데
이옷이랑은 맞지 않네요
옷 재질은 가격대비 나쁘지 않고 넥라인이나 몸통핏은 ㄱㅊ합니다
개가치 다여트해서 팔부겨 삭제해야겟어요 낄낄..",반팔ver_크롭ver
UDf4PzQy,,24.07.18,아이보리,반팔ver_기본ver,정사이즈예요,보통이에요,화면과 비슷해요,150,39,44,정말 딱 제가 원하던 얇은 슬림 반팔티예요! 목도 얇은데 짱짱하고 적당히 얇아서 안 더워요 근데 너무 얇아서 속옷색을 많이 신경 써야 함. 베이지색 입으면 티나요ㅜ,반팔ver_기본ver
