아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
벨벳코코,,24.12.03,흰색,FREE,정사이즈예요,보통이에요,화면과 비슷해요,159,60,66,"📍159cm 60kg 통통한 체형

핏이 좀 아쉬운 티셔츠ㅠㅠ 통통한 체형이지만 그래도 직각어깨를 가지고 있는데 그마저도 부해보이게 만들어버리는 어딘가 애매한 어깨절개라인… 모델언니처럼 마르신 분들은 이쁘게 잘맞으실거같아요! 원단은 좋아용!",Free
OIwtlpdx,상위 10%,24.11.27,롱버전-흰색,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160,69,77,"반팔레이어드티 기본기장으로 사서 입다가 배가 더 나오길래 롱기장으로 하나 더 구매했어요

옆부분에 트임이 있어서 활동하기 편해요! 필라테스나 헬스같이 운동할때 입어도 딱 좋아요

롱기장이라 엉덩이 중간 아래까지 내려와서 레깅스에 함께 입어도 부담없을 것 같아요 레이어드할때 입기 편하게 적당한 두께라 딱이에요",Free
ceLGarTL,상위 10%,24.11.19,롱버전-흰색,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,159,52,66,"레이어드티는 많지만 딱 맘에드는게 없었는데
드디어 찾았네요~!
기장도 적당하고 옆트임이 되어있어서 예뻐요
여름엔 그냥 단품으로 입어도 괜찮을거같아요
어떨지 몰라서 한장만 샀었는데 더 사려고 들어왔어요
추가구매 합니다~^^",Free
ts36Qhls,상위 5%,24.11.11,롱버전-흰색,FREE,생각보다 커요,보통이에요,화면과 비슷해요,,,,"165기준사진과 같은 길이예요! 💗
엉덩이를 살짝덮어서 레깅스위에입어도 엄청 이쁠것같은 그런 길이! 
너무 힙하지도않고 그렇다고 너무 평범하지도 않아서 맘에드네요. 단독으로 입어도 예쁘고 남방이나 맨투맨안에 받쳐입어도 스타일리쉬합니당 ㅎㅎ
얇지않은게 좋네요 늘어나지않을것같은 재질이라서 휘뚜루마뚜루 잘입을것같아용🥰🥰",Free
msyr***,상위 5%,24.11.09,흰색,FREE,정사이즈예요,보통이에요,화면과 비슷해요,166,48,55,"사진은 빨래&건조기 까지 한 이후라 구김이 있긴한데, 스팀다림질해서 입으면 될 것 같아요. 이너용으로 구입했는데 길이 적당해서 맨투맨이나 후드 안에 이너로 요긴할 것 같고, 넥 부분은 은근 짱짱해보여 쉽게 늘어나진 않겠어요. 품도 제 몸에는 적당해서 만족합니다^^",Free
무민민무,상위 5%,24.11.08,롱버전-아이보리,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,165,53,55,"이 오버핏 무지 반팔 면 티셔츠는 심플하고 깔끔한 디자인 덕분에 다양한 스타일에 레이어드하기에 아주 좋습니다. 소재가 부드럽고 탄탄해서 피부에 닿는 느낌이 편안하며, 세탁 후에도 변형이 적어 내구성이 뛰어납니다. 또한, 오버핏이라 체형에 관계없이 여유롭게 착용할 수 있고, 핏이 자연스럽게 떨어져서 트렌디한 느낌을 줍니다. 여름에는 단독으로, 겨울에는 이너로 활용할 수 있어 사계절 내내 입기 좋아 매우 만족스럽습니다.
장점
1.편안한 착용감: 부드럽고 탄탄한 면 소재로 피부에 자극이 적고 착용감이 매우 편안합니다.
2.트렌디한 오버핏: 여유로운 핏이 체형에 관계없이 잘 맞고, 자연스러운 실루엣을 연출해 스타일리시한 느낌을 줍니다.
3.다양한 활용도: 기본 무지 디자인으로 단독으로 입거나 레이어드하기 좋아 사계절 내내 활용할 수 있습니다.
4.내구성: 세탁 후에도 변형이 적어 오랜 기간 깔끔한 상태로 유지할 수 있습니다.
단점
1.한정된 색상: 다양한 색상이 제공되지 않아 원하는 컬러가 없을 수도 있습니다.
2.두께감: 여름철에는 조금 더 얇은 소재를 선호하는 사람에게는 다소 더울 수 있습니다.

총평: 기본 아이템으로 뛰어난 품질과 스타일을 갖춘 티셔츠입니다!",Free
zlNX8zhd,상위 15%,24.10.31,롱버전-흰색,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,160,51,55,"기본 흰 반팔인데도 10가트는 상세설명을 잘 해놔서 기대하고 샀어요!

저는 목적이 단독용이 아닌 이너용으로 사려고 했던거였거든요 기본 박시한 맨투맨 후드티들이 대략 65cm길래 그보다 더 긴 반팔티를 찾았는데 롱으로 샀더니 이게 딱 맞았어요

보시는바와 같이 소재도 너무 좋고 넉넉해서 집업이나 맨투맨 안에 편하게 입을 수 있을 것 같아요 다만 목 부분이 조금 늘어나는 거 같은데 이 부분은 아쉬워요! 
하지만 저는 이너용으로 산거니 만족!",Free
효한,탑리뷰어,24.10.31,검정,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,173,70,77,"기본 티셔츠치고 가격대가 있길래 고민하다가 주문했는데 엄청 보들보들하고 퀄 미쳤어요.. 후기에 기본기장도 꽤 길다는 평이 있어서 기본으로 크림,블랙 주문했는데 키173 65키로 상의66~66반기준 널널하고 기장감도 엉덩이 중간까지 덮는? 딱 좋네요ㅠ 요즘 맨투맨이 거의 하단에 시보리가 잡혀있거나 세미크롭으로 나와서 기본기장 강추합니닷",Free
효한,탑리뷰어,24.10.31,크림,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,173,70,77,"기본 티셔츠치고 가격대가 있길래 고민하다가 주문했는데 엄청 보들보들하고 퀄 미쳤어요.. 후기에 기본기장도 꽤 길다는 평이 있어서 기본으로 크림,블랙 주문했는데 키173 65키로 상의66~66반기준 널널하고 기장감도 엉덩이 중간까지 덮는? 딱 좋네요ㅠ 요즘 맨투맨이 거의 하단에 시보리가 잡혀있거나 세미크롭으로 나와서 기본기장 강추합니닷",Free
you2******,,23.09.25,흰색,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,153,52,55,"153/65
*배송빠름
레이어드용 흰색티를 찾는데 아무래도 키가 작아서 적당한 길이를 찾기가 힘들었어요,,,
70넘으면 너무 길거같고.. 60아래면 레이어드가 안될거같아서 열심히 찾았는데 딱 이제품을 찾게됐구요!!
153기준 엉덩이 다 가립니다! 사이즈 L시켰는데 품도 넉넉하고 좋아요!!
처음에 딱 받고 메이드인코리아 보고 재질,상태 보고 와 역시 코리아를 속으로 외치며 길이도 둘이 다를까싶어 재봤는데 완벽. 똑같구요 실밥나와서 정리해야된다거나 그런서 없었어요
아직 세탁해보진않았지만 몇번 빤다고 보풀일어날거같지 않고 이번해 이 티셔츠로 레이어드 질릴때까지 하겠습니다!
제가 보통 재구매를 잘 안하는 성격인데 이건 재구매의향 있습니다!!",Free
