아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
t0bYtdNi,,24.03.24,아이보리,free,정사이즈예요,보통이에요,화면과 비슷해요,,,,생각보다 목부분이 옆으로 넓어서..? 단독으로 입으면 속옷이 많이 보입니당 그래도 탄탄한 느낌은 확실히 있습니당!! 그러나 쫀쫀해서 그런지 바스트 좀 있으신 분들은 좀 적나라하게 보이는 편입니당 참고하세요..!,Free
5dITcTte,상위 15%,24.02.23,그레이,free,정사이즈예요,보통이에요,화면과 비슷해요,160,50,55,"블랙 색상과 같이 주문했어요.
넥라인 이쁘네요.
하루 배송으로 빨리 받아서 만족스러워요
감사합니다",Free
LPhOeYHi,상위 30%,24.02.21,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,재질이 부드럽고 이너 기본템으로 정말 좋은 것 같아요!! 배송도 빠르고 가격도 괜찮고 만족합니다 ㅎㅎ,Free
C55gGU5U,상위 25%,23.11.25,아이보리,free,생각보다 커요,보통이에요,화면과 비슷해요,161,50,55,"생각보다 널널하게 맞았고! 그냥 막 입기 좋은거같아요~
과하게 파지지 않았고 적당히 파져서 제 체형에 맞았었어요 다만 길이가 좀 애매하게 긴 느낌이긴한데 이너로만 입을 생각이라 괜찮습니당 직진배송이라 배송도 빨랐어요!",Free
h39GYXTr,,24.10.28,긴팔,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,169,58,55,이너티로 받쳐입기 너무 좋아요! 몸매 보정효과도 좋은 것 같아요 스킨색 입으면 속옷도 티 안납니다~,Free
까칠,,24.09.30,연핑크,반팔,정사이즈예요,아주 만족해요,화면과 비슷해요,158,43,44,딸기우유 색감인 옷을 구매해보고 싶은데 실패할까봐가격이 저렴한 걸로 먼저 시도해보려고 구매하게 되었어요 색깔은 사진이랑 비슷하고 실제로 보면 아주 조금 더 쨍한 느낌이 있어요 얼굴이 까만 편이면 내복 같은 느낌이 들 수도 있을 것 같아요 조금 뜨는 느낌? 저는 23호 쓰는 어두운 피부라서 살짝 뜬다는 느낌이 들긴하지만 22호까지는 아주 잘 어울릴 것 같아요 색은 이뻐요,Free
90iY0ABR,,24.09.26,반팔,옐로우,작아요,아주 만족해요,화면과 비슷해요,156,45,55,"팔뚝이랑 어깨 가녀린 분들께 추천합니다 ...^^
그렇게 통통한 편은 아니지만 상비인데 
후덕해보여서 단독으로는 도저히 못 입겠어요
화면보다 팔쪽이 더 작고 짧습니다 
제품 퀄리티 자체는 좋은 것 같아요",Free
yiP3TrI4,상위 20%,24.09.25,긴팔,그레이,정사이즈예요,아주 만족해요,화면과 비슷해요,159,50,55,"생각보다 좋아요 딱히 내복같지 않고 짧지도 않고 너무 두껍지도 얇지도 너무 파이지도 않고
모든면에서 적당해요
제가 팔뚝이 좀있어서 낄까봐 걱정했는데 반팔보다 팔 널널한 것 같아요",Free
6WpPwro0,상위 15%,24.08.11,블랙,긴팔,정사이즈예요,보통이에요,화면과 비슷해요,160,50,55,아무데나 휘뚜루마뚜루 입고싶어서 샀는데 생각보다 저한테는 핏이 내복..? 같아요ㅋㅋㅋ 제 체형에 잘 안맞나봐요.. 다른분들 입은거보면 이쁘던데ㅠㅠㅠ 재질도 금방 늘어날 것 같은 느낌.. 이너로 잘 입어볼게요..,Free
6WpPwro0,상위 15%,24.08.11,아이보리,긴팔,정사이즈예요,보통이에요,화면과 비슷해요,160,50,55,아무데나 휘뚜루마뚜루 입고싶어서 샀는데 생각보다 저한테는 핏이 내복..? 같아요ㅋㅋㅋ 제 체형에 잘 안맞나봐요.. 다른분들 입은거보면 이쁘던데ㅠㅠㅠ 재질도 금방 늘어날 것 같은 느낌..,Free
6WpPwro0,상위 15%,24.08.11,아이보리,반팔,정사이즈예요,보통이에요,화면과 비슷해요,160,50,55,아무데나 휘뚜루마뚜루 입고싶어서 샀는데 생각보다 저한테는 핏이 내복..? 같아요ㅋㅋㅋ 제 체형에 잘 안맞나봐요.. 다른분들 입은거보면 이쁘던데ㅠㅠ 재질도 금방 늘어날 것 같은 느낌..,Free
75FuQl6E,상위 10%,24.08.10,반팔,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,158,48,44,흰색 편한티 구매하려고 한건 맞는데 기장이 너무 길고 얇아요. 스킨색 속옷도 비치고. 팔뚝살 많은편인데 커버가 전혀 안돼요. 스판은 짱짱한데 너무 죽죽 늘어나고 붙이서 오히려 군살이 더 보이는 느낌이에요. 반품은 귀찮아 안합니다,Free
