아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
하마의리뷰,상위 15%,25.01.09,아이보리,롱,생각보다 커요,아주 만족해요,화면과 비슷해요,154,46,55,"탄탄한 재질에 퀄리티도 좋아요! 
넥라인 박음질이 일부러 주름이 자글자글 들어간건지 제꺼만 그러는건지는 모르겠지만
쪼끔 신경쓰여서 단독으로 입지는 않을 것 같아요 ㅎㅎ
그래도 재구매 의사 있습니다!
엉덩이 아래까지 충분히 덮고 소매는 팔꿈치 위쪽까지 와요 :)
저랑 체형이 비슷하시다면 루즈핏으로 충분히 착용하실 것 같습니다.",롱
hYcjqGuo,탑리뷰어,25.01.03,아이보리,숏,정사이즈예요,아주 만족해요,화면과 비슷해요,160,55,55,"두 사진이 똑같이 보이지만ㅎㅎ 첫번째 사진이 숏, 두번째 사진이 롱 입은거예요~~ 숏 반팔, 롱 긴팔 사서 길이 비교해봤는데 펼쳐놓고 보면 길이 꽤 차이 나는데 막상 레이어드 해보니 생각보다 아주 큰 차이는 아닌 거 같아요ㅎ 면이 톡톡하니 질이 좋아보여서 만족해요!",숏
Huluk,상위 10%,24.12.27,아이보리,숏,정사이즈예요,아주 만족해요,화면과 비슷해요,159,48,44,"❗️착용 2주 후기❗️
👕소재-스판기 없는 면 소재입니다. 생각보다 얇진 않아요. 침대 시트 느낌의 얇기에요. 여름 단독 착용가능할 정도(비침 x)
👕퀄리티 - 목 안쪽 부분에 베이델리 로고로 박음질이 되어있는데 이 부분이 흔한 옷 목 뒤에 다는 라벨 느낌이랑 다르게 아예 목을 두른 느낌? 이랄까요. 그리고 목 시보리는 늘어질 것 대비해서 짱짱하게 되어 있어요. 목 입구가 좁다고 느껴 질 수도 있을것 같은데 전 입고 벗는데 불편함은 없었어요.
👕착용감 -일단 이건 반팔 특징이라 그런거 같은데 내복으로 입기 괜찮아요 특히 팔 부분 쨍 기는거 없고 활동도 편해요. 옷 크기도 커서 박스 티 암거나 아래 받쳐입기 괜찮아요. 
👕디자인 - 숏도 길거 같아서 걱정했는데 막상 오버핏 상의 안에 입으면 다 말려 올라가서 잘 안보여요. 키가 159인데도 이러니 보이게 입고 싶다면 롱으로 구매하세요... 저도 롱으로 재구매 고민 중입니다
👕색상 -그냥 흰색이구요. 뭐 섞인 색아니에요. 간혹 흰색도 염료 넣머서 형광느낌나는 흰색도 있는데(흰색인데 쨍한느낌) 이건 그냥 정석흰색 입니다..",숏
rXARY8Xf,상위 15%,24.11.28,아이보리,롱,생각보다 커요,아주 만족해요,화면과 비슷해요,160,58,66,직잭에서 산 옷들 그냥 저렴한 맛에 샀지 가성비조차 따지지 않아왔는데 이 옷이 내 인식을 바꿈… 네크라인 늘어짐 없고 탄탄한 원단에 보기 좋은 오버핏! 화이트 컬러!! 내거 오랫동안 찾아온 바로 그 이너티!! 완전 마음에 들었다….!!,롱
Bzs59jwE,상위 15%,24.11.23,아이보리,롱,생각보다 커요,아주 만족해요,화면과 비슷해요,162,51,55,"목쪽도 안늘어나게끔 되어있고 소재도 좋아요!
162기준 허벅지 중간 위로 올라와서
운동갈때 레깅스 위에 입기좋아요
레이어드티위에 후드나 맨투맨 입으면 말아올라가서 기장이어정쩡하면 안이쁜데
요건 레이어드 티나고 이쁩니다!",롱
ooDfNN3B,상위 15%,24.11.19,아이보리,롱,정사이즈예요,아주 만족해요,화면과 비슷해요,167,60,55,"롱 후기
 새옷냄새나는건 어쩔수없어서 페브리즈 뿌리고 하루정도 밖에 두고 입을땐 ㄱㅊ았아용 ㅎㅎ
상체가 길고 하체 엉덩이가 많이 튀어나와서(오리궁댕이ㅠ) 반팔류를 입으면 길이가 짧아서 안보이거나 옷통이 크지않아서 레이어드옷 자신없었는데 이건 옆트임때문에 핏이 이쁘게 잡히네요 길이는 상체 긴 사람 기준 엉덩이 밑 살짝 덮는정도까지 옵니다(젤좋음)",롱
FaYRg6pF,상위 5%,24.10.29,아이보리,숏,정사이즈예요,아주 만족해요,화면과 비슷해요,152,48,55,"이전에 산 것도 리뷰 남긴 것 같은데 잘 모르겠네요
한 벌 사고 너무 잘 입어서 한 벌 더 사고 (긴팔, 반팔 롱 기장) 이번에 긴팔 짧은 걸로 세번째 구매에요ㅎㅎ
수건을 제외한 모든 속옷, 옷은 망에 넣어 섬세 모드로 세탁하긴 하는데 늘어나는 애들은 늘어나거든요
이전에 산 두 벌 모두 전혀 늘어남 - 목, 밑단, 소매 등 - 없이 너무 잘 입고 있어요
이번에도 동일하겠죠!
상세 설명 보지도 않고 샀어요ㅋㅋ
찐 내돈내산 추천!",숏
sEZbTBkm,상위 10%,24.09.24,아이보리,롱,정사이즈예요,아주 만족해요,화면과 비슷해요,162,55,55,"맨투맨 및 후드의 계절을 맞아~~ 레이어드티를 구매했는데요! 개인적으로 소매부분까지 있으면 활동하기 불편할 때가 많아 반팔로 주문했습니당 ㅎㅎ 
옆트임 길이도 적당하고 감도 짱짱하면서 부들부들해서 자주 입을 것 같아요 ☺️ 약간 비치기는 하는데 레이어드용이니까~👍",롱
xxhGtATA,,24.12.06,아이보리,롱,생각보다 커요,아주 만족해요,화면과 비슷해요,158,48,55,목부분 짜임을 엄청 중요하게 생각해서 여러개 찾아보고 산건데 탄탄하고 좋아요 아직 세탁은 안했지만 품이 큰 맨투맨에 레이어드하고다닙니당,롱
셀토리,상위 5%,24.10.13,아이보리,숏,생각보다 커요,아주 만족해요,화면과 비슷해요,163,52,44,"맨투맨&니트 안에 이너로 겨울에 입으려 구매했는데 저한테 사이즈 딱 맞아요~!
너무 길지도 않고 엉덩이 살짝 덮는 기장 이예요!!
팔도 딱 원하는 길이예요!! 재질도 쉽게 안늘어나는 탄탄 재질이여서 올겨울 이너로 잘 입을것 같네요!!!
재구매 의사있습니다~~~",숏
