아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
liag*****,상위 10%,25.01.08,[쭈리] 그레이FREE,,정사이즈예요,아주 만족해요,화면과 비슷해요,160,50,55,"재질: 딱딱하지 않고 부드럽고 쫀쫀함 대신 건조기 돌리면 안될 것 같음 
색깔: 프린팅은 검정이 아니라 네이비에 가까움
길이: 158 기준 엉덩이 덮음
=휘뚤마뚤 입고 다니기 매우 좋은 옷🤩 추천해용",Free
59sp3PIw,상위 5%,24.12.20,[기모] 블랙FREE,,정사이즈예요,보통이에요,화면과 비슷해요,,,,입었을 때 딱 적당히 잡아주는 아방한 핏이에요 프린팅 색깔도 약간 오묘한 푸른색 하늘색? 느낌이라 예쁘고 따뜻해서 맘에 들어요 다만 재질도 그렇고 검은색이라 먼지가 잘 붙어서 돌돌이 필수..,Free
젼니,상위 5%,24.12.05,[기모] 그레이FREE,,생각보다 커요,아주 만족해요,화면과 비슷해요,168,57,55,맨투맨은 역시 그레이! 기모는 양기모? 얇은편이라 한겨울에는 패딩안에 입으믄 괜찮을거같아요 폼이 생각보다 있는편이라 박시하게 입을수있고 기장도 있는편이라 168cm기준 엉덩이를 가릴랑말랑~ 팔기장도 넉넉해서 좋아요,Free
nkcSEnyI,,24.12.04,[기모] 블랙FREE,,생각보다 커요,보통이에요,화면과 비슷해요,161,63,66,"오 이뻐요 그레이로 사려다 후기에 블랙이 더 낫단 말이 많아서 블랙으로 바꿨는데 글자색 이쁘네요 !
배송은 진자 빨랏어요 계엄령 내리자마자(12.3) 시켰는데 오늘(12.4) 저녁에 받았네요 ⌒‿⌒ ㅋ
단점이 있다면 옷에 의문의 털이 많이 붙어있어서 돌돌이로 앞 뒤 밀었는데 까만털이 우다다다
돌돌이가 거매졋어요 ㅠㅠ
다들 돌돌이로 정리 한 번 하시거나 세탁 후 입으시는 거 추천드림당 !",Free
3yMEmLT9,상위 5%,24.12.02,[기모] 블랙FREE,,생각보다 커요,보통이에요,화면과 비슷해요,161,49,55,아주 무난한 맨투맨이고요 루즈핏의 백포인트가 이쁜 옷이에요 루즈해서 숏패딩안에 입기에는 약간 힘들지만 패딩조끼나 베이직한 아우터 안에 입기에는 괜찮아요 넥라인이 조금 헐거워 보이기는 하지만 가격이 좋으니까 가성비로 겨울에서 봄까지 입기 좋겠어요^^,Free
아임파인애플,상위 5%,24.11.30,[쭈리] 블랙FREE,,정사이즈예요,아주 만족해요,화면과 비슷해요,160,53,55,"⭐️재질 : 여름 빼고 착용 가능함. 겨울의 경우 안에 내의 입고 입어야 하는데 껴입어도 이쁩니다.
⭐️색상 : 그레이 구매하고 맘에 들어서 블랙도 구매 진행했는데 둘다 색상 너무 이쁜데 개인적으로 저는 블랙이 더 이쁘다는 생각을했습니다. 포인트로 파란 컬러를 사용해서 아주 이쁨. 포인트 색상 잘 잡은거같아요!
⭐️ 사이즈 : 160 m 착용여성기준 길이감 적당함 끝단에 쪼임 있어서 적당히 허리 잡아주고 엉덩이 살짝 될것같아요. 마감 처리가 잘 되어서 더욱 퀄리티 있는 옷입니다.

무난하게 후드 고민되면 블랙 추추천 👍",Free
꼼댕,상위 15%,24.11.25,[기모] 블랙FREE,,생각보다 커요,아주 만족해요,화면과 비슷해요,158,51,,"클로즈업 사진과 실제가 제일 비슷한 색감이에요!

제가 원래 편하게 입는 걸 좋아해서 살짝 길이감이 있어서 전 만족해요!

157-8기준 팔 부분이 좀 길고 엉덩이 반 이상 덮는 길이에요!

루즈핏 보다는 야아악간 아방한너낌..!",Free
k0YHkCAs,,24.11.22,[쭈리] 블랙FREE,,생각보다 커요,보통이에요,화면과 비슷해요,156,55,55,"기장에비해 소매가 좀 더 긴 느낌
156기준 오버핏으로 입기 좋습니다
레터링색이 예뻐서 마음에 들어요
근데 보풀?이 엄청 많이 떨어져서 돌돌이로 떼어내는데 옷 살라고 고민한 시간보다 오래걸렸어요
구매하시는분들 바로 세탁기 넣지마시고
돌돌이 꼭 해주세요",Free
suby****,상위 25%,24.11.22,[기모] 블랙FREE,,정사이즈예요,아주 만족해요,화면과 비슷해요,174,55,55,"기모도 낙낙하게 들어있고 따땃하니 좋아요
핏도 맨투맨 생각했을때나오는 낙낙핏
프린팅 글귀가 뭔가 하늘색은 아닌데 오묘하네요
전 마음에 듭니당 잘입을게요
다만, 같은 곳에서 시킨 다른 맨투맨에는
택이 붙어잇던데 얘는 택이없어서 조금 찝찝쓰!",Free
WUcFUrqL,상위 5%,24.11.21,[기모] 블랙FREE,,정사이즈예요,보통이에요,화면과 비슷해요,158,38,44,"일할 때 휘뚜루마뚜루 입으려고 구매했는데 너무 따뜻하고 마음에 들어요💕
중고등학생때 즐겨입던 브랜드라 평소에 입고 다니기에는 좀 학생스러운 것 같아서 안 입었는데 싸게 일할때 입을 옷 필요해서 찾다보니까 이 맨투맨이 제일 괜찮은 것 같아서 구매했는데 엄청엄청 만족해요!!
기모가 있어서 정말 따뜻하고 소매도 아방핏으로 귀여워보이고 기장감도 엉덩이 반 덮을정도로 딱 이뻐요",Free
