아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
kiss******,상위 5%,24.12.27,그레이(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,165,51,55,"왜 이제서야 구매했을까!원단, 핏, 색상 모두 만족!
모코가 맨투맨 잘하는건 알았지만 이제서야 입어보내요^^ 아방하고 오버한 핏이고 길이도 골반까지 오는게 딱 좋아요! 흐물거리는 원단아니고 탄탄한 핏!
색상은 자수레터링이 핑크로 되어있어 더 예뻐요
봄에도 출시해주세요!",Free
lC4T7hUX,상위 5%,24.11.04,베이비핑크(기모ver.)(오늘출발),,정사이즈예요,아주 만족해요,화면과 비슷해요,160,55,66,배송이 정말 빠르네요~ 옷도 화면이랑 똑같은데 생각보다 마음에 들어요! 기모라서 겨울 내내 따뜻하게 입을 수 있을 것 같고요~ 약간 박시한데 그만큼 편하답니다 ! 그런데 친구랑 같이 입으려고 핑크는 후기가 없어용,Free
lC4T7hUX,상위 5%,24.11.04,그레이(기모ver.)(오늘출발),,정사이즈예요,아주 만족해요,화면과 비슷해요,160,55,66,배송이 정말 빠르네요~ 옷도 화면이랑 똑같은데 생각보다 마음에 들어요! 기모라서 겨울 내내 따뜻하게 입을 수 있을 것 같고요~ 약간 박시한데 그만큼 편하답니다 ! 그런데 친구랑 같이 입으려고 핑크는 후기가 없어용ㅎ,Free
순무순무해,상위 10%,23.12.05,백메란지(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,151,59,55,진!!!!짜 맘에 들어요!! 151에 56키로고 하비인데 바지랑 같이 입을려고 멜란지+주황 포인트 들어간 옷 찾고 있었어요. 완전 제가 찾던 옷이에요! 안에는 어차피 내복이나 목티 입을거라 기모 양은 상관 없는데 옷도 탄탄하고 소매도 탄탄해요. 제가 원하는 아방 루즈한 핏 나와서 넘 좋아요!,Free
K7lGN30T,상위 25%,24.10.26,그레이(기모ver.)(오늘출발),,생각보다 커요,보통이에요,화면과 비슷해요,158,49,55,그레이와 연핑크의 조합이 너무 이쁘고 데일리로 편하기 입기 너무 좋아옹 박시한 핏이라 더 맘에 들고 안감이 부들부들한 기모안감이라 한겨울까지 입을 수 잇을것같네용!,Free
mizr,상위 5%,24.01.30,그레이(기모ver.),,정사이즈예요,아주 만족해요,화면과 비슷해요,166,52,55,"사진처럼 딱 루즈하게 떨어져요!!
기모도 너무 따뜻하고 팔 길이도 길어서 좋아요 ㅎㅎ
분홍색 글씨가 포인트가 돼서 예뻐요~
제 키는 166인데 엉덩이 위 가리는 정도에요!!
예쁨니다 ㅎㅎ",Free
rm895Uqu,,24.01.24,베이비핑크(기모ver.),,아주 만족해요,,,170,53,55,"핑크걸들 안사고 뭐하세요!!!! 색이 일단 딸기우유색으로 쿨톤에게 잘 어울리는 색이에요. 입기만해도 기분좋아지는 화사한 색입니다!
너무 길지도 짧지도 않은 길이감에 폭닥한 오버핏입니다! 넉넉한 핏이라 옆에서 보면 조금 풍선같긴한데 덩치있어보이거나 하진 않아요.
기모도 따뜻한 양기모고 아주 마음에 들어요! 
회색 사려고 들어왔다가 핑크도 샀는데 너무 예쁘네요!!",Free
wr1v4CV0,상위 1%,24.12.30,그레이(기모ver.)(오늘출발),,생각보다 커요,아주 만족해요,화면과 비슷해요,160,50,55,색상이 좀 밝게 나왔는데 실제로는 좀 더 다크한 그레이 컬러에요 그래서 더 맘에 들어요!! 기모 들어가서 두툼하고 따뜻하고 제 체격에 옷이 크지만 일부러 크게 입으려고 산거라 만족스러워요!!,Free
Mrh8usw8,,24.01.06,그레이(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,167,30이하,33 이하,"택배 뜯을 때 옷 색이 정말 맘에 들어서 설렜어용
입어보고나서는 팔길이와 품에 비해 총길이가 짧다고 느꼈고 품이 너므 넉넉해서 등부분과 팔 부분이 사진처럼 붕 뜹니당.. 그래도 색 예쁘고 자수도 너무 마음에 들어서 데일리로 입을 것 같아영~",Free
guY3armo,상위 5%,23.12.14,백메란지(기모ver.),,정사이즈예요,아주 만족해요,화면과 비슷해요,168,53,55,"그레이 사고 만족해서 멜란지컬러도 구매했어요!
색상때문에 더 부해보이는 느낌은 있는데 편하고 빨아도 수축 없어서 만족합니다
스코틀랜드랑 캘리포니아 있는데 별 차이 안나지만 캘리포니아가 좀 더 넉넉한 느낌이에요
멜란지가 스코틀랜드, 네이비가 캘리포니아입니다",Free
hIhH127d,상위 5%,23.11.24,그레이(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"색감은 화면고ㅏ 똑같고 핏은 생각보다 크네요
키 167 상의 55사이즈 인데 팔길이가 길고 어깨선이 내려와 있어서 그런지 넘청 커보여요
여리여리 느낌보다는 어벙한 느낌이어서 조금 아쉽고 리뷰가 좋아 기대를 많이 해소 그런지 전반적으로 생각보다는 무난하지만 가격대비 퀄리티가 탄탄하고 기모빵빵해서 무난하게 입을 옷으로 구매확정합니다!",Free
23QlQzbq,,23.11.23,베이비핑크(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"사진 그대로 예쁜 맨투컬러와 탄탄한자수 면도 너무 좋구
안에 기모도 따뜻하구 팔길이,품도 넉넉하고 좋아요
다만 밑단이 짱짱해서 그런건지 움직이고 활동하면 크롭처럼 올라가요 
그래도 다른컬러,디자인 구매할려구요 제작맨투맨 다 예뻐🫶🏻",Free
aLWHAKT5,상위 10%,23.11.15,베이비핑크(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,162,52,55,옷 3개 구매했는데 구매한것중에 핑크가 가장 이뻐여 근데 핑크가 다른것보다 기장이 쫌더 짧은건지 쫌 움직일땨 올라가여 그리고 앞에 자수 부분 조곰 풀린부분도 있어요 너무 아쉬워요 이것빼곤 좋아요,Free
징벨,,23.11.07,베이비핑크(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,173,58,55,이거 진짜 요물 진짜 귀여운 컬러에용. 오늘 날씨 체감온도 영하1도 춥긴 추웠지만 얼어죽을 정도 아니었구 안에 기모도 맨투맨 기모치고 만족스러운 빵빵함이라서 좋았습니다..! 품이 엄청 크긴한데 그맛으로 입는거니까요 ㅎㅎㅎ 아우터 안에 입을라면 조금 힘들 순 있지만 일단 저눈 구겨넣어입을랍니다❤️,Free
2VXgr3ri,,24.12.03,베이비핑크(기모ver.)(오늘출발),,생각보다 커요,아주 만족해요,화면과 비슷해요,166,53,55,"월렛 모코볼링 맨투맨을 좋아하는 사람으로서 아주 만족!
다른 사람들은 생각보다 품이 너무 넓다고 생각할 수도 있고, 약간 가오리 핏이라고 생각할 수도 있음;
색깔은 사진과 똑같으니 참고하세여!!",Free
Ixu1qsga,,25.01.11,그레이(기모ver.)(오늘출발),,생각보다 커요,아주 만족해요,화면과 비슷해요,160,43,44,"핑크도 있지만 그레이도샀어요 진짜 탄탄하고
질이 조아요 팔이 길고 퓸도 엄청커서
편해요 
맨투맨 맛집입니다 모코는 
배송도 하루만에 왔어요",Free
vTQXWBNa,상위 10%,24.12.28,그레이(기모ver.),,생각보다 커요,아주 만족해요,화면과 비슷해요,163,47,44,따뜻하고 좋아요! 예전에도 기모맨투맨 여기서 사고 너무 잘입고댕기고 만족해서 올해도 또 구매했습니다ㅎㅎ 자수도 튼튼하고 색도 이쁘고 아방방한 핏도 기여워용,Free
wxXyicA2,상위 10%,24.11.29,베이비핑크(기모ver.)(오늘출발),,생각보다 커요,별로예요,화면과 비슷해요,160,50,55,"색감이 너무 예뻐서 구매했어요~~예상대로 입어보니 쿨톤이라 얼굴을 밝혀 주더라고요~~
박시한 줄 알긴했는데 진짜 많이 크긴 하더라고요ㅎㅎ그래도 원래 이런스탈이라 만족합니다♡",Free
Ur5UtWqO,,24.11.14,그레이(기모ver.)(오늘출발),,생각보다 커요,아주 만족해요,화면과 비슷해요,156,44,44,생각했던 것보다 퀄리티가 더 좋아서 놀랐어요!! 기모도 짱짱하게 들어가 있어서 너무 따뜻하고 핏도 딱 예쁜 오버 사이즈라 너무 마음에 들어요,Free
fUdgBYAR,상위 15%,24.11.08,베이비핑크(기모ver.)(오늘출발),,생각보다 커요,아주 만족해요,화면과 비슷해요,156,46,55,"아쥬 오버핏이긴한데 엄청 귀여워용 !!
쿨톤분들한테 더 잘어울릴꺼같은 그런 핑크에용
그래도 엄청 폭닥폭닥하고 편해서 겨울에 따숩게 잘입을꺼같아요!",Free
qMVDB9x0,상위 20%,24.10.30,그레이(기모ver.)(오늘출발),,생각보다 커요,보통이에요,화면과 비슷해요,158,58,55,소매가 길고 통이 넓은 스타일의 맨투맨이에요~ 청바지에 매치하기 딱 좋고 색깔도 딱 제가 원하던 회색에 핑크 레터링이 들어가있어 넘 만족스럽습니다,Free
hees******,,24.10.22,그레이(기모ver.)(오늘출발),,정사이즈예요,보통이에요,화면과 비슷해요,158,48,44,지난 겨울에 오트밀색 너무 잘 입고다녀서 다른 컬러로 재주문합니당 ㅠㅠㅠ 올겨울에도 교복템 예상되고 보들보들 빨아도 목 안늘어나고 굿굿,Free
x3ccM1QW,,24.10.22,베이비핑크(기모ver.)(오늘출발),,생각보다 커요,보통이에요,화면과 비슷해요,160,48,55,"재질은 너무 좋아요
안에 기모라 올 겨울 잘 입을 것 같네요
인디핑크라 색 자체가 귀여움이네요
레이어드랑 입어도 그냥 입어도 귀여워요",Free
ybJKEtuX,상위 25%,24.10.16,베이비핑크(기모ver.)(오늘출발),,정사이즈예요,보통이에요,화면과 비슷해요,174,54,55,모코블링 자체제작 상품은 저의 최애예요. 이번 맨투맨도 너무 이뻐요. 다른 컬러로도 재구매하고 싶어요. 안감이 기모라서 겨울에 따뜻하게 입을 수 있을거 같아요!!!,Free
