아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
제인패커,상위 10%,24.12.22,화이트,FREE,정사이즈예요,보통이에요,화면과 비슷해요,153,48,55,"옷이 짧아서 올라가긴하지만 핏이랑 색상 예뻐요
기모가 두꺼워서 따뜻한데 털이 너무 빠져서 블랙진 바지에 묻은거 계속 뜯고 있었네요
첨에 도착했을때 주름이져서 스팀다리미로 열심히 폈네요",Free
98Y8RxtE,,24.12.08,네이비,FREE,작아요,보통이에요,화면과 비슷해요,163,52,44,후기에서 배 있는쪽이 좀 찡긴다는 얘기가 있었는데 무슨느낌인지 입어보니까 알겠어요 ㅎㅎㅎ 옷 모양이 가오리모양인데 허리로 갈수록 많이 줄어들더라구요! 입었을 때 핏이 예쁜것도 아니고 안예쁜것도 아닌... 좀 애매하긴한데 크롭 맨투맨 처음사봐서 잘 입을거같아요 ㅎㅎ 옷 두께는 기모라서 따뜻합니당,Free
34vnYeFL,상위 20%,24.12.03,네이비,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161,46,44,도톰하고 짱짱해요 소매가 좀 길어서 다 내리면 두번째 사진처럼 손가락 조금 튀어나오는 정도입니다 가오리핏처럼 어벙해서 처음에 입엇을 땐 들뜨기도 하는데 길들이면 나아질 거같아요 허리는 잡아주고 목은 트여있어서 저같은 스트레이트 체형에 잘 맞는 옷이에요 맘에 듭니다 색감도 딱 원하는 남색이에요 다른색도 사고싶어요 개인적으로 베이비핑크 색상도 나왔으면 합니더ㅠ,Free
BbG8uwye,상위 5%,24.12.02,화이트,FREE,정사이즈예요,보통이에요,화면과 비슷해요,158,55,55,"아이보리 느낌 없는 찐 화이트에요! 색상 면에서는 만족했습니다
기모도 나름 괜찮아요

조금 아쉬운 걸 꼽자면 허리 시보리가 짱짱하긴 하지만, 항상 핏을 보장해주는 건 아니라서 시보리가 한껏 위로 올라가면 그만큼 가슴 부분에 더 볼륨이 생겨 많이 부해 보입니다😥 색 특성 상 특히 더 그런 느낌이 들어요. 그래도 부들부들하고 크롭도 심한 크롭이 아닌 반크롭 정도라 데일리하게 입을 수 있어서 추천드려요!",Free
4sEKiTqy,상위 5%,24.11.29,백메란지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,155,48,44,"반신반의 주문했는데 진짜 너무 마음에 들어요!! 일단 기모 너무 촉감 좋고 따뜻해요 피부가 예민해서 입었을때 가려우면,따가우면 어쩌나했는데ㅎㅎ괜히 걱정한거같아요 ~~ 그리고 제일 중요한 핏이 예술입니다 ㅎㅎㅎ시보리부분들이 다 짱짱하며 허리 시보리가 개인적으로 너무 마음에 들어요!! 밴딩이있어서 골반위에 걸쳐지는데 그래서 허리가 더 날씬해보이는 효과를 주네요 ~~ 색깔도 화면 그대로 이뻐요!! 청바지나 슬랙스나 다 매치하기 좋을거같아요 ㅎㅎ 예민하신 분들에게 팁을 하나 드리자면 ..처음엔 기모가 살짝 날려요!! 세탁 후 털어주고 입는걸 추천드려요 ㅎㅎ다른색상 하나더 구매하러갈게요",Free
윤모찌,상위 5%,24.11.27,백메란지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,173,58,55,플래쉬 터트린거랑 안터트린건데 백메란지 실물이 더 예뻐요! 치마랑 입는게 예쁠거 같긴 한데 바지에 입어도 예뻐요! 크롭한 기장감이라 팔들면 배 보일거 같긴 한데.. 시보리가 짱짱해서 괜찮은거 같아요 그거때문에 입고 벗을때 좀 쫄릴수도 있을거 같은데 저는 괜찮았습니당! 기모가 너무 부들부들하고 브이넥도 생각처럼 많이 안파여서 고민하다 산건데 사길 잘한거 같아요,Free
QqZroaTr,상위 25%,24.11.25,백메란지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160,58,66,"시보리도 짱짱하고 기모 부들거리고 브이넥도 너무 안 파이고 딱 적당해요. 제가 웨이브 체형이라 크롭만 찾아다니는데, 길이가 짧지 않고 시보리를 길게 빼서 뱃쨜 내놓고 다니지 않아도 되니 참 좋은 거 같애요. 올겨울에 교복처럼 돌려입으려고 깔별로 쟁여놓길 잘했어요.",Free
스텔라벨라,상위 5%,24.11.06,백메란지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,167,52,55,"시보리 짱짱완전 짱짱 !!🤍🤍
크롭 기장인데 허리 시보리까지 치면 
많이 짧은건 아닌데, 키가 작은편은 아니다보니 살짝 기장이 아쉽긴 한데, 시보리가 짱짱하다보니 좀 내려 입어도 괜찮아요~ ㅎㅎ
기모가 도톰해서 이제 추워지는 날씨에도 잘 입을 수 있을거 같아요!
바지는 요즘 최애 벨리드 와이드 빈티지랑 😆😆
역시 제작 옷들이라 잘어울리네요🤍",Free
kTd3TeA0,상위 15%,24.11.05,블랙,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,168,52,44,"기모라서 그런지 생각보다 부해보이는 느낌이 있습니다
착용감은 부드럽고, 따스합니다.
앞으로 색깔 돌려가며 교복마냥 입을 예정입니다
제 키가 168.6인데 배꼽을 덮는 길이이며 크롭이지만 길지도 짧지도 않은 적당한 길이인 거 같습니다",Free
jiyun._.,상위 10%,23.12.17,네이비,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,167,45,44,기모 짱짱해서 완전 따듯하구 생각보다 흘러내리는 느낌이 아니라 짱짱하게 힘있는 재질입니당 아래 배쪽 부분이 늘어날줄 알았는데 핏때문에 늘어나지 않게 해둔것같더라구요 입을때 살짝 불편할수도 있는데 입었을때 확실히 허리 잡아주는거 보고 불편함 감수할만하다 싶었습니다ㅋㅋㅋ 진짜 어느 옷에도 두루두루 잘 어울려서 색상별로 쟁여둘 의양있습니다!! 진짜 돈 생기면 바로 사려구요!!ㅠ,Free
