아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
fxZRhEE5,상위 10%,24.12.21,스카이블루[기모],,정사이즈예요,아주 만족해요,화면과 비슷해요,173.0,54,44,"너~~~~무 너무너무 예뻐요
색감이 진짜 실물깡패고 폭닥하니 너무 부해보이지않고 예뻐서 다른컬러도 사려구요❤️
색 잘못 입으면 까무잡잡해보이는 얼굴인데 살짝 밝은 블루? 톤이라 밝아보이는 효과가😍",Free
wMsw2gst,상위 30%,24.11.21,블랙[기모],,정사이즈예요,보통이에요,화면과 비슷해요,160.0,53,55,"큰 기대 안하고 샀는데 옷 너무 예뻐요!!!! 
폼이랑 기모 시보리까지 완벽스
다른색상 사고싶지만 다른 색상은 딱히 맘에드는게 없어서 안사는 중 ㅜ",Free
vOP1Uelg,상위 15%,24.12.31,스카이블루[기모],,생각보다 커요,보통이에요,화면과 비슷해요,166.0,51,55,기모 안감이 있어서 따뜻하고 적당한 오버핏이라 편하고 예쁩니다. 다만 처음 입으면 안감 털..을 신경써야할 것 같습니다ㅠㅠ,Free
ueElCmmR,상위 5%,24.12.22,그레이[기모],,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,47,44,가격 대비 퀄리티 괜찮아요 !! 디자인도 예뻐서 추천드립니다!! 평소에 편하게 잘 입을것 같아용!! 다른 색도 살까 고민 중,Free
piro***,,24.11.30,스카이블루[기모],,정사이즈예요,보통이에요,화면보다 어두워요,,,,색깔보 예쁘고 도톰하니 좋습니다. 다만 제가 체격이 커서 부해보이는건 어쩔수 없네요. 사이즈 기장 이런건 다 좋습니다.,Free
NZ4M5GxL,,24.11.18,아이보리[기모],,정사이즈예요,보통이에요,화면과 비슷해요,170.0,65,66,"급하게 여행가서 입으려고 샀어요
크림색 예쁩니다
적당히 여유 ㅆ는 사이즈에 얇은 기모 맨투맨이에여
빠르게 받암ㅅ습니다",Free
LYx66Yfb,,23.12.23,그레이(기모),,정사이즈예요,별로예요,화면과 비슷해요,163.0,51,55,"후기수정이요. 첨에쓴건 그냥 둘게요. 
세탁기에 빨았는데 옷이 많이 줄었어요. 건조기 돌린것도 아닌데..소매길이도 손바닥 끝부분 살짝 가려질정도고요, 길이는 엉덩이 윗부분까지 오네요. 생각했던 느낌이 전혀 아니게 됬어요. 밑단,소매,목부분이 늘어나서 잡아주는 느낌이 전혀없어졌어요..옷 전체적으로 자잘한 보풀같은것도 생기고요..자수프린트 부분도 우글우글 해졌어요..누가보면 삶은빨래 한 줄 알겠어요..입기전에 딱 한 번 빨았는데.. 이러면 다음엔 어디까지 줄어들지 무서워서 빨지도 못하겠어요.. 


<처음 받자마자 쓴 후기>
우선 가격대비 옷 괜찮아요. 
옷 큰거야 모델분 입으신 핏 봤을 때 오버사이즈일거라고 생각했던 크기 그대로였어요. 제가 팔이 긴편인데 소매 끝까지 다 내리니까 딱 제 손가락끝까지 왔습니다. 그리고 총길이도 다 내렸을 때 엉덩이 완전히 감싸고 남아서 좋았어요. 크롭, 세미크롭 별로라..
그리고 목부분은 짱짱한편이 아니라서 시간 지나면 늘어짐 있을거같은데 팔목이나 밑단은 괜찮은편입니다. 엄청 짱짱하진 않으나 잘 잡아주는느낌. 근데 그 주름? 옷부분이랑 끝단 이어준 부분이..울퉁불퉁? 그런느낌이어서 막 예쁘진 않아요. 

중요하게 생각했던 두께는 좋습니다. 기모 있어도 얇으면 어쩌나 걱정했는데 두께 좋습니다. 그런데 기모가 느낌이 꼭 부드러운 솜을 넓게 펴서 옷에 압축시켜 붙여놓은것 같아요. 맨살에 입었는데 까슬하진 않았고요..뭔가 통기성이나 흡수성이 전혀없는느낌..그래서 옷이 상당히 따뜻한데, 그래서 이거 하나입고 땀이라도 난다면 그냥 흐를거같은느낌..안에 이너티셔츠나 히트텍같은건 꼭 입어주는게 좋겠어요.

그래도 요즘 시대에 이정도가격이면 괜찮은편이라고 생각합니다.",Free
Bcs3bJSU,,23.12.06,그레이[기모],,생각보다 커요,아주 만족해요,화면과 비슷해요,155.0,47,44,"안에 기모가 일단 너무 부드러워요 
화면 색상보다 자수가 잘보이고, 길이는 엉덩이 윗부분 딱 오네요 
통은 널널해서 귀여운 느낌이 가득나요 ~! 
진짜 리뷰 잘 안쓰는데 제발 사시라고 남겨요 ...",Free
밍밍7,,23.12.04,블랙(기모),,정사이즈예요,보통이에요,화면과 비슷해요,,,,상세 사이즈 봤을때는 많이 클것 같아서 걱정했는데 생각보다 크지 않고 이뻐요! 근데 전에 아이보리 사고 너무 잘입어서 블랙도 샀는데 질이 조금 달라진느낌... 그래도 다른 맨투맨 보다는 괜찮아서 잘 입을수 있을거같아요,Free
룽히,,23.11.30,그레이(기모),,생각보다 커요,아주 만족해요,화면과 비슷해요,158.0,51,55,"그렇게 미운 오버핏도 아니고 적당히 아방한 핏이라 너무 좋아요!
안에 이너티랑 입으면 그렇게 예쁠수가 없습니당ㅎㅎ
색도 딱 입기 좋은 그레이라 여기저기 잘 어울릴것 같습니당:)
기모라서 폭닥거리고 따뜻까지해서 만족이에용🤍",Free
0Nfz6iwp,상위 15%,23.11.26,그레이[기모],,정사이즈예요,아주 만족해요,화면과 비슷해요,169.0,50,55,"퀄리티 아주좋아요 이 가격대에 이정도 길이감 원단 갬동이네요 또 자수라 퀄리티를 더업시켜주고요ㅎ
완전 칭찬일색 넉넉한 품도 넉넉해서 착용감당근 편해요 색상도 이쁜회색^^
시보리도 넘 짱짱하지않아 좋구요~~
올겨울 잘입겠습니다",Free
PcQPoszz,,23.10.12,그레이,,정사이즈예요,보통이에요,화면보다 어두워요,172.0,60,66,"일단 저는 키가 크고 팔이 긴데 팔 길이가 좋습니다
길이면에서 만족합니다
색은 뭔가 쇼핑몰 사진보단 어두운 느낌이에요. 
맨투맨 디자인도 이쁩니다
살쪄서 덩치가 큰데 그렇게 돼지같이 안보입니다
편하게 입을 것 같아요",Free
yx6uURU3,상위 20%,23.03.17,블랙,,생각보다 커요,보통이에요,화면과 비슷해요,,,,"겨울에 기모버전 아이보리 색상 잘입어서 
봄가을용 블랙으로 구매했어요
디자인은 예쁜데 원단이 달라서 그런지 먼지가 엄청 많아요
입기전에 돌돌이+세탁은 필수로 해야할 것 같아요
세탁후에도 먼지 많이 떨어져서 돌돌이로 제거했어요",Free
IiAUGawE,,23.02.01,그레이[기모],,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,60,66,"기모 그레이색 구입했어요~ 
너무 따뜻하고 배송 늦을줄 알앗는데 생각보다 빨리와서 이번에 서울 갓을때 잘입엇어요! 
따뜻하고 색깔도 이뻐서 두루두루 잘입을것같아요!! 
다른색으로 봄에 입을것도 살까생각중입니더",Free
sCExws6H,,23.02.01,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,158.0,47,55,"두번째 구매에요 블루샀다가 기모 너무 
빠지고 (검은색옷에 붙음ㅠㅠ) 약간 줄어들어서 
기모 없는거 산줄알았는디 또 기모샀네요..햐 
정신머리 …ㅋㅋㅋ 두루 두루 잘입으니 뭐 
만족합니다 빠른배송이에요",Free
tzQHXtrZ,,22.12.12,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,160.0,50,55,"따뜻해서 좋아요 
사이즈는 생각보다 크지만 귀엽고 예쁩니다
색감도 화면과 같아요
다른컬러도 괜찮을거같아요
배송은 그냥그랬어요
전체적으로 나름 만족하는거 같습니다
무난해서 좋은거 같아요 !!",Free
ljh9*****,상위 15%,22.12.05,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,160.0,44,44,"박시하고 따뜻하고 좋아요! 두꺼운 기모는 아닌데 이정도가 적당한 거 같아요
색은 되게 노란 크림색이에요 그리고 속에 털이 굉장히 많이 묻어나와서 돌돌이 여섯장을 썼는데도 계속 나오네요 검정 옷 조심히 입어야겠어요",Free
rnjs****,상위 15%,22.11.16,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,164.0,55,55,제품은 만족해요 다만 원로그는 항상 배송이 문제네요..ㅋㅋ뭐만 시키면 기본2주 입니다 거기에 불량오면 당연히 더걸려요 첫 세탁은 단독 세탁이 좋을듯 해요 다른 옷하고 같이돌렸더니 안에 기모 먼지가 온 옷에 다붙었어요..,Free
mL9xCcaW,,22.10.19,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,54,55,"생각햇던 핏 그대로고 팔 길이도 긴편이라 좋아요.
다만 저는 어깨가 넓어서 약간 덩치있어 보이지만.. 이건 제 몸의 문제라서^_ㅠ
얼굴 화사해보이는 그레이 색상이라 자주입을 것 같아요",Free
iXkKVV2h,,22.10.18,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,52,55,"진짜 따뜻해요 
급 추워져서 이번주엔 잘 입었어요
 지난주말에 입었을 땐 더워서 혼났구요 
화면이랑 똑같네여
저 체형에 루즈한핏?같아서 더 마음에 들어요!
청바지에 입어도 이쁜데 블랙주름 스커트랑 매치해도 예쁘더라구요
맨투맨 맛집이네요",Free
QcOyyqA2,,21.01.13,그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,162.0,50,55,저렴한가격인데 기모도 나름 알차게 들어있고 레터링도 저렴해보이지않게 고급지게 박혀있어욥 오버핏인데 이쁜 오버핏이라 팔도 길고 만족합니다ㅜㅜ 아래부분 시보리도 흐물텅거리는 맨투맨들은 안으로 말아도 금방 펴지곤 하는데..(말로 표현이 잘 안되네요ㅎ..) 이건 말아놓으면 일부러 펴지않는이상 안펴져요 ㅠ 넘 좋슙니다 아이보리색 하나 더 살 생각이예요💛,Free
stW1tk2q,,24.05.11,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,58,66,이너 없이 입었을 때도 촉감이 좋고 편해요 맨투맨 치고은 약간 흐르는 듯해서 핏도 괜찮고 마음에 들어요 잘 입겠습니다 배송도 빨랐어요,Free
byuQiOnD,상위 10%,24.02.03,아이보리[기모],,생각보다 커요,아주 만족해요,화면과 비슷해요,154.0,50,55,"이뻐서 따라샀어요
요즘 크롭스탈이 많은데 이건 폼도 낙낙하고 길이도 길어요
기모라 건조기 한번 돌리니 줄어들어 맘에 딱 들어요
그레이 맘에 들어 아이보리도 결제했어용",Free
24rSs98X,,24.02.03,그레이[기모],,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,57,55,"생각보다 도톰하고, 부드러워서 좋았어요!
근데 한 번 착용해보니 살짝 보풀이 일어나더라구요!
하지만 가격대비 편하게 입을 수 있을거같아서 만족합니다 ㅎㅎ",Free
auWLNgxL,,24.01.29,아이보리[기모],,생각보다 커요,보통이에요,화면과 비슷해요,158.0,50,55,자수 부분에 박음질 마감이 좀 아쉬웠어요. 따숩고 좋아요!! 루즈해서 편해요. 목 뒤에 부분 실밥도 좀 나와있었는데 정리했더니 깔끔하네요!,Free
lAiip4Z4,상위 30%,24.01.25,그레이(기모),,정사이즈예요,보통이에요,화면과 비슷해요,158.0,53,66,"디자인이 깔끔하규 넘 예뻐용! 핏도!!
두께감은 엄청 두꺼운건 아닌데 그래도 기모라 따셔용 ㅎㅎ 
안에 이너로 티 하나 레이어드용으로 입으면 딱이에용ㅎㅎㅎ",Free
lAiip4Z4,상위 30%,24.01.25,블랙(기모),,정사이즈예요,보통이에요,화면과 비슷해요,158.0,53,66,"디자인이 깔끔하규 넘 예뻐용! 핏도!!
두께감은 엄청 두꺼운건 아닌데 그래도 기모라 따셔용 ㅎㅎ 
안에 이너로 티 하나 레이어드용으로 입으면 딱이에용ㅎㅎㅎ",Free
lAiip4Z4,상위 30%,24.01.25,스카이블루(기모),,정사이즈예요,보통이에요,화면과 비슷해요,158.0,53,66,"디자인이 깔끔하규 넘 예뻐용! 핏도!!
두께감은 엄청 두꺼운건 아닌데 그래도 기모라 따셔용 ㅎㅎ 
안에 이너로 티 하나 레이어드용으로 입으면 딱이에용ㅎㅎㅎ",Free
lAiip4Z4,상위 30%,24.01.25,아이보리(기모),,정사이즈예요,보통이에요,화면과 비슷해요,158.0,53,66,"디자인이 깔끔하규 넘 예뻐용! 핏도!!
두께감은 엄청 두꺼운건 아닌데 그래도 기모라 따셔용 ㅎㅎ 
안에 이너로 티 하나 레이어드용으로 입으면 딱이에용ㅎㅎㅎ",Free
WnLrM16f,,24.01.23,그레이[기모],,생각보다 커요,아주 만족해요,화면과 비슷해요,162.0,60,66,"가격도 저렴하고 마감도 괜찮아요 
66인데 넉넉하게 잘 맞아서 좋네요! 
요즘 크롭상의가 많은데 
너무 짧지도 않고 길지도 않아서 휘뚜룩마뚜루 잘 입을 수 잇을것같습니다",Free
3TirK9UD,상위 30%,24.01.17,그레이(기모),,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,50,44,색감도 예쁘고 세탁 해도 잘 드러나지 않고 탄탄 해요 아주 저렴한 가격에 잘 샀습니다 추천합니다 여러분들도 사세요 일주일에 2번 아주 잘 입고 있어요 출근룩으로 딱이예요,Free
0bCVhI3I,,23.11.15,그레이,,,,,,,,색이 아주 맘에듭니다!!다른색으로 하나 더 사려구요!질도 괜찮고 적당히 따뜻하고 합니다ㅎㅎ핏도 이뻐서 추천해요~,Free
5OVQu4V0,,23.10.25,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,166.0,56,44,"소재가 탄탄하규 촉감이 좋아요
무겁지도 않고 딱 좋습니당!!
여유있게 입기 좋고 디자인듀 이뻐요
잘 샀고 엄마가 탐내요 ㅎㅎ",Free
JxXZ1lR6,,23.10.17,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,156.0,47,44,진짜 핏이 너무 예뻐요 기모없어도 부드럽고 탄탄해요 보통 글씨가 다른 색인데 이거는 같은색으로 되어있어서 더 다른 옷보다 다른 느낌이에요!,Free
Ak4HInPB,,22.10.07,스카이블루,,생각보다 커요,보통이에요,화면과 비슷해요,171.0,53,66,생각한 색감에 핏이에요! 기모도 많이 안두껍고 기장도 만족스럽습니다. 키가 있어서 팔길이 좀 신경쓰였는데 넉넉하네요,Free
U6BKyYKm,상위 10%,24.12.31,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,50,44,"예쁘고 잘 맞아요 색도 이쁩니다 좋아요 퀄리티 괜찮아요
많이 파세요 요즘 입기에 딱 괜찮은것 같네요 이가격에 잘 산것 같아요",Free
g54qBFHY,상위 30%,24.12.16,아이보리[기모],,정사이즈예요,보통이에요,화면과 비슷해요,168.0,50,55,색감이랑 핏 다 맘에 듭니다 요즘 아이보리색에 빠져서 이것저것 아이보리색 옷들 사고 있는데 여기 것도 맘에 들어요 생각보다 두꺼워서 한겨울에도 잘 입을 수 있어요,Free
moon******,,24.11.05,아이보리[기모],,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,52,55,"사이즈도 넉넉하고
기모라 갑자기 추워진 날씨에 입기 딱 좋네요
아이보리고 화면상과 같이 이쁜 아이보리라 두루 잘 입을거 같아요",Free
esYRFbLY,상위 15%,24.09.28,그레이,,생각보다 커요,보통이에요,화면과 비슷해요,161.0,44,44,"데일리로 입기좋아요!!! 핏도 맘에들고 다른색상도 구입해서 막입어야겠어요.
겨울에는 기모있는거 구입하려구용",Free
gBCvwJNo,상위 15%,23.12.18,그레이(기모),,정사이즈예요,보통이에요,화면과 비슷해요,165.0,30이하,33 이하,안에 기모가 있어서 부드럽고 많이 따뜻해요! 품도 여유롭고 편해요! 근데 총기장이 저에게 좀 짧은거같아요ㅠ 팔을 안들면 딱 적당한데 팔 들면 쓩 딸려올라가서.. 팔 들었다 내릴때마다 옷정리를 해줘야합니다.. 살짝 귀찮..,Free
48ZcvAif,상위 15%,23.12.11,그레이[기모],,생각보다 커요,보통이에요,화면과 비슷해요,160.0,48,44,생각보다 품이나 전체적인 핏이 크고 어깨선이 내려와 있어요 저는 어좁이라 그나마 괜찮은데 어깨가 넓으면 너무 어깡처럼 보일것같아요 너무 어벙하게 보이는것같기도 한데 그냥 루즈하게 입는다고 생각할려구요,Free
frsorjnI,,23.11.03,그레이[기모],,생각보다 커요,아주 만족해요,화면과 비슷해요,162.0,54,55,"안에 셔츠입고 입어도 이쁘고
그냥 무심하게 입어줘도 이뿌고
기모가 따뜻하게 있어서
가을 쌀쌀한 날씨에도 잘입고다니고잇어요
색도 차분해서 슬랙스에도 잘어울리고
청바지도 치마도 잘어울려서 요즘 손이 많이가는
티셔츠에요",Free
