아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
1NVvbFeG,,21.11.05,블랙,FREE,생각보다 커요,보통이에요,화면과 비슷해요,,,,"세일받아 만원에 샀어요.
바느질 퀄리티가 엉망진창은 아니나 실밥 정리는 좀 필요했고
프린팅 퀄리티가 허접하기 그지없으나 가격 생각해서 괜찮았어요.
(검은색 옷에 흰색 프린팅인데 흰색 프린팅 아래로 검은색 다 비침.. 세탁 몇번하면 벗겨질까 무서움...)
원래 가격주고 샀으면 욕했다..ㅋㅋ
원단 자체는 톡톡하니 나쁘지 않고 양면이나 기모 후드티가 아니니 부드러운 내부는 아니에요.
후드사이즈는 큰편이고 소매 길이도 엄청 낙낙합니다.
키168인데 손 거의 다 덮음
총평은 이 가격에 후드 사려면 괜찮기는 합니다. 후회는 안 함.
(프린팅 퀄리티만 포기하면 꽤 좋은편임)",Free
PYQyCWEP,,21.10.18,크림,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,154,53,66,"사이즈 진짜 크긴한데 귀엽고 더 작아보이는 맛이있네요
밑단 시보리가 조금만 짱짱해도 좋을거같아요
키가 작은 저에겐 거의 하의실종이라 
허벅지 두꺼운부분은 싹 가려줘서 더 날씬해 보이기도
하는거같아요 
이쁩니다. 날씨 오늘 디게 추웠는데 요즘 같이 추울때 바짝입어야 할거같아요
후드가 커서 이 위에 뭘입을수는 없을듯해서
더 추워지기 전까진 교복 할거같네요~",Free
T1UIZQsF,,21.10.16,크림,FREE,생각보다 커요,별로예요,화면과 비슷해요,163,64,66,"안에 안감이 너무 거칠어서 벗을때나 입을 때 너무 따갑습니다ㅠㅠ
색이 저랑 너무.. 안어울리는 것 같아요ㅠㅠ가을톤이시면.. 완전 비추에요ㅠㅠ
사실 두꺼워보여서 기모인줄 알았는데.. 봄가을 후드티였네요쿠큨

160(여성)은 엉덩이 가리고 175(남성)은 엉덩이 조금 덮는 정도입니다. 키가 커도.. 소매는 여전히 길어요..

올리려고 하면 따갑기도 하고 소매고무줄 부분이 너무 단단해서 올리기도 힘듭니다.

아직 빨아보지는 않았지만.. 첫 착용감이 이럽니다..
아 배송은 하루만에 왔어요ㅠㅠ감격",Free
velibcmJ,,21.10.07,그레이,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,152,50,55,친구 생일선물로 급하게 직진배송으로 시켰는데 바로 다음날 아침 도착..🥺 상품 개봉하자마자 나오는 서비스에 심쿵 하고 상품에 두 번 심쿵... 키가 150cm에 몸무게 52kg 좀 통통한 편이라 평소에 오버핏을 자주 애용했는데 딱 보자마자 운명이란 걸 느꼈습니다. 반팔 위에 입으면 무릎에서 4cm 정도 위로 올라오는 조금 긴 사이즈입니다! 재질은 말할 것도 없이 딱 좋았고 교복 위에나 체육복 위에 입으면 두말할 것 없이 찰떡! 그 외에도 검은 슬랙스 위에 입으면 편하고 이쁘고 귀엽고 혼자 다해요. 부츠컷 청바지랑 일자핏 청바지에도 완전 찰떡대박🥰 요즘 학원 갈때마다 입고있어요🥰 친구들한테도 옷 귀엽다는 말 듣고 아주 잘 샀다고 백번천번만번 생각했답니다!! 오버핏 원하시는 분! 이리 모이시오!!!,Free
WJH2DaSy,상위 15%,21.10.03,블랙,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,166,62,66,소재가 너무 마음에 드네요! 가을에 입기 좋을듯 합니다 사진을 못찍어서 그렇지 실제 색상은 딱 블랙이에요 로고가 뒤에 박혀있어서 더 마음에 듭니다 직접배송이라 빨리 도착하니 맘편히 쇼핑하네요 잘입겠습니다!,Free
SpS0Lnsp,,21.09.27,그레이,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,168,64,66,"저 진짜 후드티 어디서 살지 너무너무너무 고민 했는데
이 상품 사고 삶의 질이 달라졌습니다ㅠㅠ
옷은 크지만 오버핏이 유행이라 아주 좋구요!
질감과 마감처리 까지 완벽합니다~
직진배송이라 서울 사는 저는 다음 날 도착할 줄 알았는데
주문하고 2일만에 왔어요!",Free
YPOmlS69,,21.08.18,그레이,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,161,50,55,"더위를 많이 타는데 두꺼운 재질이 아니라서
평소 가볍게 입고 다닐 수 있을 것 같아 좋습니다!
근데 사이즈가 오버핏이라 그런지
너무 커서 몸이 좀 부해보이는데
신경쓰이는 정도는 아니라서 싼 가격에 하나 정도 사두면
유용하게 입을 수 있을 것 같네요👍",Free
v1zaf347,,21.10.22,블랙,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"기대했던만큼 예뻐요 대만족( ´͈౪`͈ )
키 157 기준 엉덩이 가려지고 소매는 2번째 사진처럼 좀 길어요 근데 불편하진 않구요
후드도 널널하게 나와서 모자쓰고 후드써도 괜찮아요
자주 입을거 같아용",Free
f3s0Kb4T,,24.02.04,블랙,FREE,생각보다 커요,보통이에요,화면과 비슷해요,159,54,55,"일단 배송은 빨라요 그리고 큽니다
적립금을 이벤트로 받아서 쓰고 8,000원에 샀는데요 득템 했다고 생각했지만..받아보니 안 에 실 마감 엉망이고 검은 게 후두둑 떨어져요 털면 터는대로 떨어집니다 세탁하고 건조기 살짝 돌리고 돌돌이로 몇 번을 했는데도 여전히 조금씩 떨어져요 그래도 싸게 샀으니 뭐..뒤에 글씨가 포인트 인데 잘 보이면 좋겠지만 모자에 가려서 잘 안보여요 그냥 저냥 편하게 입을 만한 옷 이에요",Free
GYOsr5Ib,,21.10.05,라벤더,FREE,생각보다 커요,보통이에요,화면과 비슷해요,164,61,66,"색감이 너무 예뻐요ㅎㅎ
기모 없어서 오히려 지금 입기 좋았어요~
사이즈는 커서 완전 엉덩이 다 덮구요ㅎㅎ
레깅스랑 입기 딱인거 같아요 ㅡㅎㅎ",Free
w5tJseFJ,,21.08.26,그레이,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,162,53,33 이하,키는 163정도 기준으로 엉덩이 가리는 정도의 길이구요 후드는 다른 후드티에 비해서 모자가 좀 크고 펑퍼짐한 사이즈입니다 원래 오버핏을 좋아해서 저는 딱 맘에 드는 사이즈에용,Free
jN4jxpb4,,22.04.03,그레이,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,161,57,55,"아방한 오버핏 느낌이네요 딱 기본으로 회색후드티가 필요해서 구매했어요
핏은 원하는 느낌보단 좀 큰것 같고 후드도 조금 너무 큰 것 같긴한데 그냥 기본으로 만족스럽고 편하게 많이 입고다닐 것 같아요!",Free
dldm******,,22.03.30,인디고블루,FREE,생각보다 커요,아주 만족해요,화면보다 어두워요,163,50,55,좀 재질이 까칠까칠해서 옷 안에 뭐 입고 입어야하지만 진짜 예쁨 기대 1도 안 했는데 개이쁘다 색 사진보다 실물 색이 더 이쁨 모자도 예쁘고 팔이 좀 길어서 접어서 입고 다니는데 오히려 좋아 오히려 더 귀여워,Free
x1hDh0ho,,22.03.28,인디고블루,FREE,정사이즈예요,보통이에요,화면보다 어두워요,166,49,55,"완전 쨍한 파랑은 아니고 좀 탁한 파란색이구요
피부가 예민한데 안감이 거칠어서 안에 티는 무조건 받쳐입어야 될 것 같아요 또 특이한게 앞부분 뒷부분 기장이 다른데 뒤가 더 짧아서 앞에서 보면 되게 큰 편인데 뒷부분은 엉덩이도 안가려져요 전체적으로 나쁘지는 않고 그냥 딱 할인된 가격에 편하게 입을만한 옷이네요",Free
mzb4mmTp,,21.10.28,라벤더,FREE,생각보다 커요,보통이에요,화면과 비슷해요,155,50,55,제가 키랑 체형이 조금 작은 편이긴 한데 오버핏으로 산거라 만족스럽습니다! 라벤더 하나 남아서 구매가 망설여졌는데 사길 잘 한거 같아요! 조명 때문에 보라색 처롬 안나왔는데 이쁜 연보라 색입니당ㅇ,Free
0SB4kb0L,,21.10.27,라벤더,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,저는 좀 많이 오버핏을 선호해서 너무 좋다는 아니였지만 적당히 오버핏 좋아하시면 완전 강추해요! 색도 생각보다 너무 맘에 들었어요! 로고도 적당히 예뻤고요! 색은 사진보다 살짝 밝아요!,Free
