아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
1PO9Wbyt,상위 5%,24.12.19,멜란지그레이,세피아핑크,생각보다 커요,아주 만족해요,화면과 비슷해요,156,52,55,"픽해두고 행사할때기다렸는데
이번에 쿠폰까지 받아서 더더 싸게샀네요
두께감도있고 따뜻하고 이쁘네요
무난한 그레이랑 
 매장에서 보고 반한 세비아핑크
기모안감에 적당히두꺼워서 올겨울 지하커뮤니티갈때 잘입을수있을듯합니다",Free
hty,,24.12.14,크림,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,164,47,44,"3번째 재구매 입니다 핏 아방아방한게 귀엽구
너무 이쁘고요
모자 엄청커서 쓰면 얼굴 작아보여요
블랙컬러에 로고컬러 센스 너무 이쁩니다ㅠ
따뜻한건 진짜 갑😀 블프기간이라 저렴한 가격에 좋은옷 구매해서 기분 좋아요",Free
gqp6pFQd,상위 30%,24.12.14,크림,밀크베이지,생각보다 커요,아주 만족해요,화면과 비슷해요,160,50,55,"이옷은 5년전부터꾸준히 나오던애라 자주구매했다.한20개정도는 사서입은듯..옷의 쳐짐이 내가 딱좋아하는스톼일이라..애정한다
그런데 옷은 피드백두없이 겁나늦게옴 해외배송보다느린듯..보름만에 왔으니.까먹있다 받았네 ㅋ 아이보린 필수템 베이지는 전에 품절떠서 구매못했다 이번에 구매함..내핑후드는 가격펌핑이 심하니 세일공략잘해서 구매들하시길..",Free
0mHyCofd,상위 10%,24.12.05,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,158,51,55,"크롭 기장인데 후드나 팔 기장이 크고 넓어서 전체적으로 귀여운 느낌이에요
기모 안감이라서 따뜻하고 소매 끝에 핑크색 로고가 포인트 됩니당
엄마 선물로 사드렸는데 마음에 들어하셔서 좋아요 :)",Free
IfsHZzkQ,상위 25%,24.12.05,멜란지그레이,세피아핑크,생각보다 커요,아주 만족해요,화면과 비슷해요,163,,,"친구가 입은거 보고 이뻐서 손민수함
아이보리 세피아핑크 그레이 블랙 있음
저것만 입고나가면 춥긴한데 하나 더 입으면 따뜻할듯

꽤나 오버 핏이라서 핏자체가 진짜 맘에 듬 
블랙 아이보리 지르고 이뻐서 추가 구매함",Free
B29VKWwH,상위 15%,24.12.01,멜란지그레이,세피아핑크,정사이즈예요,아주 만족해요,화면보다 밝아요,162,55,66,"생각보다 연한색이예요
그레이도. 아주연한색. 아주연한 핑크입니다
좀 밝아보이고싶어서 이쁜색했어요
팔이 통이 엄청 크네요 허리는 좁아요 
통 크롭 후드네요 
도톰해요 안감 기모가 좀 묻어날것같기도해요
잘 코디하면 아주 귀여울것가드아요
레깅스에 어울리는 후드입니당 ^^",Free
RPoJ9B0x,상위 10%,24.11.30,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,귀엽고 아방한 핏에 기모가 띠뜻하게 되어있어서 운동가기 전후로 입기 좋은 기모후드티에요! 평균적인 팔 길이를 가지고있는 저한테는 팔 기장이 확실히 많이 길어서 약간 애매하긴하지만 아방하고 넉넉한 핏을 좋아하는 분들한테는 좋을 것 같아요.,Free
cpUZcYpJ,상위 25%,24.11.20,멜란지그레이,크림,생각보다 커요,보통이에요,화면과 비슷해요,,,,"퀼리티는 모르겠지만 핏은 예뻐요 ㅎㅎ
근데.. 멜란지 그레이가 좀더 도톰하고 탄탄한 느낌이구 크림이 좀더 야들야들한 느낌이긴해요..
빨면 보풀이 많이 생길것 같긴합니다.
크림은 먼지가 넘나 많이 붙긴해요.",Free
tPpcjns6,상위 25%,24.11.18,멜란지그레이,,생각보다 커요,보통이에요,화면과 비슷해요,157,53,55,기모 후드집업 고르고 고르다가 젝스믹스 내핑을 보게되서 샀는데 완전 맘에 들어요! 소매가 커서 여리여리해보여서 좋았습니다! 가격이 살짝 비싼감이 있긴 하지만 다른 색도 사고보싶네요~~!!,Free
sjs6***,상위 10%,24.11.11,멜란지그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,164,45,55,"생각보다 도톰하고 완전크롭아니라서
좋네요
외외로커서 놀랐지만.
그치만 추워지니 패딩속에 이너로도 입기좋을거같아요.
모자각도 살아있고
운동갈때레깅스랑 .외출복으로 입기도
좋겠어요😃
첫구매로착한가격에 사서 더좋고요.
어제오후늦게 주문하고서
다음날
새벽 배송짱이예요!",Free
rwh9KccH,상위 15%,24.11.09,멜란지그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,157,47,44,주변에서 입은거 보고 핏이 너무 예뻐서 구매했어요 ㅎㅎ 살짝 아방한 소매라 더 여리해보이고 기모가 따뜻해요 퀄리티대비 가격완전 만족..🖤 할인받아서 구매해서 더 좋아요 ㅎㅎ 기모후드집업 찾으시면 꼭 사세용,Free
hioppekv,상위 5%,24.10.25,블랙,멜란지그레이,생각보다 커요,아주 만족해요,화면과 비슷해요,168,59,55,"진짜진짜 너무 이뻐요 !!!! 핏 진짜 최고 👍 
작년에도 고민하다가 안샀는데 진작 살걸 !!!
기모 들어가서 따뜻하고
모자도 크고 팔통이 커서 엄청 날씬해보여요.
여행가서 입은거 다 인생샷임 ㅋㅋㅋ
사진은 그레이만 대충 찍었는데 
블랙이 진짜 예뻐요 !!!
블랙손목쪽에 젝시믹스 각인 있는게 좀 촌스런
블랙이라 안살까 하다가 블랙은 필수라 샀는데
하나도 안촌스럽고 너무너무 이쁨 ... 
저는 블랙은 거의 교복템 될거같아서 하나 더 
살까 생각중입니다. ㅎㅎ 넘 이뻐요 정말",Free
dhy1***,,24.09.30,크림,,정사이즈예요,아주 만족해요,화면과 비슷해요,161,48,44,핏도 너무 예쁘고 허리 라인 예쁘기 보이게 해 줍니다! 그리고 기모라서 따뜻해요! 색상도 완전 하얀 백색입니다! 요즘 저녁날씨에 입기 좋아요!,Free
ZYFzSrGI,상위 5%,25.01.11,세피아핑크,밀크베이지,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,초창기때 그레이색 너무 잘입고 있어서 이번에 운동한다는 핑계로 두장 더 쟁였는데 톡톡하니 색상도 이쁘고 추운날씨에도 따뜻해요.,Free
rDeWRG2G,,23.12.25,블랙,미드그린,생각보다 커요,아주 만족해요,화면과 비슷해요,160,55,55,"회색은 미리 구매했었어서 검정색이랑 딥그린도 구매했는데 너무 이뻐여🫶🏻

가오리핏으로 모자도 넉넉하고 안에 기모여서
지금보다 날이 조금더 풀리고 레깅스에만 입고 나가도 너무 이뻐요",Free
auUQXHMm,상위 5%,23.12.03,블랙,,생각보다 커요,아주 만족해요,화면보다 밝아요,158,54,55,"젝시믹스 후드집업 말모,, 가격만큼 퀄리티 아주아주 좋아요 !! 처음엔 티에 기모털 붙었는데 몇 번 빠니까 괜찮아졌어요! 가오리핏이라 넘넘 귀여운데,, 모자가 무거워서 2번째 사진처럼 뒤로 당겨져서 목을 당겨줘야 해요 ㅋ.ㅋ",Free
Y6YtSIDs,,22.11.21,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,163,53,44,"박시 핏인데
오버박시로 그냐 팔락가오리가 되는 게 아닌
여리 아방 핏
어깨는 슬림하게 떨어지면서
걸쳐지는 후드가 굉장히 귀엽고
소매의 제시믹스 로고도 캐주얼하니 세련됨
소매 길이는 살짝 길지만 딱 맞는것보단 핏적으로 볼때
예쁘므로 너무 좋음
소매가 벌룬소매로 좀 넓다래서
손목이 앏아보임
근데 여기저기 묻을순 있을듯
소매 잘 보고 걷고 다녀야할듯

아무튼 예쁨
핑크랑 블랙있는뎅
예뻐서
크림이랑 멜란지 그래이도 살거임
사진에서 먼지많긴한데
어쩔수없음
고양이 키우기때문에...",Free
지클라1120,상위 15%,24.11.22,크림,,생각보다 커요,보통이에요,화면보다 밝아요,155,46,55,몇 년 전에 젝시믹스 에서 회색 후드를 주문했는데 너무 너무 잘 입어서 이번에 블랙 프라이데이 세일 하면서다른 색 구매했어요. 디자인이야 원래 알던 거라 괜찮은데 색상이 너무 백색이라서 크림색이면 좋았을 것을 그거 빼고는 다 맘에 들어요.,Free
hiimny,상위 15%,24.11.18,멜란지그레이,멜란지그레이,정사이즈예요,아주 만족해요,화면과 비슷해요,165,57,55,"매우 로켓 배송 
재질도 좋고 부들부들해요
사실 옷 재질은 이전에 핑크색도 샀었어서 그냥 믿고 샀어요 
 친구랑 같이 그레이도 구매했어요! 
크롭이지만 그렇게 짧진 않지만 정핏은 아니에요 품은 오버핏인데 여리여리해보이는 오버핏 
모자도 커서 조아유",Free
fPSEy67m,상위 20%,24.03.24,세피아핑크,카페오레,생각보다 커요,아주 만족해요,화면과 비슷해요,164,73,77,"지금 같이 일교차가 클때 입어도 될 정도로 기모가 생각보다 두툼하게 있더라구여! 제 가슴둘레가 100인데 아주 넉넉하구요
색도 너무 예쁘고 마음에 듭니다ㅠㅠ",Free
artp****,,24.03.08,멜란지그레이,세피아핑크,생각보다 커요,보통이에요,화면과 비슷해요,154,70,77,"너모귀여워요,, 색감은 카메라가 좀 노란기있게 나온거고 실제로보면 좀 더 회색이에오
세피아 핑크도 귀여워요,, 손목자수가 진짜귀여움😖",Free
l4BlL4bu,상위 5%,24.02.16,크림,,생각보다 커요,아주 만족해요,화면과 비슷해요,162,65,55,안에는 기모로 되어있고 따뜻한색감의 화이트입니다. 품질이 뛰어남. 근데 커요. 팔도 저한테 길어요. 총길이도 긴편. 몸통도 큰편.모자는 무거워 뒤로 처짐.,Free
