아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
blessing,,25.01.10,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,170.0,60.0,66,"후디 아방하고 귀여워요!! >-<✨️
적당히 귀여우면서, 또 스트렙 줄이 없어서!
깔끔한 스타일로 연출 가능합니다💓

안에 기모 있어서 따듯하구요!☺️
소재 너무 좋습니다! 역시 벨리드! 👍
탄탄하고 도톰해서 오래 입을것 같습니다
핑크색도 사고 싶어요! ㅎㅎ🫶",Free
0y9w9ElJ,상위 20%,25.01.02,옐로우,FREE,정사이즈예요,아주 만족해요,화면보다 어두워요,160.0,48.0,44,"절때 싸구려 뻣뻣 원단 아니고 보들보들하고 유연한 원단이예영 톤다운된 옐로우 컬러이궁 핏은 딱 가오리핏 나오는듯 색감 너무 이뻐서 얼굴 화사해지네영:)
단점이 있다면 모자는 장식용임 옷걸이 핏이라 쪼꿈 그게 아쉽네요 그래도 마음에 들어서 자주 입게 되네요",Free
No6rDgTZ,상위 1%,24.12.28,옐로우,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,155.0,52.0,55,"친구들하고 놀러갈때 편하게 입으려고 샀는데 엄청 자주 입구 있어요!̐̈ 
박시하고 기모가 따뜻하거 색도 귀엽고👍🏻
다른색상 또 사서 돌아가면서 입어야겠어요 :-)
아이폰 12프로 일반 카메라 색상 그대로 입니다
굳이 보정안해도 비슷한것같아서 ㅎㅎ̤̮",Free
4oMFfjUJ,상위 15%,24.12.27,블랙,FREE,정사이즈예요,보통이에요,화면과 비슷해요,166.0,53.0,55,"블랙이라 어쩔 수 없이 먼지는 잘 붙을 것 같지만 핏 정말 예쁘네요 후드티도 핏에 따라 다르더라구요
목에 후드끈 없고 핏 오버핏이면서 프린팅 없능 걸 원했는데 딱 만족시켜준 후드네요 다른색상도 사고싶어졌어요 조거팬츠랑 같이!",Free
김도라,상위 1%,24.12.27,블랙,FREE,작아요,보통이에요,화면과 비슷해요,163.0,75.0,66,"소매 자수가 매력적인 후드티입니다👍

저도 소매 자수 보고 끌린 듯이 구매했는데요
모델 착용 샷을 봤을 때는 엄청 큰 오버핏인줄 알았는데
생각보다 옷 품이 작은 편이고 오버사이즈 느낌은 아니에요 기장은 163cm기준 와이존 위로 올라와서 약간 애매한 기장입니다 😥
그래도 안에 기모 안감이라 따뜻해서 좋을 것 같고 중간중간 디테일들이 보이는 제품이라 코디 잘 해서 입어보려구요🫶

통뼈 언니들 오버사이즈 원하시는 거면 다른 제품 찾아보시는 걸 추천드리고 작은 뼈 언니들은 충분히 이쁘게 입고 다니실 것 같습니다☺️

🔥 참고로 저는 상의 사이즈 66 입습니다🔥",Free
lsjm*,상위 5%,24.12.25,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,55.0,66,"벨리드 베리굿 양기모 자수 후드티 블루 색상 너무 이뻐요
옷감 안은 기모로 따뜻하고 겉은 피치기모로 부드러운 터칭감 
색상 또한 흔하지 않고 고급스러운 색감이예요
제가 좋아하는 블루 💙 색상
귀염미~포인트라벨 자수가 디테일하니 고급스럽네요
국내생산 제품이라서 더~~믿음이가고 좋아요",Free
RpB2Vhb1,상위 10%,24.12.22,옐로우,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,165.0,55.0,55,"지난번 구매하려고보니 옐로우만 일반배송이더라구요
좀 기다렸다가 사야겠다 하고 기다리다보니 
할인까지해서 바로 구매했습니다.
딱 원하던 한톤 다운된 옐로우색상이고 자수포인트도 튀지않고 딱 고급스럽게 들어가있어요 후드도 크고
기모도 따뜻하고 부들부들 소재도 좋아요
오버핏으로 예쁜사이즈인데
후드를 쓰는건 비추...써보시면 압니다..😂😂
그거말곤 다 맘에들어요!!",Free
sua3***,상위 5%,24.12.21,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"기대이상이네요 저렴하게 구매한건데
목둘레선에 늘어나지않게 테이프 처리되어있고 소매단 자수처리가 너무 예뻐요
도톰하고 포근해서 딸이 너무 만족합니다 
한번에 만족하기 어려운데 딸이 옐로우 먼저 구입해서 입은 모습이 예뻐서 블랙으로 다시 구매합니다.",Free
알푸카포카,상위 5%,24.12.21,옐로우,FREE,생각보다 커요,보통이에요,화면과 비슷해요,163.0,52.0,55,밝은 노랑인줄 알았는데 그것보단 살짝 어두운? 탁한 노란색이예요. 입었을때 이게 무슨 색이라해야하지? 겨자색..? 싶은 느낌. 퀄리티는 그래도 괜찮아요! 기모는 두툼까지는 아니고 지금 날씨에 단독으로 입으면 좀 추울것 같긴 해요. 안에 껴입어야 따땃하다 정도.,Free
dona,상위 5%,24.12.20,그레이,FREE,생각보다 커요,보통이에요,화면과 비슷해요,160.0,53.0,55,"엄청 폭닥폭닥한 기모후드티네요:)
집에서 입어보는데 후끈해요ㅎㅎㅎ 초겨울?까지는 속에 이너티 입고 단독착용해도 충분하겠는데요??

160cm기준 시보리 안쪽으로 넣어 입으면 골반에 딱 걸치는 길이입니다! 딱 좋네요^^

부들부들한 촉감에 재질이 무척 좋은 것 같아요. 오래 입을 수 있을 것 같은?? 안에 기모도 엄청 보들보들해요! 맨살에 기모입는 걸 좋아하지 않는 편인데, 부들부들해서 좋더라구요:)

다만, 포켓 옆에 검정점이 있어서 뭐가 묻은 줄 알았는데, 원단이 검정색으로 틘부분이더라구요. 약간 기름 튄 느낌이 들지만 굳이 교환은 안하고 입으려구요. 검수 잘 부탁드립니다:)",Free
