아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
pXaMBEN0,,24.01.12,free,카키,정사이즈예요,아주 만족해요,화면과 비슷해요,168,70,66,마감이 쬐이이ㅣㅣㅐ애애끔 튀어나온 게 보였지만 이정돈 애교에요. 자르고 입으면 됩니다. 키 크고 통통한 저에게도 예쁘고 여리여리하게 떨어지는 핏을 찾았어요.. 핏이 너무 여무져서 안 부해보임. 보통 상세설명의 사진하고 다르게 짧고 질이 너무 안 좋은 상품들이 많은데 사진에서 보시다시피 탄탄!!!!합니다. 개조음ㅠㅠ,Free
gvSgmpax,,23.12.07,free,카키,정사이즈예요,보통이에요,화면과 비슷해요,165,48,55,반품할까 고민했었는데 또 어떻게 옷매무새 만져주면 또 괜찮아서 그냥 입고 다녀요 사선으로 있는 트임이 예쁘긴 해요 근데 가슴 때문에 좀 부해보이는게 단점 ㅠㅠ 예리예리한 언니들이 입으면 예쁠듯!,Free
H5ib3nrq,상위 25%,23.12.03,free,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,162,53,55,"생각보다 색상이 많이 노란편인 거 꼭 참고하세요!
아이보리보다는 버터크림색이라고 봐야할 거 같아요!!
(두 번째 사진이 더 실제 색상과 가깝습니다)
모자 흐르는 핏 너무 예쁘고 여리여리해보이는 느낌 확실합니다!
소재는 일반적으로 알고있는 소재는 아니라 독특해서 좋았어용
저는 단추 다 풀고 그냥 안에 검은 속옷+ 검은나시 입어서 어깨 살짝 많이 보이는 게 예쁘더라구요ㅎㅎ 
다른 쇼핑몰에서 같은 제품 많이 팔지만 이거저거 다 비교해보고 여기서 구매 결정했습니다❤️‍🔥",Free
고봉밥,,23.11.19,free,카키,정사이즈예요,보통이에요,화면보다 밝아요,176,70,66,"이 자연스럽게 잡히는 주름이 개가티 이뻐요.
벗 모자 쓰면 모지리 되긴 함...
키 큰 통통녀인 제게도 여리여리 해보이고 좋네요.
팔 기장감 좋았고, 개인적으론 몸통부분 기장감이 2~5센치정도 길었어야할듯....ㅜ
>> 아담하고 마르신 분들이 입으면 넘 예쁠 것 같아요.
그리고 저는 색감 마음에 듭니다!",Free
4U8Kpbk4,,23.11.04,free,카키,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"너무 꾸민느낌도 아니고, 그렇다고 안이쁜것도 아니라서 너무 잘 입거있어요! 
포인트로 목걸이 하나 차니까 딱 이쁘고 좋아요!ㅎㅎ
처음에는 핏이 좀 어중간 한가 했는데 입다보니 더 매력있고 좋습니당
소재도 탄탄한게 좋아요!",Free
56gIUowe,,23.09.18,free,아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,160,60,66,160에 60 팔뚝살 많은 체형 / 이렇게 생긴 옷들 거의 다 반려동물옷 수준의 쫄티로 나오는데 이건 낙낙하고 적당히 핏 돼서 너무 예쁨 / 대신 55이상은 바스트가 좀 있어야 예쁠듯 / 개만족 블랙도 살걸!! ㅜ,Free
J18nQBGL,,24.11.18,free,카키,정사이즈예요,보통이에요,화면과 비슷해요,162,52,55,"생각보다 좀 어정쩡해서 단추 3개 푸르고 입으려구요
색감도 오묘하고 옷이 예쁘긴 한데 너무 얇고 길이 잘 안 들어서 예쁘게 입으려면 좀 걸릴 것 같아유",Free
hh_9,상위 10%,24.04.17,free,카키,생각보다 커요,아주 만족해요,화면과 비슷해요,172,55,66,"카키색이 안어울려 한반도 도전해보지 않았었는데 나름 괜찮은것 같아요! 
실제로 보니 와플모양의 재질이고 모자는 그냥 포인트 디자인이 확실해요^^ㅋㅋㅋㅋ
그리고 어깨 내려입어야 이뻐요!! 허리라인이 생각보다 예뻐서 맘에 들었습니둥",Free
j71z9MGL,상위 10%,24.04.14,free,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,160,69,66,평소 66-77 입는데 달라붙는거 전혀 없고 정말 날씬해보여요! 팔도 긴 편이라 사실 소매 길이를 제일 중요하게 생각하는데 사진처럼 소매도 길어서 여리여리해보이고 거칠함 전혀없이 완전 부드러워요ㅜㅜ,Free
h001***,,23.10.01,free,카키,생각보다 커요,아주 만족해요,화면과 비슷해요,158,40,44,"널널한 핏이라서 편하게 입을 수 있을 것 같아요!
볼품없는 말라깽깽이몸이라 허리라인 살짝 더 잡아 입어야 예뿐것 같아요! 질은 가격대비 굿입니당",Free
tnhyjVzK,상위 5%,24.11.30,free,카키,정사이즈예요,보통이에요,화면과 비슷해요,166,50,55,"일본여행 때 입으려고 급하게 주문했습니다
가성비 굿입니다 ! 생각보다 재질이 탄탄해서 좋았습니다
대신 핏이 좀 더 핏했으면 예뻣을거 같아요
처음에는 목부분이 애매했는데, 좀 입다보니 예쁘게 만쟈서 입을 수 있었어용
굿이에요~",Free
