아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
dW28QTg9,,25.01.01,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,164,53,55,"총평) 걍 슬앤스러워여 => 무난하고 괜찮은데 묘하게 애매하고 부족한 부분 有...

-단점) 3, 4번째 사진 보면 아시겠지만 밑이 살짝 울고 중간도 살짝 울어서 풀면 진짜 좀 어벙하고 모지라보임;;
+) 저는 어차피 사람은 움직이니까 신경 덜 쓰이긴 하는데 참고하세여
-장점) 딱 스탠다드한 핏, 기장감이라 단품이든 레이어드든 범용성 높음/모자 각 ㄱㅊ고 큼- 허벌 모자, 옹졸 모자 아님!/ 원단 톡톡하고 ㄱㅊ",Free
tushzyeuay,상위 5%,24.12.09,오트밀,,정사이즈예요,보통이에요,화면보다 어두워요,164,45,44,우선 색이 아쉬워요ㅠㅠ 생각보다 노란빛이 많이 돌고 군데군데 검은 점이 박혀있는데 원래 디자인이 그런것 같더라구요..?? 다른 오트밀색 제품이랑 비교해보면 확실히 노란 편.. 그래서 반품을 고민했지만 핏이 맘에 들어서 입기로 했습니다! 모자도 넉넉하고 적당히 짧은 길이에 굉장히 귀여운 핏이에요 기모옵션은 고민하다가 사계절 입을 생각으로 안했어요 색만 더 화사했으면 정말 완벽했을텐데... 두께는 얇은 편 같아요,Free
ej3sXV4D,상위 15%,24.12.06,(기모)오트밀,,생각보다 커요,아주 만족해요,화면과 비슷해요,158,46,,가볍게 입을 후드집업 필요해서 샀는데 배송도 빠르고 좋습니다! 새옷 공장 냄새도 안나고 가격대비 퀄리티 좋은 것 같아요~ 기모로 샀는데 엄청 두껍진 않습니다! 생각보다 모자가 엄청 크고 모자 뒤집어썼을 때 목부분이 휑…하긴 해요ㅋㅋ 그리고 소매 시보리? 가 엄청 짧습니다! 잘 입고 다닐 것 같아요!,Free
ATF3HICz,상위 10%,24.05.14,블랙,,생각보다 커요,아주 만족해요,화면과 비슷해요,161,50,44,"장점1. 완벽한 기장감+품+팔 길이
161/50 기준 기장, 품, 팔 길이 완벽해요. 캐주얼하면서도 여리여리 쌉가능. 세미크롭 기장이라 엉덩이 커보이지 않고 키 작아 보이지 않구요. 나그랑 스타일에 넉넉한 품이라 상대적으로 몸통이 작게 보여요. 팔 길이는 불편하지 않을 만큼 길어서 팔도 길어보이고 여리여리해 보여요.

장점2. 짱짱하지 않은 시보리
짱짱한 시보리가진 맨투맨이나 후드들 언젠가는 보기 싫게 늘어나더라구요. 특히 허리부분 시보리 기장 애매하면 입을 때도 불편하고 엉덩이도 커보일 수 있어서 선호하지 않는데 이 제품은 소매, 허리부분 모두 넉넉해서 애초에 늘어날 일도 없고 편해요.
특히 허리부분은 조이지 않아서 투웨이 지퍼가 아닌 단점을 커버해줘요. 지퍼 다 열고 입어도 편하고 끝까지 올려 입어도 조이는 부분 없이 낙낙해서 아주 예뻐요.

장점3. 깊은 모자
반곱슬이라 비오거나 습도 높은 날 무조건 모자 써서 맨 머리가 습기에 노출되지 않게 하는 편인데 그럴 때마다 후드 모자가 작으면 너무 불편했어요. 머리도 묶을 수 없고 푹 눌러쓰면 머리가 너무 눌린다거나 머리만 겨우 감추다보니 얼굴만 드러나서 이상해보이거든요.
이 제품 모자가 크고 깊어서 머리 묶거나 집게핀 해도 충분히 얼굴 푹 가려져서 비올 때 필수템이예요. 머리는 당연히 습기에 노출이 안되니 스타일링 무너지지 않아서 좋고 모자쓰고 스트링까지 꽉 조여주면 보온성도 높아져요.

기모버전 그레이랑 블랙사서 겨울 내내 엄청 입고 세탁기에 그냥 막 돌렸는데 아직까지 보풀없고 형태 무너짐 없고 새것처럼 그대로예요. 
제발 다들 이거 깔별로 사셨으면...👌",Free
P0AfSnQk,상위 20%,24.12.18,그린,,정사이즈예요,보통이에요,화면과 비슷해요,164,50,55,"초록색 색감 보고 반해서 샀어요!!
근데 뭔가 조금 더 노란끼가 도는 듯한 느낌..?
근데 또 상세페이지랑 색깔은 똑같음 이게 뭐지
그리고 안쪽에 오버록? 부분이 그대로 노출되어있어요
이런 부분에서 디테일이 좀 떨어집니다",Free
냠냐면,상위 20%,24.10.05,다크네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,162,58,,"아주 굿이에요 👍
따뜻한 면재질이라 가을, 초겨울까지 입기 좋아요.
입으면 포근포근한 느낌이 듭니다.

적당한 숏기장 오버핏 사이즈라서 딱히 튀지않고 입을 수 있을 것 같아요. 😋",Free
hls2***,,24.10.02,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,160,55,66,아랫단이 쪼이지 않아서 가슴이나 배부분이 뜨지 않고 핏이 일자로 툭 떨어지는 게 너무 좋아요 모든 하의와 잘 어울려요! 이 디자인으로 워싱된 피그먼트 같은 재질후드도 나왔으면 좋겠어요 ♡,Free
난이쁜놈만패,상위 25%,24.09.11,그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,160,54,66,"다른 분들이 리뷰 남긴 것처럼 밑단 시보리가 아예 탄성이 없어요. 방방 뜨는 느낌? 그래도 핏도 예쁘고, 자켓이랑 레이어드 하기 딱 좋는 것 같아요. 모자도 넑찍해서 모자 썼을 때 이쁩니다!",Free
jRQIf4Lr,상위 20%,24.11.23,그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,165,70,66,"딱 제가 찾던 상품이네요. 크롭 기장이 너무 좋구 오버핏이지만 부해보이진 않아요⭐️👍🏻 
조끼랑 레이어드해서 입었는데 이쁩니다!!!",Free
xGQxlQnN,,24.10.18,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,158,47,44,"살짝 가오리 핏이긴 한데 전 좋아해서 맘에 들어요
길이도 너무 길거나 짧지 않아서 좋고 시보리 안 짱짱한 걸 좋아하는데 딱 제가 좋아하는 스타일",Free
