아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
HSMlaVyN,상위 30%,22.09.16,아이보리,기모,정사이즈예요,보통이에요,화면과 비슷해요,153,44,44,한 번 입어보려고 들췄더니 안에 짧은 머리카락이랑 ...검은 보풀이라고 해야할까요 뭔가 묻어있더라고요^^... 그래도 퀄리티 나쁘진 않고 기모도 있어서 좀 무겁지만 따뜻하고... 저 부분 때문에 좀 잉...했네요^_8... 옷 자체는 예뻐요,Free
자몽이,상위 5%,21.10.27,메란지,기모,생각보다 커요,아주 만족해요,화면과 비슷해요,153,47,55,겨울에 세트로 입으려고 둘다 기모제품으로 샀어요! 제작상품이라 2-3주 소요된다고했는데 배송은 생각보다 빨리 도착했어요! 제 키가 153이여서 후드티 크지않을까 걱정했는데 전혀요! 제 키에도 예쁜 오버핏으로 잘맞아요! 그리고 후드 밑단이랑 손목 시보리가 짱짱해서 좋구요 세탁해도 변형은 적을 것 같네요. 밑단 시보리 짱짱해서 접어 입었을 때 안에 이너 티 보이는 게 정말 예뻐요! 저랑 키 비슷하신 분들 후드티 고민하신다면 고민말고 사세요!!! 다른 색상으로 추가 구매의사 완전 있어요 ㅎㅎ,Free
rntm***,,22.01.05,그레이,기모,정사이즈예요,아주 만족해요,화면과 비슷해요,152,47,55,"한달전에 검정색을 구매하고 너무 좋아서 ㅠㅠ 다시 회색으로 사러 왔습니다…!
역시 좋아요 진짜로..! 안에 양기모가 아주 툭툭해서 아무 옷 위에 걸쳐도 빈티나 보이지도 않고 증말루 좋아요!!
저같이 키작으신 분들은 요즘 후드티 인기 상단에 있는 오버핏 후드 입으시면 진짜 무릎까지 오잖아요..!
요것은 입으면 아주 딱 이쁜 사이즈…! 
여기에 통 넓은 면바지 입어주면 쥑입니더~
행님덜 어서 사시지요~",Free
m_ii*,상위 10%,21.11.13,그레이,기모,생각보다 커요,아주 만족해요,화면과 비슷해요,167,51,55,마감도 깔끔하고 저한테 적당히 오버핏이라 넘 만족해요 모자도 이중으로 마무리되어있어서 좋았고 무엇보다 기모가 짱짱해서 오늘 입고 운동나갔다가 등에 땀났어요ㅋㅋ 팔길이 넉넉한것도 좋아요,Free
coco******,탑리뷰어,24.10.18,메란지,일반,정사이즈예요,별로예요,화면과 비슷해요,164,53,44,"안감이 최악,,, 다들 이정도는 그냥 참고 입으실 수 있는 건가? 싶은
쭈리도 보세여도 요즘 3단 쭈리다 뭐다 하면서 최대한 조직감 있게 잘 나오는데 이건 뭐 너무 거칠어서 피부에 닿는 느낌이 너무 불편해요 피부에 닿는 느낌이 하루종일 신경쓰여서 손이 안 갑니다 내의를 입고 입어도 이 후드가 이겨요,,, 사진으로는 잘 티가 안나는데 손으로 만져보면 유연제를 전혀 안 쓴 것같이 버석버석합니다ㅠㅠ 안감이 제일 문제인데 겉감 면도 별로에요,, 뭐라 말하지 티셔츠를 오래 입고 자주 빨아서 부드러움이 사라지고 쪼그라든 것 같은? 그런 느낌인데 얘는 새상품이라는 게 충격…
이 시리즈 바지는 무릎 나오는 것 때문에 바로 버렸는데 얘도 (겉보기엔 멀쩡하니) 입을 수는 있지만 착용감 생각하면 돈 날린 거나 마찬가지일듯 이정도 라인업 구성으로 내면서 재질에 왜 투자를 안 하시나요… 웬만하면 사바사이니 후기를 너무 나쁘게는 안 쓰는데 이건 정말 비추합니다.,,, 시리즈 전체를요 입을 수가 없으니 디자인이니 핏감이니 더 따질 것도 없어요",Free
TzrW9fqT,,23.09.18,그레이 (Gray),Free,생각보다 커요,아주 만족해요,화면과 비슷해요,155,46,55,좋음 이 가격에 이 퀄리티? 진짜 좋음 너무 좋아서 블랙도 같이 사길 정말 잘했다고 느낌 안 그랬으면 곧 추석이라 땅을 치고 후회했을 듯 짱짱굿굿,Free
aoeVszXO,상위 10%,21.11.05,메란지,기모,생각보다 커요,보통이에요,화면과 비슷해요,157,49,55,"도톰하니 따뜻해요.
세트구매했는데 한벌로 입으면 덩어리같아서 따로 입어야겠어요.
예쁜 오버핏이지만 세탁후엔 어떨지..
목부분은 살짝 답답했어요.",Free
T2lUD875,상위 15%,21.10.18,오트밀,기모,정사이즈예요,보통이에요,화면과 비슷해요,167,54,55,팬츠랑 같이 구매했는데 167기준으로 길이감이 조금 애매하긴 해요. 엉덩이를 덮자니 너무 어벙하고 크롭은 아니고.. 그래도 도톰하고 탄탄해 만족합니다!,Free
SOox0MIP,,22.11.05,오트밀,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163,49,66,완전 따뜻하고 얇지 않아서 좋아요! 원단이 툭툭해서 이제는 이거 하나만 입기엔 좀 춥긴한데 10월에 입었을땐 이거 하나로 충분히 따뜻했고 난방 틀면 더울정도예요! 진짜 강추!! 하나 더 사고 싶어요!!,Free
GqyJEa1K,,23.10.14,아이보리,양기모,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,색 하얗고 길이도 제가 딱 찾던 정도에요! 밑단이 짱짱해서 접어 입기 좋았어요! 아직 안빨아서 빨고(그냥 세탁기러 돌릴 예정) 난 후 밑단부분 짱짱함이 사라질지는 잘 모르겠어요. 기모 버전 따듯해요!,Free
WEkTmQPO,,23.10.06,메란지 (Melange),Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163,50,55,이 퀄리티에 15000이면 대박입니다 핏은 163에 50인 저한테는 딱 괜찮은 오버핏이구요 목이 착 감겨서 더 좋네요 무지라 여기저기 코디하기도 좋고 퀄 굿!! 기모로 없어서 안에 히트택이나 평소 입는 아무 옷 입고 후드입으면 딱임 ㅇㅇ,Free
지옹잉,상위 30%,23.09.11,오트밀 (Oatmeal),Free,정사이즈예요,보통이에요,화면보다 어두워요,158,53,55,안쪽이 생각한거랑 다르게 너무 까칠하고 별로인데 핏은 사진이랑 똑같은 퀄리티에요. 근데 안에 까슬거림때문에 반팔티 하나 입고 입어야할거같네영.. 오트밀 색도 뱔로 예쁘진 않고 그냥 입을만하고 핏은 장담하는데 진짜 옘버요!!! 기모였으면 더 나았을듯 하네용 세일가격에 산거라 뭐라고는 못하겠지만 만이천원에 산거면 괜찮은거같아요~~~많이파세요~~,Free
pySuAyU2,,23.04.19,오트밀 (Oatmeal),Free,정사이즈예요,아주 만족해요,화면과 비슷해요,156,47,55,지금 갖고있는 후드티가 다 낡기도 했고 오트밀 색은 하나도 없어서 새로 사봤는데 길이도 딱 맞고 시보리도 너무 짱짱하지도 않고 너무 헐렁하지도 않고 딱 적당해서 너무 맘에 들었어요!!,Free
5aV2xyrG,상위 15%,22.11.28,블랙,기모,정사이즈예요,보통이에요,화면과 비슷해요,158,52,55,"사이즈적당해요. 살짝 넉넉한데 밑부분 시보리 짱짱해서 잡아주는 스탈. 원래오트밀색상 사서 잘입었는데 그것보다 면이 부드러워요. 기모도 따뜻하고 좋아요.
오트밀색상은 모자가 넘짱짱했는데 이건 그것보다 살짝 덜해요. 여기저기 편하게 입기좋음. 
퀄이 진짜 좋아요. 다만 먼지 많이 붙네요. 입을때마다 먼지떼야함.",Free
xDWPSdc3,,22.10.13,네이비,일반,생각보다 커요,보통이에요,화면과 비슷해요,,,,"생각보다 부들거리는 천이라 너무 좋아요!
어께 라인이 조금 이상하게 튀어 나왔는데 뭐 그정도는...
실물은 짱 이쁜 네이비 색이고 사진은 차콜 색으로 나왔네요 ㅋㅋ
아직 세탁을 안해서 모르겠는데 세탁 후에도 정말정말 멀쩡하면 좋겠네요!",Free
YeJiNNNY,상위 30%,22.10.10,오트밀,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,160,49,44,일단 엄청 탄탄해요! 웬만한 브랜드 후드티들 보다 탄탄하고 오래 입을 수 있을거 같아요 아쉬운 점은 안감 털이 잘 묻어나는 편이라 검정색 옷 빨래와 절대 같이 돌리면 안 될 거 같아요! 말곤 다 맘에 들어요!,Free
FQYKwzzG,,22.09.28,블랙,일반,정사이즈예요,보통이에요,화면과 비슷해요,157,55,66,"처음 구매하는 곳인데.
블랙이라 색상은 그냥저냥 무난하고 옷 자체에 보풀이 너무 많네요ㅜㅜ 옷 검수 차 흰티입고 위에 걸쳐 입었는데 검은색 털?먼지들이 흰옷 다 뒤덮어서 좀 속상하네요.
그나마 할인 받고 사서 덜 억울한 감이 없지 않아있네요.",Free
LB6dOftG,,22.04.19,그레이,일반,생각보다 커요,보통이에요,화면과 비슷해요,158,45,44,"여기서 세트로 한번은 기모, 한번은 검정, 이번엔 회색으로 지금까지 3번 샀을만큼 너무 좋아요!! 밖에 나갈때 아무 생각 없이 입고 나갈 수 있어서 너무 좋고 고무줄이 짱짱해요!!모든 검정 옷들이 그렇지만 이 옷또한 먼지가 잘 보여요. 항상 입기 전에 돌돌이로 제거하고 입어요. 그리고 상의는 제가 몸이 조금 작다보니 생각보다는 조금 크지만 그만큼 편안하게 입을 수 있어요. 세탁을 할때마다 조금씩 줄어드는 느낌이 있기는 했",Free
esebS2,,22.03.31,메란지,기모,정사이즈예요,보통이에요,화면과 비슷해요,155,47,44,"요즘 날씨가 저녁에 추운 편인데 운동갈 때 입기 딱 적당해요 ! 기모도 폭닥합니다
후드가 살짝 뒤로가서 목이 답답한 느낌 있는데 그냥 막 입기 너무 좋아서 추천해요",Free
Ibgp30Xn,,22.03.20,오트밀,일반,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,163-4 49-50 유툽보고 구매했고 조거 팬츠 세트 구매 했는데 대 만족 입니다. 옷감이 탄탄해서 옷모양이 쉽게 변하지 않을듯하고 색도 예상과 같고 다른 컬러가 있으면 구매 하고 싶어요.,Free
Wq7GXPtm,,22.02.24,오트밀,기모,정사이즈예요,보통이에요,화면과 비슷해요,167,53,55,"일단 기모가 아주 두툼합니다.. 한겨울에 입어도 될 것 같아요. 생각보다 어깡이 되는 핏이지만 전체적으로 나쁘진 않습니다. 다만 모자가 좀 길이 안든다고 해야될까요… 두꺼워서 그런지 약간 붕 떠있는데 애기 한명 업고있는 느낌입니다…

+한겨울에 입어도 될 것 같다 했었는데 아니었네요. 두꺼운 기모를 뚫고 바람이 아주 송송 잘 들어옵니다. 제가 열이 많아서 그런건지 저는 딱 전형적인 실내에선 덥고 밖에선 추운 옷이었습니다…",Free
aXOOrLza,,22.01.28,블랙,기모,정사이즈예요,보통이에요,화면과 비슷해요,162,60,55,"후기에 뭔가 검은색은 먼지도 많이 묻고 좀 다른것같다거 했지만 기본 검은색 후드 필여해서 샀는데
진짜 좀 달라요
오트밀도 가지고있는데 그건 모자도 크고 겉표면도 면 같은데 검은색은 모자가 작아요 그리고 겉도 약간 후리스? 느낌이예여 왜 먼지 많이 묻는다고 하시는지 알것어요 

모자만 오트밀이랑 똑같으면 핏은 완벽해요 ㅎㅎ",Free
