아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
jy__***,상위 10%,24.11.19,Gray(그레이/기모),,정사이즈예요,보통이에요,화면과 비슷해요,158,65,55,"이 옷 꽤 오래 판매해주신덕에 회색도 간만에 사입네요
몇년잔에 이옷 차콜색으로 구매하고 지금까지도 잘 입고 다녀요 다만 색이 좀 드문드문 빠져서ㅋㅋㅋ원래 그런냥 빈티지?한 맛으로 입고 다니다가 아직도 판매중이길래
다른색상 새로 구매하게됐어요
뭔가 차콜보단 얇은느낌?인데 색상마다 다른건지 옷이 이제 좀 바뀐건진 모르겠지만,,
어쨌든 짱짱하니 너무 좋아요 기본템으로 장만해두기 넘 좋습니다.
기모라 핏도 꽤 탄탄하게 잡혀서 착용했을때 예뻐요
길이는 너무 짧지도 길지도 않은 적당한 기장감이라
애매한 핏이 되지않는게 제일 좋습니다
차콜도 다시 구매해볼까 싶은데 색 바랜건 말고 여즉 탄탄하고 따수워서 또 다른색상으로 구매 해볼까 싶어요
오래오래 이 옷 판매해주세요",Free
YEgFdFhQ,상위 20%,21.11.04,Gray(그레이/기모),,생각보다 커요,보통이에요,화면과 비슷해요,160,58,55,"'가격치곤 2%부족한 옷' 
1. 소매가 고무로 잡혀있어서 개인적으로 편함(소매걷어올리고 내릴때 늘어남이 없다.)
2. 롱한기장감이 아니라 크롭기장이라 조금 애매함(레이어드티랑 매치 필수?)
3. 지퍼가 중국산 싸구려느낌(싸구려 옷에 달리는 안튼실한지퍼랄까..?)
4. 오래 입을려고 일부러 기모 샀는데요,,,그래서 인지 옷은 전체적으로 잘잡아주고 탄탄한거 같아요! 
5. 모자가 커서 좋음.
6. 160이상인 분들은 구매하면 기장때문에 입어보고 ㅇㅅㅇ? 할 옷(160이하인분들은 딱 예뿌게 입을 수 있을덧,,)",Free
jjK9ombA,,24.11.19,Gray(그레이/기모),,생각보다 커요,보통이에요,화면과 비슷해요,164,59,55,"손목 시보리 짱짱해서 맘에들고
기모는 두께감 있어서 따뜻합니다
지퍼도 투웨이라 마음에 드는데
위쪽 지퍼만 사용하는 경우 아래쪽 지퍼가 돌아간다 그래야하나ㅜ 옷 자체가 한쪽으로 도네요...ㅠ",Free
4tGG7Htb,상위 10%,24.10.25,Gray(그레이/기모),,생각보다 커요,아주 만족해요,화면과 비슷해요,154,40,55,"키 150초반 기준 크롭보단 긴 기장이라
딱 적당합니다
품은 커서 길이만 아니면 마른 남자들도
입울 만한 품이라 좋아요
기모는 얇은 기모이고 주머니도 있어서 좋은데
주머니 손 넣어보면 다 없고 반쪽씩만 기모가 있어서 아쉬워요
가격이 저렴한건 아닌데 이부분이랑 자크가 좀 저렴해 보이는것이 조굼 아쉽지만
핏이너무좋아서 감안할수잇어요
그리고 기모 없으면 그렇ㄱ 탄탐하진 않을거같아서
기모 추천함니다",Free
8JG1mr7w,,23.10.09,Gray(그레이/기모),FREE,정사이즈예요,보통이에요,화면과 비슷해요,152,49,44,소매 시보리가 귀여워서 구매했어요 기모도 도톰하고 제 기준 너무 과하지 않게 예쁜 오버핏이라 택배 오자마자 입고 나갔는데 한번 빨자마자 오묘하게 줄어들어서 예쁜 오버핏 느낌이 살짝 사라졌어요ㅠ 리뷰에 줄어든다는 말은 없어서 안심하고 세탁기 돌렸는데 아쉬운대로 입어야죠.. 기모로 사신 분들은 세탁할 때 조심하시는 게 좋을 것 같아요,Free
rS3mXL55,,23.03.05,Charcoal(차콜/기모),FREE,생각보다 커요,보통이에요,화면과 비슷해요,165,45,55,"핏이 귀여워서 만족합니다.
기모는 생각보다 두껍진 않은데 벌써 3월이라 ㅋㅋ 오히려 좋은거같아요. 딱 4월쯤에 걸치기 좋은 느낌.
아직은 밤에는 이거 하나만 입기엔 좀 추울 듯 합니다.
지퍼는 투웨이들이 다 그렇듯 겁나 구리겠거니~ 생각했는데.. 웬걸 생각보다 괜찮은데요? 좀 뻑뻑하긴 하지만 다른 것들보다는 나아요.
하여튼 전체적으로 괜찮았네요. 다만 3만원 초반대였다면 더 좋았을듯..",Free
stx6fGiQ,상위 30%,22.12.11,Gray(그레이/기모),,정사이즈예요,별로예요,화면과 비슷해요,160,50,55,"이거 재작년인가에 사서 진짜 야무지게 2년 입고 지퍼 나가서 다시 동일한 제품으로 샀는데 기모라면서 예전보다 더 얇아지고 .. 퀄리티도 좀 에바가 되었네요 ㅠㅠ 아쉽네요 너무 좋아서 재구매했는데
너무 얇아서 지퍼 자국있음 ㅋㅋ;;",Free
D5oqmirP,,22.04.06,Gray(그레이/쭈리),,정사이즈예요,보통이에요,화면과 비슷해요,154,48,55,"포장 뜯어져있던거랑 모자쪽에 작게 뭐가 튄것같은건 아쉬웠지만
핏이 진짜 귀엽고 딱 이쁘게 맞고 좋아요👍🏻
지퍼는 조금 적응해야할 것 같아요
재질은 약간 얇은 듯 하지만 가볍게 입을거라 만족합니다
괜히 고민했어요 겨울에 기모도 살 거에요",Free
V0anLS9k,,22.04.02,Charcoal(차콜/기모),,정사이즈예요,보통이에요,화면과 비슷해요,163,50,55,가격대비 충분히 괜찮은 옷 같아요. 챠콜 투웨이 집업을 찾다가 저렴해서 퀄리티를 걱정했지만 여기 말고는 원하는 핏을 찾기가 힘들어서 구매했어요. 부자재나 마감에서 좀 아쉬운 거 빼고는 원단도 괜찮고 엉덩이 반 가리는 기장에 핏은 맘에 듭니다. 잘 입을 것 같아요.,Free
MjxbdFtp,,22.03.03,Gray(그레이/기모),,생각보다 커요,보통이에요,화면과 비슷해요,162,54,55,"사이즈가 생각보다 커요 
길이 감도 애매한데 통도 커서 좀 애매한 핏이에요
그리고 옷 안감에 검정색 싸인펜..? 같은 게 물들었는데 밖은 멀쩡하니까 그냥 입으려고요.. 지퍼 퀄은 기대 이하예요 3만원이 싼 가격도 아닌데 엄청 뻑뻑합니다",Free
