아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
리뷰왕이될거야,상위 30%,24.12.19,Pink(핑크/가디건),,정사이즈예요,아주 만족해요,화면과 비슷해요,160,60,66,"사실은 모델언니 여리핏 보고 구매했는데 운동튼튼걸에게는 무리데쓰핏임미다~ ㅎ.ㅎ
하지만 저렇게 레이어드해서 입으니까 넘 이뽀요 

1) 안에 레이어드탑만 입었는데도 까끌거림은 크게없어요
2) 브이넥이라서 훨씬 더 보였을 때 여리해보여요
3) 저렇게 입고 롱패딩 입었는데 영하2도 날씨 무리없이 견뎌⚡️

오랜만에 핑꾸옷 입으니까 기분조아요 🌸💓",Free
gp5z5oKp,상위 1%,24.10.19,Charcoal(차콜),,정사이즈예요,아주 만족해요,화면과 비슷해요,167,50,55,"가을, 겨울 맞이하여 가볍게 입고다닐만한 니트를 찾고 있어서 이 제품을 구매하게 되었어요❕
색상은 사이트에 올라온 사진과 거의 똑같애요 
저는 이 제품 살짝 루즈한 핏 기대했는데 생각했던것보다 정핏입니다! 처음엔 그래서 살짝 애매하다 생각했지만 막상 여러가지 레이어드 하기에도 너무 좋고 무엇보다 너무 루즈했으면 핏이 안살았을 것 같은데 허리, 손목 벤딩이 세지 않게 체형을 잘 잡아줘서 더 이뻐보입니다❕
저는 사진처럼 안에 실크 루즈 목폴라를 레이어드했는데 니트 안에 팔기장이 니트보다 살짝 긴 얇은 슬리브 레이어드해도 찰떡입니다! (참고로 저는 니트 색이 어두우니 화이트나 그레이 계열로 레이어드하는게 더 잘 어울리는 것 같더라구요🥰)
제가 트레이닝 바지 입은 것 처럼 캐주얼하게 입기도 좋고 포멀하게 청바지나 와이드 슬렉스같은거 입어도 지금같은 날씨에 잘 어울릴 것 같애요❕",Free
KAnC95NO,상위 5%,24.10.17,Sky(스카이),,정사이즈예요,아주 만족해요,화면과 비슷해요,165,55,55,"이거 안따가운 분들은 피부가 강철인가요..?
일단 실물 예뻐요 색이 진짜 ㄱㅊ네요
마감 사알짝 아쉬운 부분도 있는데 크게 신경쓰일 정도는 아니구요
맨살에 입고 너무 따가워서 좀 당황하다가 셔츠랑 같이 입어보거 만족 만족했슴다",Free
tmd1******,상위 5%,24.11.26,Pink(핑크/가디건),,정사이즈예요,아주 만족해요,화면과 비슷해요,169,54,55,"가디건은 후기가 별로 없어서 고민했는데
믿고 시켜봤오요
일단 배송은 담날 바로 출고했어요👍
핑크는 약단 톤다운된 핑크인데
화면이랑 거의 일치하고 웜쿨톤 상관없이
예쁜거같아요🥹 얼굴 형광등 탁이에요
키가 있어서 기장감은 살짝 짧은데
단추를 하나만 채우면 아래가 살짝 말려요
재질은 나쁘지않은데 보풀은 생길거같아요🤔
그래도 컬러감이 너무 예뻐서 추천해효👍",Free
어윽,,24.10.16,Khaki(카키),,정사이즈예요,보통이에요,화면과 비슷해요,162,65,66,"가슴에 땀 난 거 아닙니다 코코넛 넣은 거 아닙니다
제 브라가 문제인걸까요.. 이 옷 입는 날에는 가슴 붕대로 감게 생겼어요
솔직히 재질이나 두께나 디테일 전체적으로 다 봤을 때 원가 4만원대인 옷은 전혀 아니라 생각해여
저처럼 가슴 어깨 떡대 다 있으신 분들는 구매에 신중하셔야 후회 안하실듯",Free
Plumtree,탑리뷰어,24.09.20,Charcoal(차콜),,정사이즈예요,아주 만족해요,화면과 비슷해요,169,50,44,"일단 퀄리티 너무 괜찮습니다! 옷 냄새도 전혀 안 나고 시보리? 가 짱짱하게 잘 되어 있어서 굳이 하의에 넣어입지 않아도 넣어입은 것처럼 유지가 되서 너무 좋았어요! 디자인도 무난하니 이뻐서 저희집 강아지도 구경하러 나왔네요ㅎㅎ

근데..
제가 키가 큰편이라 좀 아방한 느낌은 없었네요..
키큰 저의 잘못..ㅠㅠ
 단독으로 입기에는 조금 따가운 느낌이 있습니다. ㅠ 예민하신 분들은 참고하여 구매하시는 걸 추천 드려요~",Free
taN3nDOt,,25.01.14,Pink(핑크/가디건),,정사이즈예요,아주 만족해요,화면과 비슷해요,160,60,66,"핑크 니트도 구매한 사람인데
제 톤에 너무 잘 맞아서 가디건형태도 구매했어요
원래 쿨톤이라 핑크가 잘 어울리는데
가디건 핏이 너무 예뻐서 마음에 들어요
흑청이나 청이랑 입으면 넘나리 예뻐요
제발 블루랑 다른 쿨톤 색감도 내주세요,,,",Free
3qnxkDCi,상위 30%,25.01.14,Charcoal(차콜/가디건),,정사이즈예요,보통이에요,화면과 비슷해요,166,65,66,"옷에 붙은 먼지 날림이 조금 심해요 입자마자 목에 먼지 붙은 느낌이 하루종일 목이 아팠어요,, 생각보다 목이 더 파였고 까칠거리는 제질 입니다. 입었을땐 생각보다 나쁘지 않았고 소매가 길고 밑이 짧아요!!",Free
yjPbjYUd,상위 20%,25.01.07,Beige(베이지/가디건),,정사이즈예요,아주 만족해요,화면보다 어두워요,155,45,44,155cm 기준 팔은 꽤 길지만 옷은 딱 좋은 크롭길이예요! 색상도 사진보다 조금 더 따뜻한 색감인데 어떤 옷이랑도 잘 어울릴 것 같아요! 털이 조금 빠지긴 한데 꽤 부드럽고 따뜻해서 만족스러워요!!,Free
9yVHFrQc,상위 30%,25.01.06,Pink(핑크),,생각보다 커요,보통이에요,화면과 비슷해요,158,52,55,"저렴하게 잘 샀고 색상도 확 밝혀주는 컬러라 포인트 되고 좋아요. 주변에서 잘 어울리고 예쁘단 이야기 들어서 기분 좋은 니트예요! 까끌 거리긴 하지만 그래도 따듯하긴 해서 잘 산것 같아요!
니트 소재가 까끌거리긴 해서 피부 예민하신 분들은 이너 필수!로 입으셔야 할 것 같아요.",Free
