아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
조콩이,상위 10%,24.09.09,Beige(베이지),,정사이즈예요,아주 만족해요,화면과 비슷해요,156.0,44,44,"셔츠가 너무 맘에들어 일단 질러보자 하고 두색상을 주문했어요.후회 안합니다 너무이쁘네요 오버한 느낌 좋아하시면 딱 오버핏에 여리여리 29인데 대학생 마냥 캠퍼스룩 하기 딱좋습니다. 슬랙스,청바지 전부 잘어울리고 가을가을 색상도 맘에듭니다 두께감도 두껍지도 얇지도 지금 딱 입기좋아요.",Free
hh,,24.09.08,Blue(블루),,생각보다 커요,보통이에요,화면보다 어두워요,171.0,59,55,"아빠셔츠와 빈티지 그 사이...코디 따라서 휙휙 바뀌는 옷이에요.

색감은 탁한 주황+벽돌색+청록색+파란색이 섞여서 멀리서 보면 초록빛이 돌아요. 색감이 독특하고 조명따라 느낌이 휙휙 바뀌다 보니 매칭하기 무진장 힘들어요.

소재가 가을 소재다 보니, 어쩔 수 없이 빳빳한 게 있어요. 그 탓에 바스트 있으면 클로즈로 입기 부담스러워요. 저는 오픈+크로스백으로 들뜨는 부분 누르기로 합의 봤습니다.

이전에 베이지 반팔을 샀었는데, 개인적으로 핏은 반팔>긴팔,
색감은 베이지(범용성 높음, 이쁨)>블루(독특함, 정말 빈티지함)인 것 같습니다. 

- 모델샷이랑 색감 다르니 무조건 상세페이지 상품사진 확인
- 빈티지 안 익숙하시면 무조건 베이지
- 바스트 있으시면 반팔 추천. 긴팔 오픈으로만 입을 생각이면 긴팔도 굿
- 아우터/셔츠 말고 레이어드하거나 외투 안쪽에 입고 싶으면 베이지
- 독특한 색감을 원하면 블루",Free
워아잉,,24.06.09,Beige(베이지/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,162.0,57,55,여름에 셔츠입는걸 좋아하는데 반팔버전 나와서 사봤어요! 스트라이프가 단순한 화이트 컬러가 아닌 다양한 컬러감의 패턴이라 어떤 하의와도 잘 어울려요! 제품 퀄리티가 좋고 오버핏이라 잠궈입어도 이쁘고 풀고 입어도 이쁩니다! 잘 활용하기 좋을 것 같아요! 적극 추천합니다아아😖🤍,Free
D2FyD9WK,상위 1%,24.06.08,Beige(베이지),,정사이즈예요,아주 만족해요,화면과 비슷해요,155.0,46,44,"처음 입었을 때 생각했던 느낌은 안 나서 읭.. 했는데 
세탁 한번 했더니 빳빳함이 사라져서 원하던 느낌이 
되었어요 ! 
색감도 너무 예뿌고 재질도 괜찮아요 
한여름에는 못 입을 두께라 아쉽지만 잘 입을 것 같아용!",Free
coal****,상위 10%,24.06.07,Beige(베이지),,생각보다 커요,아주 만족해요,화면과 비슷해요,168.0,57,55,"처음보는 빈티지 패턴의 여름 셔츠라 긴 고민 없이 바로 구매했습니다 ! 제가 웜톤이라 입자마자 얼굴색이랑 머리색이랑 잘 어울려서 너무 만족스러웠고 코디도 휘뚜르 마뚜르라 여러모로 손이 자주 갈 것 같아요 ><
여름 셔츠 특징이긴 한데 입자마자 여리여리 해보여서 너무 좋습니다 ㅎ_ㅎ",Free
geAppXXr,상위 10%,24.04.29,Blue(블루),,생각보다 커요,아주 만족해요,화면과 비슷해요,170.0,70,66,너ㅓㅓ무 예뻐요 .. 사실 컬러가 특이해서 어떻게 코디해야할지는 잘 모르겠지만 170에 70이 입어도 슬림해 보이고 힙도 다 덮어요! 키 크신 분들도 아담하게 입을 수 있습니닷 얇아서 한여름에도 가능할지도 ..?,Free
하일리아견,상위 10%,24.12.08,Beige(베이지),,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,47,44,"넘 맘에들어요 이런 빈티지 스타일 좋아하시는 분들은 구매 추천 ^^ 확실한 여름 소재니 날 더울 때 뽕 뽑으시길... 색부터 핏까지 맘에 다 듦 짱짱
(사진은 조금 어둡게 나왔네요 🥲)",Free
ey._oh2,상위 5%,24.12.03,Blue(블루),,정사이즈예요,보통이에요,화면과 비슷해요,161.0,49,55,"유니크한 느낌이 매력적인 옷
엉덩이가 덮을만큼 길이가 길어서 아방하기도 하고 오히려 시크하기도 해요 어떻게 매치하는지에 따라서 달라질 것 같아요!
두께감은 좀 있는 편이라서 봄가을까지 잘 입었고
바람도 잘 막아줘서 바닷가 갔을 때도 안 추웠어요!
안 추웠는데 또 딱히 더운 느낌은 아니었어요

두께감 때문인지 비침은 하나도 없어서 단독으로 입기 좋았고
저는 단독으로만 입으면 아쉬울것 같아서 안에 나시나 티 입고 입었어요!
옷 자체에서 오는 분위기는 야들야들 여리여리보다는 둔탁한 느낌이 있는데 진짜 뭘 같이 입는지에 따라 아예 달라질 것 같고
저는 여름이라 반팔 반바지입었는데
긴바지랑 입는게 더 잘어울렸을것도 같아요 !!",Free
MZHBqFhG,상위 10%,24.10.23,Blue(블루),,생각보다 커요,아주 만족해요,화면과 비슷해요,163.0,50,44,"스냅 촬영할 때 검은 끈나시 원피스랑 입었는데 흐린 날이랑 정말 잘 어우러져서 사진 예쁘게 잘 받았어요!! 
생각보다 루즈한 핏이었는대 그래서 더 촤라락 떨어지는 느낌이 예뻤답니다.. 강추…",Free
T2Xl6YqE,상위 20%,24.12.01,Beige(베이지),,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,셔츠를 가볍게 걸치고 다니는 좋아하기도하고 체크무늬 셔츠 좋아하는데 입고 나가면 비슷한 느낌의 옷이 많아 민망할 때가 있어서 좀 다른 느낌을 찾다가 발견했는데 흔하지도 않고 부담스럽지도 않은 디자인이라 완전 만족!,Free
