아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
Jiniyou,상위 10%,24.08.13,소라,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,50.0,55,제 교복이 된 아이템 입니다… 출근할 때 맨날 입어요 소재도 덥지 않아서 손이 자꾸 가고 요즘 하도 더워서 에어컨을 끌 수가 없잖아요 에어컨 때문에 서늘할 때도 입고 있기 딱입니당👍🏻 핏도 존예🩵 청량미 뿜뿜 쌉가넝😆,Free
xmkJzJUl,,24.06.23,화이트,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,160.0,50.0,55,"후기 귀찮아서 잘 안 적지만, 이거는 꼭 적어야겠네요! 일단 스파 브랜드들이랑 비교해 봤을 때, 진짜 가격도 미쳤고, 옷 핏도 미쳤고, 재질도 너무 좋아요!! 사진은 제 키 160인데도 뒷모습도 이렇게 이쁜 핏이 나온 다는 걸 보여드리고 싶었어요ㅠ 고민하지 마시고 그냥 사세요. 최곱니다!",Free
Hdtlgx6t,상위 15%,24.09.30,소라,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,165.0,50.0,55,"사진같은 소재이고 소매 두번 접어 입으면 예뻐요!!
고민하다가 이제 사서 한여름에는 못입어봤고
초가을 지금 날씨에 겉옷으로 입기도 좋아요
마음에 들어서 벌써 두세번 입었는데 가까이서 보면 살짝씩 보풀이 보이네요ㅠㅠ
저렴한 가격에 샀으니 만족합니다",Free
윤스탑,상위 15%,24.09.23,화이트,FREE,정사이즈예요,보통이에요,화면과 비슷해요,165.0,48.0,44,"구매한지 한달 되고 쓰는 후기입니다
핏 예쁘고 시원하고 좋아용 가격대비 만족
빨아도 구김 안가는 재질이라 좋은데
한달 동안 입고 몇번 빠니까 약간 보풀이라고해야하나 그런게 올라오네용 입는 본인만 좀 신경쓰이는 정도일지도
셔츠 자체도 좀더 흐물흐물해져서 태가 처음 입을때만큼은 안나요
그래도 이 가격에 이정도면 나쁘지않아요",Free
Rs07tL4q,,24.09.07,화이트,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,177.0,60.0,66,"주름 져도 티가 잘 안나는 재질이에여 여름에 입기 좋은 느낌의 원단인데 그렇다고 또 시원하진 않아요.
가을에 입으려면 차라리 린넨재질이 잘 어울릴것 같아요.
길이가 엉덩이 덮어서 빼입기 더 좋은 셔츠 같아요",Free
naGC3RAw,,24.09.04,소라,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,160.0,50.0,55,"이번 여름이 너무 길었던 탓인지 날씨가 조금만 쌀쌀해도
나시티에 얇은 셔츠 하나 입는게 좋더라고요! 
아직 가을이 다 오지 않았지만 왠지 이번 가을에 너무 잘 구매했다고 생각이 드는( 퍼스널컬러랑도 찰떡) 셔츠입니다! 제가 어깨가 있는편인데 잘 커버도 해주고 , 
또 무거운 가방을 들었을때 오버핏이여서 너무 부해보이면 어쩌지 싶었는데 걱정 안해도 되는것같아요~",Free
bOGi7wSW,,24.08.27,소라,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,164.0,58.0,66,"164 기준 뒷 부분이 엉덩이 덮는 것 같아요!
빳빳하지 않고 부드러워서 입기 편했고, 이제 환절기에 걸치기 좋은 것 같습니다~ 근데 얇아서 늦여름이 딱인것 같긴 합니당 요즘 입기 딱!",Free
꾸미꿈야,상위 10%,24.08.26,화이트,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,158.0,53.0,55,이거 아주 요물이에요! 가볍고 여름에 걸치지 딱 좋고 건조기 돌렸는데도 별로 주름지지 않고 줄어들지도 않고 너무 편해요ㅜ 기장도 엉덩이 싹 가리고 시어서커 원단 좋아하는데 제대로 샀네요~!,Free
fnExTrCA,,24.08.25,소라,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,159.0,52.0,55,제주도 햇빛이 너무 뜨거워서 날씨 덥지만 긴 셔츠 챙겨갔어요~! 너무 잘한 선택이였답니다 ㅎㅎㅎ 소재가 얇아서 무더위에도 많이 덥지 않았고 햇빛을 막아주니 오히려 뜨거운 여름에 나시에 입기 좋았어요! 핏도 예쁘고 색감도 예뻐용 내년에 재주문 하려구요 ~~,Free
m5NfUNi2,,24.08.16,소라,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,166.0,55.0,66,"제주도 여행전에 급하게 주문했는데 정말 너무너무 만족합니다!!!
7월말 제주도가 진짜 더워서 저기서도 땀이 엄청 났는데 재질이 살에 달라붙지 않고 햇빛도 잘가려주고 잘 입었습니다👍🏻
제가 상체가 통통하고 허리가짧고 다리가 긴체형인데
엉덩이 가려주고,
그리고 상체통통이들은 셔츠 잘못입으면 덩치가 엄청 커보이는데 이건 안그래요!!
걸쳐입듯이 입고 소매접어 입기만해도 아주 굿입니다😍
덕분에 인생샷 건졌습니다
예쁜옷 감사합니다🥹",Free
룬시,상위 5%,24.08.04,화이트,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"직장동료가 봄가을 버전 산거 보고 여름버전, 나오자마자 샀어요 같이 일하는동료는 두색 다 샀네요 적당히 오버핏에 구김 없고 색도 깔끔하고 너무 좋아요 나중에 봄가을버전 나오면 구매할 생각입니다",Free
wndm*****,,24.07.13,소라,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,167.0,57.0,55,여름마다 애플워치 자국대로 팔 타는 게 너무 싫어서 여러 곳 비교하고 구매했습니다. 소재 자체가 엄청 시원해 보이고 실제로도 입고 나갔을 때 덥지 않았어요! 화이트랑 소라랑 고민했었는데 화이트도 추가 구매 예정입니다. 이번 여름 엄청 잘입고 다닐 거 같아요~!,Free
JYrGUfzV,,24.07.13,화이트,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,170.0,57.0,33 이하,퀄리티가 너무 좋아요. 여름에 살이 타는거 너무 싫어서 원피스 위에 걸치려고 색상 두개 다 구매했습니다. 근데 한 여름에 입기가 좀 많이 덥더라고요 ㅋㅋ 생각보가 시원한 재질이 아님니다,Free
JYrGUfzV,,24.07.13,네이비,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,170.0,57.0,33 이하,퀄리티가 너무 좋아요. 여름에 살이 타는거 너무 싫어서 원피스 위에 걸치려고 색상 두개 다 구매했습니다. 근데 한 여름에 입기가 좀 많이 덥더라고요 ㅋㅋ 생각보가 시원한 재질이 아님니다,Free
Tdj4euyN,상위 25%,24.07.10,화이트,FREE,생각보다 커요,보통이에요,화면과 비슷해요,168.0,52.0,55,"고슬고슬하니 너무 좋네요!
비침정도도 저정도라 편하게 입고다닐수잇겟네요 ㅎㅎ
오프라인으로 비슷한거 본거는 비싸더라고요
10만원대 ..여름에 여기저기 막 걸칠용으로 필요한거라 좀 아깝더라구영 근데 아무래도 이건 저렴하다보니
티가 나긴 하지만 편하게 입으려고 산거라 만족해요",Free
vivi_6,상위 5%,24.07.07,소라,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,47.0,44,시어서커 원단은 처음인데 너무 좋네요 첫번째 사진 밖에 다니면서 대충 둘둘 말기도 뭉쳐져있기도 했는데 주름이 티나지도 않고 살에도 잘 안 붙는 느낌? 여름에 햇빛이 강할때 입기 좋을거 같아요 색도 시원한 하늘색! 파스텔까지는 아니고 살짝 채도감 있습니다,Free
yKv3R1yH,,24.07.06,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,158.0,80.0,88,"살 타는 건 싫고 선크림 바르기는 귀찮아서 얇은 셔츠 입는 것을 좋아해서 사봤습니다ㅎㅎ

🩵소재
시어서커 소재 특성이 통기성이 좋기 때문에 여름에 입기 좋을 것 같아서 시켰지만 생각보다 좀 갑갑한 느낌이 약간 있었어요.
하지만 엄청나게 덥고 그런 건 아니여서 올 여름 장마 시즌이나 실내에서 에어컨 바람막이용으로 괜찮을 것 같습니다!!

🩵색상
저는 네이비를 구매했는데 거의 하늘색 느낌이었어요!
하늘색보다 약간 더 짙은 컬러?ㅋㅋㅋㅋ

🩵길이
제 키 158cm 기준 기장은 엉덩이를 충분히 덮는 기장이라 너무 좋았습니다.

🩵비침 정도
비침이 엄청 심하지는 않았고 엄청 약간? 안에 입은 나시 실루엣이 보이는 정도였습니다",Free
OODMjYSg,상위 15%,24.07.05,소라,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"상의 88~99 입는데 소재도 시원하고 핏도 이쁘게 떨어져요! 156 기준 엉덩이 덮고도 좀 남아서 넉넉하게 걸치고 다녔습니다
옷 어깨 쪽이 무거운지 간혹 뒤로 과하게 넘어가긴 하는데 좀만 정리해주면 또 잘 있으니 참고하고 구매하시면 좋겠습니당",Free
