아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
haeni,상위 5%,24.11.12,롱(+1000),핑크,생각보다 커요,아주 만족해요,화면과 비슷해요,165,50,55,"디자인은 상세페이지와 동일하게 오버핏에 가까운 셔츠입니다! 품이 넉넉하고 팔통도 여유로워서 편하게 입기 좋아요. 깔끔한 느낌의 셔츠로 갖고있으면 아무때나 입을 수 있을 것 같아요.

한여름에는 조금 더울 것 같은데 봄, 가을, 겨울에는 입을 수 있는 정도의 재질과 두께입니다. 

길이는 165 기준으로 저 정도 오는데 개인적으로는 넣어서 입거나 겉옷으로 걸쳐 입는게 이쁜 것 같아요. 바지가 슬랙스라 그런 것도 있지만 빼입으면 벙벙한 느낌이 날 것 같습니다.

색상은 가을, 겨울 느낌 나는 핑크로 했어요! 가을 웜톤에도 어울리는 색상으로 너무 눈에 띄지 않아서 평상시에 입어도 부담이 없어요.",Free
sube*****,상위 5%,24.11.06,숏,아이보리,생각보다 커요,아주 만족해요,화면과 비슷해요,164,60,55,"최실장 유튜브보고 홀린듯이 깔별로 구매했어요
약간 정사이즈보다 박시한 핏이라 끼는 곳 없이 편하게 입을 수 있어요
길이는 크롭기장이라 개인적으로는 단독으로는 잘 안입고 니트조끼같은 거에 레이어드해서 입습니다
구매하고 시간이 좀 흘렀는데 출근룩으로 잘 입고 있습니다",Free
sube*****,상위 5%,24.11.06,숏,블루,생각보다 커요,아주 만족해요,화면과 비슷해요,164,60,55,"최실장 유튜브보고 홀린듯이 깔별로 구매했어요
약간 정사이즈보다 박시한 핏이라 끼는 곳 없이 편하게 입을 수 있어요
길이는 크롭기장이라 개인적으로는 단독으로는 잘 안입고 니트조끼같은 거에 레이어드해서 입습니다
구매하고 시간이 좀 흘렀는데 출근룩으로 잘 입고 있습니다
그리고 블루 색감이 은은하니 예뻐요",Free
sube*****,상위 5%,24.11.06,롱(+1000),아이보리,생각보다 커요,아주 만족해요,화면과 비슷해요,164,60,55,"최실장 유튜브보고 홀린듯이 깔별로 구매했어요
약간 정사이즈보다 박시한 핏이라 끼는 곳 없이 편하게 입을 수 있어요
길이도 길어서 엉덩이도 덮어주니까 좋더라구요
구매하고 시간이 좀 흘렀는데 출근룩으로 잘 입고 있습니다",Free
sube*****,상위 5%,24.11.06,롱(+1000),블루,생각보다 커요,아주 만족해요,화면과 비슷해요,164,60,55,"최실장 유튜브보고 홀린듯이 깔별로 구매했어요
약간 정사이즈보다 박시한 핏이라 끼는 곳 없이 편하게 입을 수 있어요
길이도 길어서 엉덩이도 덮어주니까 좋더라구요
구매하고 시간이 좀 흘렀는데 출근룩으로 잘 입고 있습니다
그리고 블루 색감이 은은하니 예뻐요",Free
우우우우네,탑리뷰어,24.11.05,롱(+1000),차콜,정사이즈예요,아주 만족해요,화면과 비슷해요,170,58,55,"배송🚙
-직진배송으로 주문 다음날 바로 왔어요ㅎㅎ

상품📦
-생각보다 두께있는 탄탄한 재질이에요! 단독으로도, 아우터로도 입을 수 있을 것 같은 느낌!
-탄탄해서 카라 모양이 예쁘게 잡히는게 좋아용
-질은 좋은데 마감은 살짝 아쉬워요ㅠㅠ 실밥이 좀 많아서 제거하고 입어주셔야 합니다!

저는 출근룩으로 구매했는데 무난하고 깔끔해보여서 만족입니당ㅎㅎ",Free
0_0_******,상위 15%,24.11.01,숏(-1000),아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,156,49,55,"숏버전으로 구매했어요
생각보다도 조금 짧아서 짧은 니트 아니면 밑단 보이게 레이어드 하긴 어려울 것 같아요
그래도 여기저기 잘 입어요
겨울되면 폴라티에 입어도 예쁠거같아요
소재는 일단 셔츠 소재보다도 면스러운? 보드라운 느낌은 아니고 구김 좀 가는 소재인데 캐주얼해보여요
소매는 제가 팔이 짧은편이러 역시나 길고 2번 접어 입어요 ㅎ",Free
pigt**,,24.10.29,롱(+1000),차콜,정사이즈예요,아주 만족해요,화면과 비슷해요,165,51,66,옷 재질도 그렇고 편하게 자주 입기 좋아서 재구매했어요^^ 단추쪽 실이 다 튀어나오게 제작되어서 전 가위로 잘라줬어요^^ 날씨가 정말 추워지면 좀 착찹해서 추울거 같고 그 전에 부지런히 입으려구요^^,Free
9072****,상위 15%,24.10.22,롱(+1000),차콜,정사이즈예요,보통이에요,화면과 비슷해요,163,46,55,"15일주문18일받음 ㅋ직진배송인데 3일걸림ㅋㅋㅋㅋ
옷은 맘에 듦. 162/50인데 저정도 핏이예요. 사진찍을려고 급하게 입어서 코디가 그지같지만ㅋ 재질도 원하던 원단이고~ 오버핏이라 좋아요 
직진배송 배송3일ㅋ 당황스럽네요",Free
0Npp66gH,상위 10%,24.10.22,롱(+1000),블루,정사이즈예요,보통이에요,화면과 비슷해요,156,47,55,"색 예뻐요 이런 색을 뭐라하지.. 페일블루 같은 색.
얇지도 두껍지도 않아요 조금 빳빳하고 가을에 입기 좋은 남방
근데 마감이 엄청 엉망이에요 단추, 소매 부분, 밑단 전부 실밥이 나풀나풀.. 하나하나 다 정리하는데 잠시 옷 공장 검수 과정으로 일하고 있는 기분이 들었습니다",Free
