아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
EWXDHYcH,,23.10.23,라이트옐로우,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"피부톤이 어둡고 가을 웜톤이라 연노랑 색상이 동동 뜰까봐 걱정했는데, 생각보다 화사해보여요! 살 완전 많은뎅 사이즈 여유롭고 핏도 너무 벙벙하지 않아서 이쁨니다;)

다만 한쪽 겨드랑이 박음질이 터진상태로 왔어요,,,,이쁘니까 바느질해서 입을거지만,,,당황했다는점,,,",Free
J7mF7efU,,23.09.27,블루그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,163,53,55,"처음봤을땐 잉?? 이게 왜 인기가 많았지? 싶었는데 입어보니까 넘나 이뻐요!!
어깨도 약간 오버핏인데 입으니 여리해보이고
엉덩이도 덮어주는 기장이라 너무 맘에 들어요!
다른색도 사고싶어요",Free
AFJXuOL9,,23.09.02,베이지,FREE,정사이즈예요,보통이에요,화면과 비슷해요,170,57,55,"저번에 그레이 사봤는데 핏이 마음에 들어서 하나 더 구매했어요. 이 셔츠는 옷 안이 넣어입기보다는 빼서 입었을때 더 예쁜 것 같아요 

제가 웜톤이라 이번에는 베이지로 구매했는데 생각보다 베이지 색이 덜 보여서 더 기본 셔츠로 잘 입을 수 있겠다 생각했어요 마음에 들어요:)",Free
hs4r**,상위 10%,24.10.25,라이트옐로우,,정사이즈예요,아주 만족해요,화면과 비슷해요,155,44,44,"은은한 연노랑 파스텔색이라 진하지 않아서 예뻐요
가볍게 걸칠 오버핏 셔츠 찾고있었는데 딱 원하던 셔츠예요
두께도 과하게 얇지도 두껍지도 않고 면도 적당히 탄탄해서 만족해요",Free
gpfl******,상위 5%,24.03.27,블루그레이,,정사이즈예요,아주 만족해요,화면보다 어두워요,161,51,44,이런 하늘색이랑 회색 적절히 섞인 색의 셔츠 사고 싶어서 찾아보다가 여기꺼가 제일 퀄리티도 좋아보이고 색도 차분해보이고 예쁜거 같아서 구매했는데 실제로 보니까 퀄리티도 더 좋은거 같아서 넘 만족스러움요 ㅋ 근데 사진보다 실물이 살짝 더 어두운 느낌?,Free
NiqHCZqE,상위 15%,24.02.15,베이지,,생각보다 커요,아주 만족해요,화면보다 밝아요,164,44,55,"98도씨 첨사봤는데 진짜 좋네요.. 포장에 정성이 들어간 느낌?? 옷도 탄탄한 느낌이라 다음에도 사고 싶은데 봄웜인 저에게는 잘맞는 색상이 없어서 속상ㅜㅜㅜ 품은 좀 큰데 간지나서 좋아요ㅋㅋㅋ 여름에 겉옷으로 입기도 좋을 것같아욤
소매는 생각보다 안길고 몸통이 크고 길어요!",Free
knRavgJf,,24.12.25,라이트옐로우,,생각보다 커요,보통이에요,화면과 비슷해요,165,54,55,"정정합니다
오늘 꺼내입어봤는데 옷박음질이 다띁어져있네요
이미 입어서 반품이 안되겠지요 
///박시한 스타일입니다..
레몬보다 약간더 옅은 노랑이구요..
봄되면 입으려고요~.
겨울에 춥네요.",Free
8WAcATul,상위 10%,23.03.13,블루그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,161,50,55,"면 탄탄하고 좋아요. 단추 디테일도 맘에 들어요.
소매에 단추 두 개 있으니까 접어 입을 때 답답하게 안 말리고 시원시원하게 말려서 좋습니당.
생각보다 큰 감이 있긴해요. 살짝 박시한 느낌.
저는 어깡이라 단추 다 잠그면 완전 어깨 부각되긴 하더라구요.
면이 탄탄한 셔츠는 아무래도 핏이랄까 각이 좀 잡히다보니 저 같은 어깡들은 항상 고민이긴 할듯요...ㅠ
바스락 거리는 질감은 아니구요. 부드럽고 탄탄해요. 입으면 기분 좋아요. 착용감도 편하고.
다른 색도 사고싶네요 :)",Free
d68jjHg0,상위 15%,22.09.29,화이트,,생각보다 커요,아주 만족해요,화면과 비슷해요,163,60,55,무난한 화이트 셔츠 찾다가 박시핏으로 입고싶어서 찾아보던 중에 발견하자마자 바로 구매했어요!! 박시핏 원했어서 아주 만족해용ㅎㅎ 면도 좋고 넘 예쁩니당ㅎㅎ 면이 약간 도톰해서 지금 입기 딱 좋은 옷이에요!,Free
ekdlsl,상위 10%,24.09.01,화이트,,생각보다 커요,아주 만족해요,화면과 비슷해요,162,50,44,"워낙 가성비템이라 취직 전부터 야금야금 쟁이던 앤데 역시 개굿이네요.
갠적으로 바스락거리는 소재보단 옥스포드 소재를 선호해서 그런지 소재도 맘에들고 핏도 넉넉헤서 좋습니다.

가장 좋은 건, 팔 소매에 단추가 2개인거,,, 일할 때 별 생각없이 팔 둘둘 걷어서 작업하는데, 이거입다가 다른 셔츠 입으면 답답해요
갠적으로 색깔 알록달록 더 만들어주셨으면,,",Free
M0pTIfB8,,22.09.28,화이트,,생각보다 커요,아주 만족해요,화면보다 어두워요,,,,역시 구팔 프로젝트는 믿사! 세번째 구매중인 셔츠에요 개인적으로는 바스락 거리는 재질을 안좋아하는데 핏이나 재질이나 색감이 이 셔츠가 제일 인 거 같아요 앞으로 계속 다른 색으로 셔츠 모을 예정^^,Free
lhk9*****,,24.05.24,라이트옐로우,,정사이즈예요,아주 만족해요,화면과 비슷해요,160,55,55,"배송이 엄청 엄청 엄청 느린데 그래도 예쁜건 맞네요..
오버핏이고 색도 파스텔톤의 노란색이라 너무 만족합니다ㅠㅠ 배송이 너무 느린 탓에 몇번 못입을 것같긴해요 너무 더워성..
그래도 엉덩이 다 가려주는 길이에
소재도 고급져서 좋아여",Free
a0p008q2,,24.05.09,블루그레이,,생각보다 커요,별로예요,화면과 비슷해요,166,55,55,"결론적으로 옷 자체는 마음에 들어요! 동생이 맘에 든다해서 그거 동생 줘서 저는 새로 시킬 겁니다…근데 퀄이…실밥 튀어나온 것들은 뭐 자르면 되니깐 별로 신경 안 쓰는데…
사진이 불분명하게 나온 것 같긴한데 단추구멍 실밥이 얼기설기 겁나 많아서 단추 채우면 걸리고 난리난리~ 어차피 타는 거 방지, 여름 아우터로 입으려고 잠궈입을 일은 많이 없을 것 같아서 괜찮지만 육안으로 자세히 보기에 너무 싼티나니깐 그 부분이 아쉽,,, 3만원 짜리라도 마감은 제대로 해쥬셔야죠ㅠ",Free
GctoK3GJ,상위 5%,24.04.29,스카이블루,,정사이즈예요,보통이에요,화면과 비슷해요,,,,"셔츠 되게 부드럽고 괜찮아요
배송이 너무너무 느렸을뿐 ㅠ 배송만 빨리 온다면 다른 색들도 추가로 주문하고 싶어요 아 그리고 저는 좀 박시하게 입고 싶었는데 키가 있어서인지라 엄청 박시하다는 느낌은 못받았습니다",Free
cYQL2T4n,,24.04.08,라이트옐로우,,생각보다 커요,아주 만족해요,화면보다 밝아요,160,50,44,생각보다 박시한 핏에 색감도 밖에서 보니까 그렇게 튀지 않는 상아색이지만 그것도 그것대로 이쁘니까 괜찮습니당..😚 재질은 탄탄한 면이라서 아우터처럼 입어도 괜찮고 다 잠가서 바지 안에 넣어입어도 무난하게 이쁠 것같아용 근데 품이 좀 커서 바지 안에 이쁘게 들어갈지는 잘 모르겠습니당..요령을 잘 터득해서 넣어야 할 것 같아요..!,Free
0owdwQPJ,상위 25%,24.03.05,라이트옐로우,,생각보다 커요,아주 만족해요,화면과 비슷해요,158,52,55,"저는 더 밝은 노란인 줄 알았는데 파스텔인 개나리색?
너무 마음에 들어요 ~~ 
옷은 확실히 오버핏이라 크긴 한데 큰데로 스타일이 나오네요 ^^
박음질 상태도 괜찮고 단추도 완전 흰색도 아니고
살짝 반짝하면서 노란끼가 도는?
잘 입을게요 !",Free
3e0W0qR6,상위 25%,24.02.29,블루그레이,,생각보다 커요,보통이에요,화면과 비슷해요,165,55,55,"실착샷 귀찮아서 대충 색감정도만 보여드리려고 찍었어요
화면이랑 비슷한 블루그레이고
너무 크다는 후기 많았는데 저는 적당히 오버핏이라서 좋았어요
재질 생각보다 탄탄하고 잘 구겨짐 (봄가을용)",Free
PUeIukCA,,24.02.16,스카이블루,,생각보다 커요,아주 만족해요,화면과 비슷해요,160,53,55,"예전에 블루그레이 사고 이번에는 스카이블루 사봤어요!
마냥 얇지는 않아서 딱 봄가을에는 아우터용, 겨울에는 이너용으로 완벽해요 근데 아우터로 괜찮을 정****너로는 오버핏으로 나와요 그래도 예뻐요",Free
zCqTYLvB,상위 25%,24.02.13,블루그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,165,62,66,한 2년 동안 잘 입다가 작년 10월말 쯤에 잃어버리고 고민하다 재구매했어용! 퀄리티 쇼핑몰 셔츠중에 감히 1등이라고 생각합니다!(색감 포함) 저는 더위를 많이 타서 봄가을에 반팔입고 편하게 걸치는데 오버핏이라 단추 잠가서 입는 것보다 열고 입는 게 더 예쁘다고 생각해용 다른 컬러는 안봐서 잘 모르겠는데 본인은 봄 라이트-소프트에 가까워서 같은 컬러로 재구매 했습니당,Free
62B1XzQL,상위 20%,23.04.10,블루그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,160,57,66,"소재가 좋아요 약간 시큼한 향이
나긴하지만 소매 롤링해서 입으면 이쁠 것 같아요
길이가 생각보다 길더라구요
색깔은 딱 기본같고 사람들이 많이 사는 이유를 알것같아요",Free
tDnFBlQh,,22.10.06,스카이블루,,생각보다 커요,보통이에요,화면과 비슷해요,163,55,55,"생각보다 전체적으로 좀 더 큽니다!
하지만 핏이 너무 예뻐요! 빼입어도, 넣어입어도 이쁨ㅎㅎ
재질도 무난무난 괜찮은데, 단추부분 마감이 아쉬워요ㅠㅠ",Free
wml4CckG,,22.10.06,라벤더,,생각보다 커요,아주 만족해요,화면과 비슷해요,167,59,66,색 예뻐요! 제가 찍은 사진보다 더 뚜렷한 색감이에요! 조금 뻣뻣한 재질인데 생각보다 품이 컸어요! 가을에 겉에 걸치는 용도로 잘 입을 것 같아요!,Free
I0OSL46Q,,22.09.26,라이트옐로우,,생각보다 커요,아주 만족해요,화면과 비슷해요,163,55,55,"보들보들 입으면 잠 올정도로 감이 좋음
생각보다 크고 두꺼워서 포멀한 핏은 안나옴
거의 아우터수준의 오버핏
색감 좋음
근데 사진보다는 옅은 느낌",Free
rH21XX1A,,22.09.20,화이트,,생각보다 커요,아주 만족해요,화면과 비슷해요,160,52,55,재질도 탄탄하고 좋아요! 다만 화이트보다는 살짝 아이보리가 섞여있어요! 그리고 생각보다 훨씬 커서 놀랬지만 그래도 카라 크기나 핏감 모두 예쁜 것 같습니다 :),Free
HQF8ehYH,,24.11.27,베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"안에 입기도 좋고 위에 걸쳐 입기도 좋아서 시리즈별, 컬러별로 하나씩 쟁이고 있네요 ㅋㅋ건조기 안하고 탁탁 펴서 널면 주름도 많이 안 생기고 좋아요!",Free
B7Qgqw3I,상위 25%,24.10.08,블루그레이,,정사이즈예요,아주 만족해요,화면보다 어두워요,173,55,66,더 하늘색은 것을 기대했는데 생각보다 어두운색이라 깜짝놀랐어요..! 그냥 회색인것같아요 그래도 색감은 이뻐서 입으랴구요! 질도 좋아보이고 적당히 루즈핏이예요,Free
UQB2BMxf,,24.10.06,스카이블루,,생각보다 커요,보통이에요,화면보다 밝아요,160,60,55,"저는 좀더 진한 블루인줄 알았는데 연블루였네요! 파스텔 느낌... 하지만 저와 잘 어울려서 만족합니다.
핏은 오버핏이라서 자칫하면 부해보이는 것 같기도 하고...",Free
dWMWxdQu,상위 10%,24.05.11,베이지,,정사이즈예요,보통이에요,화면과 비슷해요,163,60,55,색이 맘에 들어서 구매했어요~ 화면과 비슷하고 채도가 낮은 베이지라 쿨톤이지만 괜찮아요 두껍지않아서 여름 외투로도 입기좋겠어요,Free
3fmSXng0,,24.01.15,스카이블루,,생각보다 커요,아주 만족해요,화면과 비슷해요,170,52,55,"색상도 이쁘고 재질도 탄탄해서 좋아요!
172/54기준 엄청 널널한 사이즈였고 품이 컸어요! 오버핏으로 편하게 입기 좋을것같아요",Free
