아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
KkkkangS,상위 15%,24.11.24,인디핑크,FREE,정사이즈예요,보통이에요,화면과 비슷해요,166.0,62,66,"뭔가 애맨한 느낌… 넣기엔 길고 빼입자니 짧고? 완전 박시한 느낌이 나면 오히려 괜찮을 거 같기도한데 팔만 박시한 기분이에요 허허
색감은 예쁜데 총기장이 애매해서 손이 잘 안 가게 되네요 예쁜 코디법 있다명 알려주실 분 구합니다…",Free
nymp******,상위 5%,24.10.29,블루,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,163.0,50,44,"딱 생각하는 오버핏 사이즈입니다. 구김도 생각많큼 많이 가지 않고 색도 하늘색이라 코디할때 활용도가 높아 손이 자주 갑니다.
좀 추워지면 오버핏 가디건 안에 입어도 좋을 것 같아요.",Free
4OkyicyY,,23.10.04,딥블루,FREE,생각보다 커요,별로예요,화면과 비슷해요,157.0,43,44,"좋은 남방 고르는 방법 카라+단추 양 사이드 선
+손목+등판에 꼼꼼히 스티치 되어 있는가?
(스티치 잘된 제품일수록 단가도 놉고 세탁후 각이 잘
잡혀 있다)
이 남방은 스티치가 거의 없네요
카라나 손목같이 원단 겹치는 부분 스티치가
안되어 있으면 세탁후 어떻게 될지는....,,/
미리 확인 못하고 샀고 확인 못하고 입었기에
반품을 못 하니 한철입는단 생각으로 구매했습니다
핏은 이뻐요 색감도 좋고 원단도 얇지도 두껍지도
않아요. 
가격 생각하면 나쁘지 않아요
가격만큼의 옷은 됩니다
단 한두해 아닌 오래 입을 생각이신 분은 
돈보단 옷의 퀄리티를 먼저 보시길..",Free
딸기다람쥐,상위 5%,23.08.02,화이트,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,176.0,60,77,와 직진배송 진짜 빨라요 오후에 바로 받았습니다 적당히 하늘거리는데 빳빳한 재질을 원했는데 딱이예요 구김이 적당히 져서 팔을 걷었을 때에도 예뻐요 근데 단추를 다 잠그고 바지에 넣어 입으면 심심해보여서 주로 빼입을 것 같아요 흰색이라 속옷 비칠줄 알았는데 하나도 안비치고 움직이기에도 편해서 마음에 들어요,Free
susu_s,상위 5%,23.06.29,크림베이지,FREE,생각보다 커요,보통이에요,화면과 비슷해요,170.0,52,44,블루사고 너무 만족해서 바로 크림베이지도 구매했습니다! 기장 넉넉하고 품도 넉넉해서 아우터로도 상의로도 입기 너무 좋았구요 재질도 너무 흐물거리지 않는 각 잡혀있는 재질이라 봄~가을내내 잘 입을 것 같아요 색상도 화면이랑 비슷하구요 다만 잔 실밥이 있긴한데 가격 감안하면 너무 괜찮은 제품입니다 완전 추천 !,Free
pCMf6xK2,,23.06.07,마젠타핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,54,55,"쨍한 핑크 셔츠를 찾고있어서 구매해봤어요
쇼핑몰 사진은 진달래색?에 좀 더 가까운데 실제로 받아보니 좀더 연한 핫핑크 느낌?이었습니다.
주름은 적당히 지는거같고 착샷은 받고 다림질안하고 입고나간 상태입니다 제 기준 엉덩이 반정도?가려요
단추 다 풀고 입어도 이쁘고 클로징해서 바지에 넣어입어도 이쁠거같아요",Free
thisisju,,23.04.13,화이트,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,170.0,48,44,"170/49
요즘 취업하게 되어서 셔츠 진짜 많이 입는데
그래서 한두달간 셔츠 세개만 산거같아욥
어텀.슬로우앤드에서 삼만원?하는 셔츠 사봤믐데 여기 셔츠가 딱 제일 무난한 기본 박시핏의 코튼 셔츠인 것 같습니다
배송도 진짜 하루만에 어ㅏ서 완전 만족중이에요",Free
dbql*****,상위 1%,22.08.28,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,51,55,두께가 어느정도일지 가늠이 안됬는데 딱 가을에 입기 좋아요! 그리고 소재도 왤캐 좋은가요 ㅠㅠ 가격대비 이정도면 아주 만족합니다! 구김도 많이 가는 소재가 아니에요 ㅎㅎ 사진이 좀 진한 푸른색으로 나왔는데 쇼핑몰에서 올려준 색상이랑 같아요,Free
DxYd3vN0,상위 25%,22.02.10,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164.0,51,55,오우 이뻐요♥ 셔츠가 다 블랙 아니면 화이트밖에 없어갖구.. 좀 다른 색 사고 싶어서 네이비 골랐는데 완전 마음에 들어요!! 가디건 걸쳐서 입으면 캐주얼한 느낌이구 그냥 슬랙스에 넣어서 입으면 포멀한 느낌입니다😀,Free
hoka******,상위 15%,24.09.30,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,네이비색 이고요 색깔은 마음에 들어요 사각거리는 재질인줄 알았는데 사각거리진 않지만 두껍고 짱짱해서 간절기에 아우터처럼 툭 걸치기 좋아요 160에 52키로 기장이랑 통이랑 오버핏으로 딱 좋아요 그런데 사진처럼 겨드랑이 부분 실밥처리가ㅠㅠ 구겨져서 와서 스팀다림질 하던중 발견해서 교환하기도 뭐해서 그냥 입습니다 ㅜ,Free
