아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
JqqHsQb1,상위 30%,24.10.26,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,60kg,상의 66,배송도 빠르고 퀄리티도 괜찮아요. 피부 예민하면 맨살에 입기엔 까슬거릴수도 있을 것 같은데 전 괜찮았어요. 자수도 이쁘고 가격대비 만족합니다. 핏 예뻐용
EMgOK2pK,상위 15%,24.04.23,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,165cm,59kg,상의 66,"겨울내내 넘 잘입었던 맨투맨이라 봄에 또 입으려고 하나 더 샀네요!
다른 맨투맨들은 겨울용은 기모가 있어 탄탄하게 모양이 잘 잡히는데 봄가을용은 넘 얇은 원단이라 헐렁 훌렁 넘 힘이 없거든요. 근데 이건 테리원단이라 그런지 힘이 좀 있어서 모양이 잘 잡혀있는 느낌이에요! 결론 맘에 든다!! ㅋㅋ"
또옷사는뉘집망나니,상위 30%,24.04.06,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,66kg,상의 77,좀 까끌거리긴 하는데 너어어ㅓㅓ어어무 예뻐서 요새 그냥 꾸안꾸 스타일로 가려면 일단 이거부터 집어요. 정말 깔끔해보이고 있어보이는 자수로고 최고입니다 ❤️🫶 내년에 헤지면 입을거 추가로 하나 그냥 더 사둘까 ㅜ 고민중일 정도..
ysl1***,상위 10%,24.03.28,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,47kg,상의 55,정말 오랜만에 큰 맘 먹고 맨투맨 샀는데 넘 잘 산 거 같아요! 질도 좋고 마감처리도 잘되어 있고! 체격이 좀 작은편에 속해서 완벽한 정사이즈보단 살짝 크게 입는걸 선호하는 편인데 핏도 맘에 들어요ㅜㅜ 기장감은 맨투맨 아랫부분을 완전히 피면 엉덩이 거의 다 덮었어요. 계절감은 완전한 봄에서 초가을 정도? 얇은 편이라 쌀쌀할 때는 안에 티 레이어드해서 입으려구요. 다른분들 구매하실때 이 점 참고하시면 좋을 듯해요! 잘 입겠습니다♡
kdy8***,,24.03.22,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,160cm,54kg,상의 55,안에 타올처럼 까슬까슬한.. 딱 봄철 맨투맨 얇기의 제품이에요. 특별할 건 없지망 기본에 충실해서 시보리 짱짱합니다. 목은 입고 빨아봐야 알것 같은데 금방 늘어날 것 같기는 해요. 회사갈 때 입으려고 산 휘뚜루마뚜루 템이라 잘 입겠습니다
Ea2eoKzL,,24.03.14,그레이,FREE,생각보다 커요,보통이에요,화면과 비슷해요,154cm,47kg,상의 55,"기존에 네이비색상이 있어서 그레이도 구매함.
적당히 부들부들함.
엉덩이 살짝 덮는 기장감인데
세탁하고나면 약간 줄어듦.
(사진에 네이비는 줄어든거임)
줄어들면 골반덮는 길이라 딱좋음.
흰티랑 레이어드해서 입으면 예쁨.
어깨랑 상체가 있는편인데 나그랑이라 말라보임.
직진배송으로 주문했는데 밤 열시넘어서와서 아쉽지만 만족함."
gkst****,상위 5%,24.01.18,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,58kg,상의 55,"색감은 화면과 똑같고 마감도 괜찮습니다.
두께는 두꺼운 편은 아니지만 안에 입고 입으면 따뜻하더라구요 !
아래쪽은 빨래를 많이 하면 늘어나긴하겠지만 손목은 괜찮아요! 
키170인데 레이어드 하기 좋은 길이감입니다.
부해보이지도 않고 색감이 바라던 색감 그대로라 아주 잘 입고 다닐거같아요 ㅋㅋ
한겨울용으로 산건 아니라서 초여름?까지 주구장창 입고 다닐거에요 ㅋㅋ"
WNekneGh,상위 15%,25.01.09,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164cm,57kg,상의 66,"핏이 너무 맘에 드네여
요즘 맨투맨들 다 짧거나
어깨선 너무 내려와서
겉옷 안에 입기 애매하거나
너무 부풀해서 입기 불편하고 그랬는데
이 맨투맨은 레이어드하기 딱 좋은 핏에 소재네요
겨울에 이거만 입기에는 좀 얇긴하지만
목티 입고 입으면 완전 잘어울려요~! 
회색도 구매하고 싶네용"
IrbQwrT4,상위 25%,24.11.27,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,166cm,50kg,상의 55,"봄라인데 얼굴색 밝아보여요 처음엔 제조업체 사정으로 긴기장인 줄 알고 구입한거라 반품하려했지만 친절한 답변받고 그냥 입어요 ~ 그런데 안하길 잘했어요 
편하고 스타일 살아요 
레깅스 위에 입게 긴 기장으로도 나오면 좋겠네요"
gFsLmHzc,상위 25%,24.11.21,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,57kg,상의 55,"아니 ㅋㅋㅋ 배송 진짜 담날에 왔어요
넘좋다.. 생각보다는 컸구 기모가 있는 줄 알았는데 안들어있네요 ㅋㅋㅋ 그래도 예뿌니깐 조아요
단독으로 입기에는 약간 까실한 감이 있어요ㅜㅜ
목티랑 같이 입어도 예쁠 것 같구 전반적으로 대만족입니다~~ㅋㅋ 
아무튼 전반적으로 만족이에요 !
다른 색도... 또 눈가네요 ㅎ ㅎ"
