아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
지그재그랑결혼함,탑리뷰어,25.01.04,아이보리(피치기모),FREE,정사이즈예요,보통이에요,화면과 비슷해요,154,52,55,피치 기모라 그래가지고 겨울에 입으려고 샀는데 얇습니댜 ㅎㅎ 저는 니트조끼랑 레이어드 해서 입었는데 넘 이쁘더라구요 😆 사실 조끼가 넘 이쁨 ㅎ 손대보면 저렇게 비칩니다 ! 그래도 소매쪽이 귀여우면서도 청순해서 넘 이쁘고 안에 넣어입으면 단독으로도 이쁠 것 같아요! 🙂 빨면 줄어드는 소재입니다~,FREE
리뷰클릭클릭,상위 5%,24.11.28,아이보리,FREE,정사이즈예요,보통이에요,화면과 비슷해요,155,45,44,포장지를 열기 직전까지는 괜찮았어요 근데 소매 부분을 보니 얼룩이 있네요 반품하고 다시 받을려면 시간이 소요되니까 그냥 구매확정 할게요 얼룩때문에 별 하나 뺐어요 직진배송이라서 배송은 확실히 빨랐구요 얼룩만 빼면 퀄리티는 추천해요,FREE
예옹,탑리뷰어,24.11.23,아이보리,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,159,50,55,"진짜루 이너 블라우스로 이만한게 없어요!
제가 한 번 산 옷을 다시 사는 경우가 진짜 잘 없는데 얘는 너무 자주입어서 더러워져가지구ㅋㅋㅋ 아이보리 재구매하면서 블랙도 함 사봤어요.
가격이 쫌있는편이지만, 퀄리티 좋고 여기저기 아무옷이나 다 잘어울려서 진짜 강추에요!!👍
구김이 좀 가는편이긴한데 면이라 그건 어쩔수없는 부분인거같아서 저는 감안하구 입습니당",FREE
2UZMlwor,,23.12.05,아이보리,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,153,47,55,"안에 검은색 나시 입었는데도 많이 안비치네요! 체구가
작은 분들은 여리여리하고 넉넉하게 입을 수 입어요 근데 너무 넉넉해서 넣어입으면 뭔가 어정쩡 …!?한 느낌도 있어서 빼서 입을 것 같아요! 면 빳빳하고 좋은데 그만큼 구김도 잘 가네요 ~~~",FREE
마몽몽,상위 10%,24.08.27,베이지,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,160,55,55,"사이즈 아주 낙낙해요!!그래도 어깨가 크진 않아서 예쁘게 맞구요
무엇보다도 색상이 아주 예뻐요 노란기 많이 빠진 뮤트한 베이지 색상이라 무난하게 잘 입을 수 있을 것 같아요
아이보리 블라우스들은 많으니까 이 색상도 추천합니다!!",FREE
fbfGY2sg,,24.04.19,아이보리,FREE,생각보다 커요,보통이에요,화면과 비슷해요,169,68,55,"다 좋은데 주름이 많이져서 다리지 않으면
못 입는다 보시면됩니다
지금 사진에 상태가 빨고나서 마른상태인데
잔주름이 무쟈게 많아요ㅋㅋㅋㅜㅜㅜㅜ
그래도 입었을때 예뻐서 다림질 해가며 입고있어요 ㅜㅜ
팔이 짧아서 9부같은 너낌인데 여름에도 입을수 있을것같아요",FREE
Vcl3ovo8,상위 10%,24.11.11,블랙,FREE,생각보다 커요,보통이에요,화면과 비슷해요,158,55,55,"제주도배송을 하루 반나절만에 택배 받는게 얼마만인지
직진배송 감사합니다👏🏻 블라우스를 즐겨입는데 계절이
바뀌면 이쁜디자인을 사기가 어려운데 여기 블라우스맛집이네요🫢",FREE
nfu8pygS,,24.05.12,아이보리,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,163,48,55,"생각보다 도톰하네요? 
흐늘흐늘 재질이 아니고 빳빳한 느낌이에요
손가락 넣어보면 살짝 보이지만
속옷은 전혀 비치지 않아서 넘흐 좋구요~ 
아??검정색은 당연히 보이겠지만요^^
면접 급하게 봐야해서 다림질 좍좍해서 
입고 갔는데 깔끔하고 이뻐네요
목이 많이 파인 디자인이 아니기때문에 신경쓰지 않아도 되고 좋은거 같아요
뒷목에 연결된 단추고리는 탄력있게 늘어나는 고무줄(?)로 되어 있어서 
굳이 단추를 풀지않고도 얼굴 슉슉 잘들어가져욤",FREE
4m60068r,,24.03.26,아이보리,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161,66,66,블라우스 느낌이라 여성스럽고 그냥 티셔츠보다 넥라인이 넓게 빠져서 더 예뻐요! 캐주얼하게 입기도 좋고 약간 차려입은 느낌 낼 때도 적당해서 너무 좋아요 셔츠 재질이라 주름이 잘 생기긴 하지만 전날 밤에 물뿌려서 탁탁 펴말려두거나 물 살짝 뿌려서 드라이기로 펴주면서 말리면 봐줄만하게 펴집니다 굿!,FREE
GO8mZEyu,,24.03.21,아이보리,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,155,41,55,"기본 블라우스 흰색 사고싶었는데 딱 맘에 드는 노카가 퍼프 소매 발견해서 구매했어요
뭐 튈까봐 무서운 색이긴 한데
청바지랑 매치하면 캐주얼스럽고
치마랑 입으면 격식있어 보이는 디자인이어서 좋아요",FREE
ZJLLkuVv,상위 25%,24.03.07,핑크,FREE,생각보다 커요,보통이에요,화면과 비슷해요,161,49,55,"상품 버튼 디테일 부분 확대해서 찍어 보았어요. :)

마감도 이정도면 좋고 색감은 생각보다 더 보랏빛의 핑크라 아쉬웠지만,
 봄에 어울릴 밝은 데일리템이어서 만족하고 품습니다:)

화이트 블라우스가 있어서 안 샀는데 다른 컬러도 사고 싶어요:)

🤍생각보다 품이 커서 넣입 또는 붙는 부츠컷이나 스트레이트 스키니 등에 빼입해도 귀여워요:)🤍",FREE
CcGR9tdt,상위 25%,23.10.16,아이보리,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160,53,55,"진짜 너무너무 만족하는 블라우스에요
평소에 블라우스 잘 안입는데 얘는.. 진짜 이뻐요
원래 원피스에 받쳐입을려고 샀는데 
단독으로 입어도 이뻐서 두가지로 다 입었어요!
소매 살짝 접어서 걷어입으면 무심한듯 꾸안꾸로 존예고요,, 
인쇼에서 블라우스나 셔츠사묜 너무 커서 네모네모빔되는데 이 블라우스는 핏도 딱 적당하게 떨어져서 날씬해보여요 팔뚝부자들 꼭 사세요,,,!!!",FREE
윶이,상위 15%,25.01.15,베이지(피치기모),FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,173,61,55,"일단 배송정말 빨라요!! 기분 좋게 다음 날 바로 받아봤습니다!

베이지색은 리뷰가 별로없어서 걱정했는데 
아이보리의 하얀끼보다 따뜻한 색이 잘 받는 웜톤에게 
추천이에요! 무난히 튀지 않아서 예쁜 색입니다! 

바지 안에 넣을 때도 짧지 않은 무던한 기장이라 바지랑 가디건 레이어링 코디해도 깔끔하고 예쁠 것 같아요

검정색 원피스랑 코디해서 입었을 때 은은하게 잘 어울리고, 소매처리가 예쁘고, 활동할 때도 편합니다. 

아쉬운 점은 피치 기모인데요 조금 더 탄탄한 느낌일 뿐 따뜻한 느낌은 없는 것 같아요. 그래도 탄탄해서 그런지 베이지색은 속옷 만 입고 입었을 때도 큰 비침이 없는 것 같아요👍🏻 그리고 너무 두껍지 않아 오히려 여름 뺀 나머지 계절 활용도가 높을 것 같아 럭키 비키입니다🍀

예쁘게 잘 입겠습니다🫶🏻",FREE
