아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
dogh**,,24.04.03,소프뮤트,,정사이즈예요,아주 만족해요,화면과 비슷해요,154.0,53.0,55,"디테일이 진짜 ... 작은 부분까지 세심하게 신경을 쓴게 느껴지는 상품이어에요.

작년 여름에 임프레션 블라우스 반팔을 우연히 보고 샀다가, 예쁘다는 칭찬을 많이 들어서 긴팔을 제때 못사서 후회하다가 이번에 다시 판매하는 것보고 후다닥 샀어요 !

반팔만큼 예쁠까 걱정도 했는데(반팔의 튤립같은 소매가 블라우스의 포인트라고 생각해서) 긴팔도 반팔만큼 너무 예뻐요. 

참고로 저는 목 짧고 통통한 사람입니다. 스카프가 있어도 목이 답답해보이지 않고 소재가 실루엣을 여리하게 만들어주는 것 같아요.

약간...나만 알고 싶은 마음도 있지만 후기 공유합니다 !",
dogh**,,24.04.03,살구베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,154.0,53.0,55,"이번에 받은 색상 중에 제 원픽이에요..🩷 맨 처음으로 입은 색상이라 그럴 수도 있는데,

사실 고민을 많이 했어요. 봄인데 발렛로제를 사야하나, 베이지라서 크림이랑 별 차이 없지 않을까 생각했는데...입어보니까 이 색상만이 낼 수 있는 분위기가 있어요! 봄 가을 두 계절에 모두 어울릴 것 같은 색감이고, 색상이 포근하면서도 흔히 볼 수 없는 고급스러움이 느껴지는 색상이에요.

제가 어깨에 살짝 뽕 들어간 것도 안좋아하는데 딱 처음에 입어보고 뽕이 너무 예쁘게 들어가있고, 소매에 단추도 좀 유치하지 않을까 생각했는데 작은 디테일이 예뻐요.

참고로, 사진은 제가 잠옷입고 있다가 바로 입어서 안이 비쳐요🥲 비침이 어느 정도인지 확인해주시는 용도롤 봐주시면 될 것 같아요 ;)

옷도 옷걸이에 걸어서 비닐에 포장되어 와서 기분 좋았어요 😃",
sUSeR5n2,,24.03.20,소프뮤트,,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,45.0,44,"‘퍼빗이 퍼빗했다‘ 라고 남기고싶어요 정말 .. ✍🏻
색감이 저를 여리하게 만들어주네요 
색감천재 퍼빗이잖아요 🤭

처음 배송왔을때 상자가 왜이렇게 크지?! 했는데 
깔끔하게 옷걸이에 걸려서 왔더라구용 
완전 감동 .. 블라우스 하나 구매한건데도 신경 팍팍 써주신느낌이라 옷 받았을때 기분좋았어요 🩷

제가 목이 짧은편이라 블라우스류는 잘 안입는데 
바로 화이트도 추가구매했어요 

하객룩으로 요 세트 입고싶어서라도
결혼식 가고싶은 맘 아시나요..? 헤헤 
그정도로 만족하는 블라우스입니다 !!! 🌈😎",
Mz,상위 10%,24.03.19,발렛로제,,정사이즈예요,보통이에요,화면과 비슷해요,168.0,53.0,55,"임프레션 전부터 너무 사고싶었는데 소프트 블루 외 다른색상은 후기가 별로 없더라고요. 계속 고민만하다 결국 품절로 구매가 어려웠었는데 재입고 되자마자 바로 결제했습나다.ㅎㅎ 

저는 요즘 핑크에 빠져 핑크랑 살구?랑 고민하다가 핑크로 구매했는데 제 퍼스널 컬러 특성상 핑크는 안어울리네요..그래도 예쁘니 품고 다른색도 구매해보려고요! 
 예쁜 색 더 많이 내주세요.",
뗜,상위 25%,24.03.19,발렛로제,,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,48.0,55,실물깡패에여ㅠㅠ 제가 원하던 여릿한 핑크 딱 그 색감!!! ㅠ벚꽃룩으로도 딱이구 봄에 청바지에 이거 하나만 딱 입어주면 끝이에요..소매 단추 포인트도 너무 고급지고 예쁩니다ㅜ 작년에 구매했던 몽로즈 타이블라우스 핑크베이지랑 비슷할까 걱정했는데 색감 차이가 확 나요! 둘다 카푸치노원피스 블랙이랑 찰떡일거같네용ㅎㅎ🥰💗💗💗,
K3h5mpIl,,24.03.18,아이보리,,생각보다 커요,아주 만족해요,화면과 비슷해요,165.0,39.0,33 이하,임프레션 긴팔버전 5컬러 다 소장중! 흰색의 아이보리 컬러만 없어서 아쉬웠는데 이번에 새로운 컬러 입점된거 보자마자 바로 구매했어여ㅠㅠ 타이 블라우스 타업체 중에서도 당연 퍼빗이 핏도 그렇고 제일 이뻐오.. 깔별로 쟁여두길 잘했어요🤍 쿨톤러분들 당장 구매하세요!,
NrnOcXqi,상위 20%,25.01.11,살구베이지,,생각보다 커요,보통이에요,화면과 비슷해요,163.0,55.0,55,"이름 그대로 차분한 살구 베이지 색감이에요! 웜톤분들 강추입니다,, 옷걸이에 걸려서 와서 좋았고 핏이나 질도 나브지 않았어용 근데 소매에 달려있는 단추가 살짝 저렴해보이는 감이 있었고 마감이 좋은 편이 아니라 아쉬웠어요ㅜㅅㅜ",
s7MS1iwD,상위 10%,25.01.01,발렛로제,,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,50.0,44,"타이블라우스에 꽂혀가지고 구매한 핑크 블라우스입니당! 하라는 운동이랑 외국어 공부는 안하고 지그재그에 살면서 눈팅으로 블라우스 100벌은 구경하고 선택한 블라우스에요. 결론은 마음에 듭니당!! 근데 겨울에도 입을 수 있을거라 생각하고 샀눈데 오아닜?? 이건 조금 얇자누? 그래서 봄이랑 초여름꺼정? 여름하고 하루정도 까지는 입으실 수 있을 것 같쯥니다~~ 겨울에 입으시다면 제 생각에는 요 블라우스 위에 자켓 위에 누빔코트까지 입으셔야 할 것 같아여!1 목이 휑해서 목도리도 필슈슈!!! 그치만 가을이나 여름에는 우아하고 샤랄라하게 어른어른한 여성미로 주변 사람들에게 매력을 어필하실 수 있을겁니당! 소매 단추도 요 블라우스의 매력을 더 돋보이게 해줍니당!! 저는 요런 스타일 단추 좋아해서, 요 블라우스를 구매하는데 8할은 한 단추랄까용? ㅎㅎ 마음에 들어요~ 짧지도 길지도 않은 보통의 길이고요!!! 색도 물빠진 핑크색? 인디핑크에 독특한 재질의 블라우스입니당~~ 이거 입고 결혼식 가면?? 신부 다음으로 돋보이실 수 있씁니당~~~",
5i5cxIYT,상위 5%,24.12.18,소프뮤트,,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,57.0,66,"평소 66입는데 핏은 딱입니다! 팔통이나 어깨부분이 마른 사람이 입으면 더 예쁠 핏이나 저처럼 통통도 가능하다는 점을 말씀드리고 팔통은 널널합니다!
소재감은 약간 광택이 도나 실크같은 느낌은 아닙니다~
두번재 사진 참고하면 되고 소매의 포인트가 여성스럽습니다~ 다른 컬러도 구매하려고 합니다!!!!",
D4WfueOL,탑리뷰어,24.12.18,소프뮤트,,정사이즈예요,아주 만족해요,화면보다 밝아요,160.0,50.0,55,"이게 은색도 아니고 회색도 아니고 오묘한색인데요. 그래서 그런지 뭐에 입을지 생각도 안하고 너무 예뻐서 사버렸어요. 주름이 적당히 지기도 하는데 어차피 소매라인에 주름이 있는것도 포인트고 옷감 자체에서 은은하게 은펄? 이 도는 것 같기도 하고, 이 블라우스는 무조건 이색을 사셔야 합니다. 청바지에 입기도 슬랙스에 입기도 어디에도 잘어울려요...추천합니다...",
fKEiFliY,상위 1%,24.12.17,발렛로제,,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,48.0,44,"사계절 하객룩 블라우스 정착템 추천 💕

⭐️ 추천대상 ⭐️
단아한 비즈니스룩 즐겨 입으시는 분들은 말해모해
격식이 필요한 자리에 가성비 블라우스로 강추드려요
벌써 네 번째 결혼식 돌려 막기 중입니다 ㅎ

👚 재질 • 소재 • 색상
봄에 단독으로 입기 좋을 거 같고, 한여름은 더울 거 같아요
그래서 부담스럽게 비치지 않아서 좋음 ㅎㅎ
발렛로제 후기가 별로 없어서 고민했는데, 화면이랑 똑같은 웜톤 핑크! 믿고 따라오세효

👯‍♀️ 체형 • 핏
165/48 기준으론 좀 널널한 핏이지만, 손목 끝 부분을 단정하게 단추로 잡아줘서 깔끔해요

💡코디 활용 팁 (사진 참고)
나시 원피스 안에 입거나, 트위드나 코트같은 아우터 안에 포인트 타이로 딱이에요 !!

🥲 단점
타이 길이가 애매해서 다양한 연출이 어렵다?
한 번 감아서 축 늘어뜨리는 젤 예쁘더라구요

이상 도움이 되셨다면 많은 관심 부탁드립니당",
yHdWpVot,상위 20%,24.12.08,무드크림,,정사이즈예요,아주 만족해요,화면과 비슷해요,166.0,48.0,55,"진짜 여리여리 너무 예쁘고 대만족!!!!합니다!!!!

브이넥이라 목이 더 길어보이고
목에 두를수 있는 타이가 있어서 더 여리여리하면서
여성스러운 느낌이 나서 좋아요🌷
원단도 완전 면도 아닌게 약간 글로시한(?) 실크느낌이 섞여 있어 더 고급져보여요!

무드크림은 화이트랑 베이지가 섞인 밝은 톤의 색상으로
웜톤에게 더욱 화사해보이고 찰떡쿵떡 색상같아요 ㅎㅎ

강추합니다🤍🤍🤍",
9m41zFLX,상위 20%,24.12.08,소프뮤트,,정사이즈예요,보통이에요,화면과 비슷해요,169.0,58.0,55,"친언니 결혼식 때 착용했는데 
잘 어울린다고 이뿌다고 칭찬받았어요 ㅎㅎ
엄청 얇아서 시원한 재질이고 
타이부분이 살~짝 어색하긴한데 잘 만지면 돼용
색감도 이쁘고 가끔 데이트룩으로 입어도 좋을 거 같아요
강추 🥹🥹",
mBM9M7DL,상위 5%,24.11.15,소프뮤트,,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,48.0,44,부드럽고 하늘거리는 느낌의 블라우스입니다 너무 예쁘고 마음에 들어요! 살에 닿는게 부드러운데 그렇다고 엄청 시스루처럼 얇지는 않고 살짝 비추는 정도라서 부담스럽지 않게 입을 수 있어요 목에 있는 끈으로 스타일링 다르게 연출할 수 있어서 고급스러워보이고 좋았습니다~,
운동씨,상위 10%,24.11.14,살구베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,157.0,47.0,44,"역시 퍼빗입니다ㅠ 여름버전으로 접했을때 너무 예뻤어서 긴팔도 시켰는데요..! 너무 마음에 들어오ㅠㅠ
목이 짧은데도 저 스카프가 넘 잘어울려용
어깨가 좁은데 셔링이 들어가서 보완도 되구요
색도 봄웜한테 진짜 찰떡이고.. 팔길이도 너무 길면 어벙해지는데 딱이에요
아정말 사길 잘했어요 하객룩 면접룩 뭐든 활용도 100점입니다",
Judas,상위 10%,24.11.05,소프뮤트,,정사이즈예요,보통이에요,화면과 비슷해요,162.0,48.0,44,"퍼빗 두번째 구매인데 역시나… 🫶🤍
일단 옷걸이에 담겨져서 와서 놀랐고요 (박스가 엄청 컸음) 
옷 퀄리티 보고 더더 놀랐어요! 
전반적으로 은은한 새틴 광이 돌고, 제가 겨쿨인데 얼굴 진짜 환해보입니다 🥹🥹 
오피스룩처럼 입어도ㅠ예쁘고 하객룩으로도 예쁠 것 같아요!!! 진짜 강추합니다 전 앞으로 퍼빗 진짜 애용할 것 같아요 🥰🥰",
fD1MgStm,상위 10%,24.11.04,살구베이지,,정사이즈예요,아주 만족해요,화면보다 밝아요,164.0,50.0,55,"봄웜라이트일까뮤트일까 아무튼 봄웜입니다

아묻따 일단 아이보리,베이지 인간이다? 무조건 사세요

사실 이런 블라우스류 거의 안입는데
경조사나 격식차릴때 활용하려고 샀는데요
햐,, 진짜 예쁩니다 소재 자체는 챠르르르 그런 느낌은 아닌데 색감과 소재가 반사되면서 챠르르한 느낌을 줍니다

피부에 닿았을 때 차가운 소재 아니구요 저어어엉말 얇은 코튼이라고 생각하심 될 것 같아요

트위드 걸쳐보니 타이가 자연스레 살짝 나오는것도 넘 예쁘구 과하지 않아서 좋아요
좀 더 입어보고 다른 색도 살까봐요,,,

살구베이지라고 생각하심 딱이예요💛💛💛",
GHgI6kCt,상위 15%,24.10.27,무드크림,,정사이즈예요,보통이에요,화면과 비슷해요,157.0,47.0,55,"오랜만에 퍼빗에서 옷 사는데 이런 여리한 감성은 역시 퍼빗만한 곳이 없네요,,
직진배송 수량이 있어서 좋았고 무드크림은 쌩화이트보다 어디에나 받쳐입기 좋은 색이예요! 단품으로도 트위드 이너로도 좋았어요 다른 하의에도 다 잘 어울릴 것 같아요",
