아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
zy9YdX77,상위 15%,24.12.04,긴팔(Long)_아이보리(IVORY),1,정사이즈예요,아주 만족해요,화면과 비슷해요,153,44,44,"🌟만족🌟
체구가 작은 사람에게 딱입니당
1. 디자인: 흔하지 않아서 좋아요. 스퀘어낵이 포인트인 것 같아요. ✔️다만 배꼽쪽이 브이로 많이 뚫려있어서 하이웨스트 아니면 배가 좀 보여요..
2. 소재: 봄가을에 잘 입을 수 있을 것 같아요! 좀 얇아서 안에 어두운 속옷은 안돼요.
3. 사이즈: 제 체구에 딱 맞아요. 목 쪽이 좀 헐렁하긴 하지만, 신경쓰면 되는 정도에요.",1
간헐적쇼핑중독자,상위 10%,24.10.08,긴팔(Long)_아이보리(IVORY),2,정사이즈예요,보통이에요,화면과 비슷해요,165,56,55,"예뻐요! 재질도 그렇고 포멀한 자리에도 입을 수 있을거같고 좋았습니당..!
그치만 제 키가 165라서 그런건지.. 허리선이 원래 짧게 나온건지.. 허리선이 많이 짧아서 허리가 얇아보이진 않았어요..ㅜ 3번째 사진을 보면 (손을 들어서도 있겠지만) 허리선이 짧아서 옷이 쉽게 들리고, 좀 부해보였습니당.. 
+ 손가락으로 표시한 부분이 제 허리선이에요! 허리선이 높아서 제 몸보다는 부해보이는 점이 아쉬웠어요! 그치만 키가 저보다 작거나.. 다리가 기신 분들은 만족하실 수 있을거같아요! 저는 아쉬움이 남긴 했지만 ㅠ 그래도 어떻게든 입어보려구용",2
크르르르,상위 1%,24.09.25,긴팔(Long)_아이보리(IVORY),1,생각보다 커요,아주 만족해요,화면과 비슷해요,158,46,44,"딱 할인한 가격대 느낌의 블라우스입니다
엄청 와 예쁘다할 정도는 아니지만 적당하게 단정하고 깔끔해서 휘뚜루 마뚜루 손이 잘 갈 것 같아요
생각보다 폼이 크긴 하지만 허리라인도 잡혀있어서 엄청 부해보이지는 않습니다 핏도 적당하고 편해요!
재질이나 마감은 딱 가격대느낌이고 재질은 구김이 잘 갈 재질이에요
비침도 없고, 생각보다 두께는 있어서 얇은 셔츠느낌의 블라우스는 아닙니다
색감은 정석적인 A4 화이트 색입니다
출근룩 데일리로 잘 산 것 같아요 이런옷 스퀘어넥이 붕뜨거나 어깨 퍼프가 과한 경우가 많은데 가슴들뜸도 없고 어깨도 적당합니다 이렇게 딱 적당한 블라우스 찾기 힘든데 잘 산 것 같아요!",1
초코버블티,상위 10%,24.09.22,아이보리(IVORY),1,정사이즈예요,보통이에요,화면과 비슷해요,158,40,44,"분명 더울때 샀는데 비오고 하루만에 기온이 10도나 내려가서 내년에 입을 듯 해요.. 옷은 만족합니다!
1. 바스트가 적당한 편이라고 생각하는데 단추 잠글때 살짝 낑기는 느낌이 있어요
2. 소매도 길고 겨드랑이 부분도 길어서 팔 들때 옷 전체가 들려요
3. 가슴쪽에 벌어짐은 약간 있는듯
4. 단추쪽에 천이 덧대어져있는 센스 좋아요
5. 뒤에 묶는 허리 끈이 좀 깁니다",1
QiDdEUlA,상위 10%,24.09.12,긴팔(Long)_아이보리(IVORY),2,정사이즈예요,아주 만족해요,화면과 비슷해요,162,60,55,"사이즈 - 평소에 55혹은 M입는데 후기에 바스트 부분이 타이트 하다는 평이 좀 있어서 2사이즈로 구매했습다
품이 너무 크면 어쩌나 했는데 오히려 1사이즈 샀으면 작을수도 있었겠다 싶네용
바스트부분 딱 적당하고 허리끈으로 조절하면 딱 원하던 핏이 나오더라구요

비침 - 스킨색 속옷 입었더니 거의 안비칩니다! 나시 없이도 충분히 입을 수 있어요

기장 - 소매는 딱 손목까지 오고 옷 전체 기장은 앞에 트임때문에 배꼽위부터 보이긴 하지만 하이웨스트 하의랑 입으면 오히려 다리가 더 길어보여서 좋아요!

이 가격에 이정도 퀄리티면 사는게 이득인 옷 같습니다!
그리고 블라우스 한벌 시켰는데 무슨 브랜드 옷 마냥 옷걸이에 걸려 박스에 담겨온거 보고 감동받았어요🫶🏻",2
OW3lzzA8,상위 5%,24.08.07,아이보리(IVORY),,정사이즈예요,아주 만족해요,화면과 비슷해요,163,48,44,가격 대비 퀄리팅 훌륭하고 뒤에 리본 있어서 심플히면서 포인트! 심심하지 않고 단아하면서 여성여성 해요! 이너 입구 단추 다 풀러서 반팔 가디건으로도 활용가능! 크롭이라서 단독으로 블라우스로 입어두 올드해보이지 않구 이뻐요!,
봉이누나,상위 5%,24.08.06,아이보리(IVORY),,정사이즈예요,아주 만족해요,화면과 비슷해요,160,51,55,"출근용 여름 블라우스 보다가 깔끔하구 이뻐서 바로 구매했어요 ㅎㅎ
화이트 컬러로 샀는데 핑크도 이뻐보여서 사고싶네요…♥︎
적당히 짧은 길이라 스커트나 슬랙스 다 잘 어울릴것 같아요 ^_^*",
love******,상위 5%,24.07.31,오렌지(ORANGE),,정사이즈예요,아주 만족해요,화면과 비슷해요,161,55,55,"퍼스널 컬러라서 색상 넘 잘 받구요
길이도 너뮤 짧지않고 좋아요
단추가 블라우스 하단엔 없어서 오잉?
햇는데 끈으로 여미니까 안벌어져요
옷받고 뭔가 간호사복?생각난다고 느꼇는데
컬러감이 여성여성하니 좋아요
팔에 단추도 달려잇는데 첨엔 모르고 단추안잠그고
입었더니 편하도라구요ㅎㅎ
요새 옷들은 팔뚝살커버되게 길게 나와서 넘 만족해요😍",
CytTFhMp,,24.07.19,아이보리(IVORY),,정사이즈예요,아주 만족해요,화면과 비슷해요,158,43,44,"크롭한 기장인데 부담스럽지 않아서 좋았습니다
어깨라인도 예쁘고 허리도 끈으로 잡아줘서 날씬해보이고 예뻐요
주름이 살짝 가는 소재이지만 다림질해입으면 단정하고 너무 예쁘네요
출근룩으로 아주아주 추천합니다!!",
r1Z9P51X,,24.11.23,긴팔(Long)_블랙(BLACK),2,정사이즈예요,보통이에요,화면과 비슷해요,156,50,55,배송 깔끔하게 오고 좋아요 배송 빨리 왔어요 생각보다 조금 얇지만 이뻐요 근데 바스트 있으신 분들은 쫌 핏이 안예뻐요ㅠㅠ 그래도 전체적으로는 만족합니다,2
