아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
hadaaaa,상위 20%,24.11.21,긴팔,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,164,60,66,"아니 진짜 너무 맘에들어요 ㅋㅋㅋ 하객룩으로 백점만점 데이트할때 입어주면 여리여리 장난 아닙니다 .. 그리고 정말 비슷한 디자인 옷들 다 보고 고민했는데 앞에 단추 디테일이랑 끈 붙어있는것도 좋고!! (매번 찾는거 너무 귀찮아서 잃어버린 녀석들이 한트럭이라)
묶어도 오케이 둘러도 오케이 ~~ 다른 컬러로 또 구매하려구여!!! 그리고 속옷 단독으로만 입고 입어줘도 안비칩니다 굿굿✨👍🏻

아 단점은 네일아트 하고있어서 단추 끼우는게 번거롭다... 구멍이 쏙쏙 들어가는 느낌은 아니에요 ㅠㅠ",블랙
PsB6m2AZ,,24.02.16,블랙,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161,60,66,"키 161 정도에 살쪄서 66사이즈 입슴니다.
품이나 길이 무리 없이 잘 맞구요, 소매는 아주 살짝 짧은감은 있어요! 
색상은 살짝 뿌연 블랙? 뭔지 아시조 그렇고 
재질이 쓸데없이 반짝이지 않아서 오히려 좋내요!
타이가 포인트되어서 예뻐요🍀",FREE
Hx1Q3o1y,,23.07.18,블랙,FREE,정사이즈예요,보통이에요,화면과 비슷해요,163,50,55,"퀄리티도 괜찮고 타이 포인트로 여리여리한 분위기 연출 가능해요! 너무 성숙해보이지 않을까 했는데 헤어스타일이나 하의 매치에 따라 변화 주기 좋을 거 같슴당
아쉬운 게 있다면 단추 구멍이 단추에 비해 작은 편이라 잠굴 때 뻑뻑하네요 ㅠㅡㅠ 인내심이 약간 필요해요
그리고 오른쪽 어깨 라인이 솟아있는데 사진 찍느라 어깨 올려서 그런거고 실제로는 어깨 박음선 라인 자연스럽게 떨어져요!",FREE
ZynezVZy,상위 5%,25.01.02,긴팔,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,162,56,66,"예뻐요! 결혼식 때 입고가려고 샀는데 완전 잘 입을 것 같아요. 제일 좋았던 것은 팔뚝살 부각 없는 것,,,, 저 완전 팔뚝부자인데 한개도 티 안 나여~ 글고 다려서 주름 펴서 입으면 사진보다 훨씬 고급져보여요 왕추천~",블랙
Z55UxiKM,상위 10%,24.09.14,긴팔,블랙,작아요,아주 만족해요,화면과 비슷해요,178,60,66,평소 상의 66사이즈 입어요! 착용사진은 없지만 키 178인 제가 입었을 땐 팔이 쫌 짧았습니다. 하지만 디자인이 예쁘고 목부분의 끈도 붙어있는 거라 아주 편했고 많이 얇은 소재지만 색깔이 어두워서 속옷만 입었을 때도 안 드러나보였어요! 경조사 때 입으려고 사놓은 건데 단정해서 좋았어요~,블랙
너는나의봄,상위 10%,24.09.14,긴팔,화이트,정사이즈예요,아주 만족해요,화면과 비슷해요,157,48,55,"급히 입어야 해서 서치했는데 .. 퀄리티 너무좋네요
백화점에서 산 반팔 버젼이랑 비슷..!!! 감동입니다
리본 묶어도 이쁘지만 전 타이처럼 해서 입는데 넘 이쁘구 촤르르 떨어지는것도 마음에 쏙 들어요!",화이트
mDY8O9gU,상위 10%,24.07.30,화이트,7부,정사이즈예요,아주 만족해요,화면과 비슷해요,160,60,66,"같은 옷을 세번째 구매네요; 화이트 긴팔, 블랙 7부, 화이트 7부 이렇게 세 벌 가지고 있습니다. 그만큼 마음에 들어요ㅋㅋ 얇아서 여름이라도 밤에 입을만 했어요. 깔끔하고 통통족도 편하게 입기 가능합니다.",7부
rWGirl6U,상위 10%,25.01.09,긴팔,블랙,정사이즈예요,보통이에요,화면과 비슷해요,163,59,55,생각보다 얇아요! 초여름에도 입을 수 있을 정도? 겨울엔 못입겠네용ㅋㅎ 그래두 퀄리티 좋구요! 콩단추가 한몫하네요~ 브이넥라인도 딱 예쁘게 파인 것 같아용,블랙
81EDROqp,,24.10.28,긴팔,화이트,정사이즈예요,아주 만족해요,화면과 비슷해요,160,48,55,촤르르 떨어지는 재질이라 고급스럽고 예뻐요! 어디에나 잘 어울려요 대신 좀 얇아서 많이 가을 이후로는 입기 좀 힘들거 같아요 🥲 하지만 활용성이 좋아서 추천입니다 👍👍,화이트
yLtRRxCs,,23.10.08,블랙,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,164,63,55,"기대 안 하고 안 어울리면 반품할 생각으로 주문했는데! 하루만에 도착했고, 입어보니까 너무 찰떡이었어요><!!! 돈 하나도 안 아깝고 재질도 만족스러워요! 이거 하나만 입어도 꾸꾸꾸가 되버리네요😍 근데 리본이 생각보다 예쁘게 되지 않더라구요ㅠ",FREE
