아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
obsjj1pY,,24.04.02,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,56kg,상의 55,"핏감좋고 촉감이며 다 맘에듭니다
트임이 있어서 디테일도 좋아여
골지느낌도 잔잔하게 이쁩니다
안에 반팔 레이어드해서 입기도 좋은 넥라인 맘에들어요"
jyna****,,24.04.01,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,48kg,상의 55,핏 진짜 이쁘고 원단이 탄탄해요 제작상품은 처음인데 기대이상입니다! 다른 색상도 구매하려구요 ㅎㅎ 너무좋아요 사계절 무난하게 입을 수 있습니다
jy00****,,24.04.01,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,163cm,56kg,상의 66,기본티인데 골지라서 튼튼할것 같아요 트임이 있어서 포인트가 되네요 좋아요 ! 팔뚝살이 부각되지는 않고 그냥 그대로 보이는 것 같네요 다른색도 사볼 의향은 잇어요
BZcXcCn6,상위 30%,24.04.01,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,50kg,상의 44,"부들부들 쫀쫀 아무대나 다 어울리는 휘뚜루마두루템이에요 요즘 날씨에 이너도 딱입니다
근데 두번 입었는데 보풀끼가 보여서 그 부분은 살짝 아쉬워요
회색도 살거에요"
YaQuhiLA,,25.01.12,소프트블루,,정사이즈예요,보통이에요,화면과 비슷해요,166cm,55kg,상의 55,맘에 들어요ㅋㅋ사이즈도 딱 맞구요 세탁했는데도 큰 변화 없어요!!! 안늘어나길 바랄뿐이에요! 색상도 맘에 들어요!
VuNAQ0If,,25.01.09,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,직진배송이라 빠르게 받았어요 민트색 사고 아이보리 추가구매 했습니다! 오래 입을 수 있는 재질은 아닌 것 같지만 뒤에 절개 디테일이 마음에 듭니다
SjR6VBtp,상위 5%,25.01.08,아이보리,,정사이즈예요,아주 만족해요,화면보다 어두워요,166cm,52kg,상의 44,생각했던 것 보단 좀 아이보리 느낌이라 얼굴이 어두워 보여서 아쉬웠어요. 그래도 탄탄하고 라인 잘 잡아줘서 좋은 것 같아요
TSwUQd16,상위 30%,25.01.07,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,50kg,상의 55,"핏이 되게 예쁘고 자칫하면 밋밋해보일 수 있는데 밑에 트임이 있어서 예뻐요
밑에 조금 큰 바지랑 입으면 짱 예쁨 !! !!!"
R5fkZh5S,상위 30%,24.12.31,그레이,,작아요,아주 만족해요,화면과 비슷해요,162cm,53kg,상의 55,팔뚤 부분이 낑기긴 하는데 전체적인 핏은 너어어무 예뻐요 다른 색들도 나중에 사봐야겠어요 역시 슬로우앤드네요 예뻐요ㅎ
Dhskanaml,상위 5%,24.12.30,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,48kg,상의 44,세탁해도 보풀안생기고 목늘어남도 없고 너무 만족합이다 색깔마다 쟁이고 ㄹ싶어서 이번에는 검정색구매합니다👏🏻
