아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
3heAHhKK,상위 5%,24.03.16,아이,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"LYDIA 도매택 이너티 너무 잘 입고있어서 
회색을 먼저 산 후 
아이보리 검정을 추가로 샀습니다.
손등을 가릴 정도로 소매를 늘려 입기 때문에 소매 마감을 중요하게 보는 편인데요.
먼저 산 회색티의 경우, 사진과 같이 올이 좀 많이 풀려서 ㅠ 다시 풀리지 않게 꼬매줘야했는데
이번 아이보리와 검정색은 괜찮아 보이네요.
몇 번 입으면 보풀도 잘 생기고 마감이 복불복이긴 하지만, 이만한 이너티는 없어서 또 구매하게되는 이너티인 것 같습니다 ◡̎"
jiwo******,상위 1%,24.12.20,블랙,선택안함,정사이즈예요,보통이에요,화면과 비슷해요,155cm,50kg,상의 55,화이트 그레이 블랙 베이지 모카 샀는데 소재 가격 대비 질 나쁘지 않고 편합니다. 제 몸무게에 키 정도면 내복처럼 달라붙어서 이거 하나만 입으실 거면 살을 좀 빼고 입어야 할 것 같아요. 다만 다른 색이 비해 모카 색상은 모델분 착샷과 다르게 회색 느낌이 있어요ㅠ 웜한 갈색을 기대해서 아쉬워요
jiwo******,상위 1%,24.12.20,아이,선택안함,정사이즈예요,보통이에요,화면과 비슷해요,155cm,50kg,상의 55,화이트 그레이 블랙 베이지 모카 샀는데 소재 가격 대비 질 나쁘지 않고 편합니다. 제 몸무게에 키 정도면 내복처럼 달라붙어서 이거 하나만 입으실 거면 살을 좀 빼고 입어야 할 것 같아요. 다만 다른 색이 비해 모카 색상은 모델분 착샷과 다르게 회색 느낌이 있어요ㅠ 웜한 갈색을 기대해서 아쉬워요
덕질빼면시체,상위 10%,24.11.23,아이,네이비,정사이즈예요,보통이에요,화면과 비슷해요,158cm,50kg,상의 44,"색은 화면과 똑같이 보여요
이렇게 많이 추워지기 전에 단독으로 입으려고 샀는데… 이젠 이너로 입게 되었어요. 이너로 입기도 좋은 핏이어서 정말 좋아요.
아이보리 색은 조금 비침이 있어서 입을때 속옷을 신경써서 입어야 할 것 같아요"
자유롭게살고싶다,탑리뷰어,24.11.22,베이지,민트,정사이즈예요,아주 만족해요,화면보다 어두워요,170cm,53kg,상의 55,옷을 소개하는 사진을 보고 좀 더 밝은 줄 알고 샀는데 막상 배송이 오고 입어보니 좀 더 어두운 느낌이네요. 명도 차이가 조금 있습니다. 옷이 집에 오고나서야 옷 소개글에서 빛에 색감 차이가 있을 수 있다는 글을 봤네요~ 그래도 어느정도 마음에 들지만 어쩔 수 없이 압박감이 조금 느껴져 특히 두겹 입었을 때는 숨쉬기가 힘드네요ㅠㅠ
1UpV3Eoc,,24.11.21,아이,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,49kg,상의 55,팔뚝에 여유가 있고 허리도 잘 잡아줘서 너무 만족스러워요! 사진처럼 안이 많이 비치긴 한데 안에 런닝 입고 입으면 되니까 괜찮을거같네요^^* 약간 보들한 면이고 두께감은 없어요. 근데 허리를 잘 잡아준다는게 진짜 큰 장점이라서 다른 색도 구매할 거 같아요🤩
나해수,상위 10%,24.11.20,민트,아이,작아요,아주 만족해요,화면과 비슷해요,157cm,50kg,상의 55,"몸 라인따라 딱! 붙는거라 신경쓰이기도 해요. 
특히 앉아있을 때. 밥먹고 난 후. 바지안에 옷을 집어넣은 경우. 뱃살부각 개심합니다.. 조심하세요.

마음에 들어요. 단독은 좀 부담스러워서 화이트-민트 같이 입었어요. 평소 누브라를 착용하는데 단독으로 입으면 조금 부각이 있어요. 사진은 두장입은거라 티는 안나네요.

부드럽고 마감도 깔끔해서 만족해요. 다른색상도 재구매의사 있습미다!"
Gdmpnfi5,상위 5%,24.11.16,아이,민트,정사이즈예요,아주 만족해요,화면과 비슷해요,171cm,63kg,상의 55,"저번에 회색으로 사고 맘에 들어 재구매했습니다!
그린색은 처음 도전해봤는데 역시나 제 피부톤이랑 잘 안 맞아서 어떻게 매치해야할지 모르겠네요..
하지만 핏 자체는 진짜 예쁘고 생각보다 보온성도 좋아서 이너로 정말 잘 입을 수 있어요!
흰 색운 생각보다 속옷이 잘 비춰지기 때문에 스킨색으로 입거나 나시 입어야 할 것 같습니다!"
mBM9M7DL,상위 5%,24.11.15,그레이,아이,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,48kg,상의 44,"부드럽고 쫀쫀한 기본 데일리 티셔츠입니당! 팔 뚝 부각도 웬만하면 커버 될 것 같아요~ 길이도 너무 크롭 아니라서 속에 넣어입기 좋아요~
손 넣으면 저렇게 보이긴하지만 비침 없다고 봐도돼요!"
아띠띠,상위 25%,24.11.11,블랙,그레이,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,52kg,상의 55,"재질은 부들부들 할랑할랑 맘에 들어요! 
마른건 아니지만 상체에 살 많이 없는 편인데도 딱 달라붙어서 이너로만 가능할 듯 싶습니다 
다만 목선 마감 봉제선이 한바퀴 둘러서 목 옆에서 봉제가 돼서 한쪽이 은근 튀어나와보여요"
내돈쇼핑에터는사람,상위 30%,24.11.10,아이,베이지,정사이즈예요,보통이에요,화면과 비슷해요,163cm,45kg,상의 44,"색상과 옷 질감은 보통입니다~!
넥라인 떨어지는 부분은 예뻐요 ☺️

가격만큼의 옷인 것 같아요. 
팔 길이는 긴 줄 알았는데 사진에서 보이는 것처럼 보통입니다.

마감처리가 조금 부족해 보여요 🥹
급해서 산 거라 나름 잘 입을 것 같아요!"
4j7CjMvV,상위 10%,24.11.08,아이,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,46kg,상의 55,"아무거나 툭 받쳐 입기 좋은 아이템요~
부드럽고 가벼워서 집에서도 입고 싶어질꺼 같아요.
두꺼운 소재나 부드럽지 않으면 외투나 조끼 등 곁들여 입기가 불편한데 얘는 정말 아무거나 다 소화됩니다~
이런걸 정말 득템이라하죠~^^
색 별로 또 구매할 예정이예요~"
4j7CjMvV,상위 10%,24.11.08,블랙,선택안함,정사이즈예요,아주 만족해요,화면보다 어두워요,160cm,46kg,상의 55,"아무거나 툭 받쳐 입기 좋은 아이템요~
부드럽고 가벼워서 집에서도 입고 싶어질꺼 같아요.
두꺼운 소재나 부드럽지 않으면 외투나 조끼 등 곁들여 입기가 불편한데 얘는 정말 아무거나 다 소화됩니다~
이런걸 정말 득템이라하죠~^^
색 별로 또 구매할 예정이예요~"
4j7CjMvV,상위 10%,24.11.08,모카,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,46kg,상의 55,"아무거나 툭 받쳐 입기 좋은 아이템요~
부드럽고 가벼워서 집에서도 입고 싶어질꺼 같아요.
두꺼운 소재나 부드럽지 않으면 외투나 조끼 등 곁들여 입기가 불편한데 얘는 정말 아무거나 다 소화됩니다~
이런걸 정말 득템이라하죠~^^
색 별로 또 구매할 예정이예요~"
4j7CjMvV,상위 10%,24.11.08,그레이,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,46kg,상의 55,"아무거나 툭 받쳐 입기 좋은 아이템요~
부드럽고 가벼워서 집에서도 입고 싶어질꺼 같아요.
두꺼운 소재나 부드럽지 않으면 외투나 조끼 등 곁들여 입기가 불편한데 얘는 정말 아무거나 다 소화됩니다~
이런걸 정말 득템이라하죠~^^
색 별로 또 구매할 예정이예요~"
Gdmpnfi5,상위 5%,24.10.30,그레이,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,171cm,63kg,상의 55,"그냥 가을겨울에 입을 기본티로 가볍게 샀는데 입자마자 너무 좋았어요..
재질은 쫀득하고 가벼워서 몸에 착 달라붙고 생각보다 되게 따듯해서 지금 날씨에 아우터 하나만 입어도 후끈하더라고요!
다른 색도 더 구매할려고요!"
DQAxvRCr,상위 10%,24.10.26,블랙,그레이,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,58kg,상의 55,"너무 너무 마음에 듭니다
딱 달라붙으면서도 너무 핏하진 않은 느낌 편하고 부드러운 재질이거 잘 늘어서 입기도 편해요!
이너로 매치하기도 좋을것 같고 안에 레이어드해서 입기 너무 적당한 핏과 재질을 갖고 있어요!!
이거 색별로 쟁여듀고 싶네요 정말 마음에 들어요!!
쫀쫀한 기본 이너티 찾는다면 완전 추천합니다!
기장도 크롭이 아니라서 좋은것 같아요!!"
