아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
자유롭게살고싶다,탑리뷰어,24.11.28,Gray(기모버전),Free,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,53kg,상의 55,"이너웨어로 산 옷들 중에 가장 잘 산 것 같습니다~! 가격이 많이 할인 했을 때 우연히 세가지 색으로 기모 티셔츠를 깔별로 사게 됐는데 제 몸에도 사이즈가 편안하게 딱 맞으며 핏도 기모 티셔츠 중 가장 예뻐서 사길 잘한 것 같네요~!! 얇고 가볍지만 기모안감이라 감촉이 부드럽고 따뜻합니다. 추운 날에 셔츠, 맨투맨, 니트 안에 입을 옷으로 잘 산 것 같네요~!!"
코코난누나,상위 5%,24.11.11,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,53kg,상의 44,"☑️착용감
두께가 너무 얇을까 걱정했는데 사계절용으로 적당해요
색 비침도 없고 임산부라 스판끼 아예 없으면 불편한데 스판끼도 있어서 착용감이 편했어요!
가격이 저렴해서 소재가 안좋을까 걱정했는데 가격대비 좋습니다

☑️디테일, 핏
요런 기본티 보통은 팔부분이 짧은데 손 살짝 덮는 기장감까지 맘에 들었고 넥라인 파진걸 선호하지 앟는데
딱 부담스럽지 않을 정도로 파져서 더 잘 입어질거 같아요 :)"
TAJJpI34,상위 5%,24.11.23,Ivory(기모버전),Free,정사이즈예요,보통이에요,화면보다 어두워요,167cm,62kg,상의 66,"아이보리 기모 없는 버전을 사고 마음에 들어서 쟁여놀까싶은 마음에 아이보리 기모 있는 버전도 구매했어요. 색깔 차이가 좀 있더라구요, 기모 있는 버전이 조금 더 노란끼가 돌아요. (첫번째 사진 왼쪽-기본, 오른쪽-기모, 두번째 사진 아래-기모)
그리고 기모가 있기는 한데, 생각보다 옅게 들어있어요. 거의 없다고 봐도 무방할 것 같은 보드라운 털실이 좀 뭍어있는 느낌..(세번째, 네번째 사진 - 기모 티셔츠 내부)

기모 없는 버전 - 상대적으로 쨍한 화이트, 보들보들하지만 손으로 만져보면 면의 결이 느껴지는 정도의 빳빳함은 살짝 있음.
기모 있는 버전 - 상대적으로 노란기/탁한색. 좀 더 부들부들함. 하지만, 입었을 때 왜인지 모르겠으나 더 비치고, 기모 없는 버전 티보다 더 핏한 느낌.

이너티로 너무 딱붙지도, 오버핏도 아니라 맘에 들어서 또 샀는데, 다음에 또 구매할거라면 저는 그냥 기본티로 살 것 같아요. 기본 아이보리티는 정말정말 만족합니다."
히콩,탑리뷰어,24.10.14,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,50kg,상의 44,레이어드 하기 딱 좋아여! 왜 이제서야 샀나.. 살짝 비침이 있긴 하지만 스킨색 속옷입고 입으면 단독으로도 충분히 입을 수 있어요! 소매가 길어서 너무 좋았구요! 넥부분도 답답해보이지 않아 좋았습니다! 컬러별로 사고 싶은템! 다른 컬러들도 사려구여
yimqzQUi,상위 20%,24.09.30,Gray,Free,정사이즈예요,보통이에요,화면과 비슷해요,153cm,44kg,,이쁘게 딱 떨어지는 핏이에요! 근데 오늘 처음입고 나갔는데 마감처리 아쉬워요…. 넥라인 마감부분이 저렇게 뜯어졌어요ㅠㅠ 이미 입고 난 뒤고 가격도 저렴해서 환불은 못하지만 다음부터는 검수 잘 부탁드립니다!
무정쓰오오티디,,24.06.16,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,48kg,상의 55,"아주 야물딱지게 몸에 적당히 핏되는 예쁜 티셔츠입니다!!구매했던 기본 티셔츠 중에 탑 순위에 들정도로 맘에 들어요. 맘에드는점 아래와 같습니다
1. 티셔츠 안에 나시 안입는거 선호하는데 아이보리임에도 블랙속옷 색상 비침 없고, 모양 비침도 없음
2. 너무 달라붙지도 너무 헐렁하지도 않은 적당한 핏감에 적당히 긴 소매에 여리여리함 연출 가능하고, 넥라인이 예뻐요!
⭐️3. 면티셔츠 줄어듦 때문에 원래 건조기 안돌리는데 실수로 돌렸음에도 줄어듦, 변형 없음 ㅜㅜ
가격까지 이렇게 착한데 안살 이유가 있나요?? 무조건 강추에요!"
gALlRjnO,,24.02.18,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,57kg,상의 55,"질은 텐션 있는 재질은 아닌데 오히려 그게 좋고 제가 팔이 되게 긴 데도 손목 넘어서까지 와요 너무 맘에 들어서 더 사려구요
다만 건조기에 넣었을 때 줄어들지 않을까 싶은데 아마도 줄어들 것 같아서 관리 잘 해야 될 것 같아요 쇠골 뼈 보이고 너무 예쁘"
5UhcIEfs,,24.02.13,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,53kg,상의 44,(흰색 착샷) 상표에 LYDIA 라고 적힌 동일제품을 타사에서도 많이 파는데 받아보고서야 알았네요 제가 주문한 타사 제품보다는 900원 비쌉니다 뭐 별 차이 없긴 하지만… 퀄리티는 가격 대비 아주 좋아요! 짱짱하고 쫀득하고 실밥도 거의 다 정리돼서 왔습니다. 물론 오래 입을 티셔츠로 생각되진 않는데 이 가격 티셔츠면 다 비슷할듯 하네요
5UhcIEfs,,24.02.13,Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,53kg,상의 44,(그레이 착샷) 상표에 LYDIA 라고 적힌 동일제품을 타사에서도 많이 파는데 받아보고서야 알았네요 제가 주문한 타사 제품보다는 900원 비쌉니다 뭐 별 차이 없긴 하지만… 퀄리티는 가격 대비 아주 좋아요! 짱짱하고 쫀득하고 실밥도 거의 다 정리돼서 왔습니다. 물론 오래 입을 티셔츠로 생각되진 않는데 이 가격 티셔츠면 다 비슷할듯 하네요
sama******,,25.01.13,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,47kg,,"첫구매로 100원에 샀어요.

골지 느낌 있는 기본티
목 라인이 딱 이쁘게 잡혀 있어요.

아무래도 흰색이여서 그런지 살짝 비치는 감이 있긴한데 단독, 이너로 입어도 괜찮을 것 같아요. 

팔 길이는 살짝 손목 아래로 내려와요.

느낌이 보들보들해요.

실밥 튀어나온 부분이 있긴한데 잘라서 잘 입을 것 같아요. 그리고 배송 왔을 때 검은 솜털이 붙어있었어요.

핏이 너무 예쁘고 달라붙지만 부담스럽진 않아서 좋아요. 다음에도 사서 입을 것 같아요."
asmm****,,25.01.13,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,49kg,,"와 저 팔뚝살 많은 편이라 이너로 입으려 산 옷인데, 팔뚝 부각 싹 잡아줘요.. 흰색이라 살짝 비쳐서 이너로 입을 것 같긴한데, 검정색 사면 단독으로 입어도 예쁠듯 ㅠㅠ 넥 라인이 막 엄청 파인 느낌이 아니라 약간 보트넥처럼 가로로 길어서 부담스럽지도 않고 한쪽 어깨 살짝 내려도 넘 예쁠 것 같아요.. 검정색도 살 것 같습니다 ㅜㅜ"
