아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
떠잉,상위 1%,24.09.20,아이보리,긴팔,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,67kg,상의 66,"163 / 68 팔뚝부자의 찐후기 🫢

이런 기본 티사면 항상 내복같고 팔뚝부각 없었던 적이 없는데 요 제품은 널널하이 너무 예쁘게 딱 맞아요!

소매길이가 살짝 긴데 그게또 요즘 갬성아닌가 ㅎ 싶고 깔별로 구매하려고요~

기본티에 청바지 입고싶은데, 프리사이즈는 작고!
빅사이즈쇼핑몰옷은 큰 애매한 통통이들에게
추천합니다 ✔️"
35mlsFG1,탑리뷰어,25.01.09,블랙,긴팔ver,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,58kg,상의 66,"목이 짧아서 스퀘어넥으로 샀다가 너무 허벌나게 파져서 유넥으로 다시 구매 했습니다😂ㅜ반팔도 구매해서 입었다가 너무 만족했어서 긴팔도 구매 했는데 핏도 예쁘고 생각보다 적당히 파여있어서 답답해 보이지도 않고 딱 좋네요!!스퀘어넥은 이것보다 훠어어얼씬 더 파져서 브라 까꿍 할 정도라 어좁이시면 유넥 구매하시길,,ㅜ재질은 걍 딱 가격만큼 하지만 얇기도 적당하고 가성비 인것 같아서 너무 좋습니다!가슴 좀 있고(75D)팔뚝 부자인데 꽉 끼지 않고 적당히 널널하고 공간 남아서 좋습니다!!색별로 쟁일까 생각중,,ㅎ"
CnhnOMXv,상위 5%,24.12.23,아이보리,긴팔ver,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,입었을때 여리여리해 보여요. 기장감도 너뮤 길지도 짧지도 않고 너무 얇지 않아소 봄이나 가을에는 단독으로 입을 슈 있을 거 같고요. 겨울에는 이너로 입기도 좋을 거 같아요. 면도 부들부들하고 넥라인이 꽤 탄탄해서 오래 입을 수 있을듯 합니다. 여름되면 반팔도 사서 입으면 좋을 고 같아요.
9LNqAauP,상위 15%,24.12.20,그레이,긴팔ver,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"기본 티셔츠로 딱이에요!!!
배송받자마자 첨 입었을때는 생각보다 커서… 당황했는데 세탁 + 건조기 한 번 돌렸더니 조금 줄은 것 같아요! 사진은 세탁 + 건조기 한 번 돌린 거 입고 찍은 거에요! 그래도 여유로워요! 팔뚝도 싹 가려줘서 굿이에욤~~!~! 근데 팔은 살짝 길어요ㅠ 그래도 만족합니다!"
LIc3kFKB,상위 5%,24.12.18,네이비,긴팔ver,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,63kg,상의 55,재질도 부드럽고요 색감도 이뻐요! 화면과 비슷한듯 비슷하지 않는데 실제로 보면 좀 더 칙칙X 맑게 보입니다. 저의 팔뚝살을 가릴 수 있는 옷이라니.. 감개무량함 기장도 저같은 난쟁이 똥자루 비율에도 괜찮은 기장이라 좋음ㅋ 나같은 둥댕이 분들도 잘 입을 수 있을 것 같아요 잘 입겠습니다
뿌용뽀용,상위 5%,24.12.17,아이보리,긴팔ver,생각보다 커요,보통이에요,화면과 비슷해요,165cm,48kg,상의 44,상당히 얇아서 비침 살짝 있어요 소재 자체는 부드럽고 넉넉한 핏이라 부담스럽게 보이지는 않을 것 같고 캐주얼한 무드에도 잘 어울리네용 그리고 데일리로 입기에도 좋아요 !! 다만 흰티라서 자주 입고 자주 세탁하게 되면 그렇게 오래는 못 입을 것 같아요 그래도 가격값은 하는 것 같아서 만족이에요 !!
wt3sqcKq,상위 1%,24.12.12,아이보리,긴팔ver,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,50kg,,아니 핏이 너무 예뻐요 적당히 파여있어서 안답답해 보이고 소재도 막 싼티나는 그런 소재는 아니고 적당히 얇고 제가 팔이 긴 편인데도 팔 부분이 길어서 여리여리 해보이고 그냥 최고에요ㅜㅜㅠㅜㅠ 급하게 필요해서 직진배송이길래 시켰는데 진심 킹왕짱임.. 후리스나 아우터 안에 가볍게 입기도 너무 좋아용ㅎㅎㅎㅎ너무 자주 입어서 또 시켰어요 ^_^ <3 히
옷많은부자할머니,상위 30%,24.12.11,그레이,긴팔ver,정사이즈예요,보통이에요,화면과 비슷해요,162cm,57kg,상의 66,"팔뚝 두꺼우신 분들 이거 사시고 광명 찾으세여…
제가 진짜 동석팔뚝 1등인데 팔 부분이 넉넉해서 하나도 안부담스럽고 자동 여리여리 쌉가넝 ㅋ
이거 입고 살빠졌다는 소리 들었어요 ㅋㅋㅋ 쿠헬헬
근데 그레이색보다 흰색이 좀 더 얇고 넉넉한 느낌이네요? 넥라인도 적당히 파져있고 넘 맘에들어요ㅠㅠㅠ"
zctpyvHU,상위 25%,24.12.11,블랙,기모 티셔츠ver,정사이즈예요,보통이에요,화면과 비슷해요,160cm,57kg,상의 55,"다른 컬러 구매 후에 핏이 너무 맘에 들어서 기모 버전으로 재구매했어요!
생각보다 얇은데, 생각보다 따듯하네요
비침도 조금 있는데, 입었을 때는 전혀 없고 빛에 한겹만 대고 봤을 때만 보여요 (입는 데에는 지장 없음)"
선크루,상위 20%,24.12.05,아이보리,긴팔ver,정사이즈예요,보통이에요,화면과 비슷해요,170cm,68kg,상의 77,"흰색 기본티가 없어서 지그재그 후기 열심히 찾아보고 
구매했는데 잘 산 것 같아요.
프리사이즈라 입었을 때 작을까봐 걱정했는데 사이즈가 생각보다 널널하더라구요. 
기장은 키 170이 입었을 때 골반보다 조금 위까지 옵니다.
다만, 생각보다 소재가 얇아서 안에 입은 속옷이 비치네요ㅠ 다른 옷과 레이어드해서 입기에는 좋아요"
