아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
leahhhon,탑리뷰어,24.11.24,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,46kg,상의 44,"목 부분이 꽤 긴 편이라 펼쳐입기는 좀 불편하고
바깥으로 한번 접거나
은근히 안쪽으로 접어서 반목처럼 입는 것도 편해요
재질이 엄청 부드러워서 거슬리지 않아요👍

전체적인 핏은 완전 정석이라
너무 붙지도 않고 벙벙하지도 않은게 이너로 딱
대신 긴팔에도 부족하지않는 소매기장이 좋습니다🫶

기모가 엄청 얇게 들어가는거라 비침이 없진 않아요
그래도 기본티보다는 확실히 적고
밝은 회색인데도 비침 거의 없어서 좋더라구요
개인적으로 차콜도 있는데 이게 손이 더 많이가요🙌
부해보이지 않는 두께라 오히려 이너로 좋아요 ㅎㅎ"
leahhhon,탑리뷰어,24.11.24,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,46kg,상의 44,"작년까지 잘 입다가 올해 겨울맞이 재구매🫶
추위 많이 타시는 분들 이거만한게 없다니까요
다른 사람들한테도 많이 더워보이지 않으면서
나는 따듯할 수 있어서 일교차 큰 가을 초겨울에 최고👍

대신 몇번 빨래하면 안감기모가 살짝 동글동글 뭉쳐서
1~2년 봄 가을 겨울 뽕빼서 입고 재구매 추천이요
일단 저는 3번째랍니다🤭"
OrMDPVlD,상위 5%,24.12.17,올리브,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,51kg,상의 55,"올리브색이 튀지않고, 예쁩니다. 얇게 기모들어가 있어서따듯하고 너무 부드러워요, 목도 타이트하지 않아서
편합니다. 다른색상도 사려고요~^^"
3bh771Os,상위 20%,24.12.05,딥블루,,정사이즈예요,보통이에요,화면보다 어두워요,175cm,63kg,상의 66,"따가움에 예민한데 부드러워서 좋음👍
그리고 팔이 긴 편이라 소매 긴걸 좋아하는데 손등 살짝 덮어서 좋음
핏은 상의 66사이즈 입는데 어깨는 딱 맞고 허리와 배부분은 살짝 여유있음 
다만 속기모가 살짝 들어가있긴 하지만 겨울에 입기는 얇아서 그점이 아쉬움"
ZsSMcu9R,상위 10%,24.12.04,오트밀,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,50kg,상의 44,"진짜 너무너무 예뻐요!! ㅠㅠ 사길 잘했어요 배송은 제가 구매했다는 것도 잊을만큼 느렸지만 예뻐서 괜찮아요 
색이 정말 제가 딱 원하던 찾고 있던 색입니다 레몬버터같은 느낌 안에도 얇게 기모가 있는거같은데 더 부들부들하고 느낌 좋아요ㅠ 짱짱"
arSZ7f4z,,24.10.30,네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,48kg,상의 55,"너무 예뻐요!!! 핏도 너무 예쁘고 편합니다!!! 
그리고 따뜻해서 겨울에도 입을 수 있을 것 같네요!! 
👍🏻👍🏻👍🏻👍🏻👍🏻2개 샀는데 다른 색도 구매할 생각 있습니다!"
lhy9*****,상위 15%,24.01.03,오트밀,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,42kg,상의 44,"보여지는 색 그대로에요.
노란 베이지색 느낌이 아니라, 흰색에 회끼가 은은히 섞이고 명도와 채도가 쫙 빠진 색이에요.
여름쿨톤한테도 어울릴 색입니다.
쨍한 흰색 말고 부드러운 흰색 입고싶으신 분들에게 추천해요.

재질 부드럽고 적당히 원단 톡톡하니 두꺼워서 
이거 하나만 입어도 갖춰입은 것 같아요.
비침은 안에 검정속옷 입어도 대놓고는 안 보이는 정도에요.
빛 비추면 보여요."
duMHdccH,,23.01.04,오트밀,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,53kg,상의 44,"옷은 항상 98도씨에서만 사요 ! 
기본템으로 폴라티 필요해서 샀는데 기모 보들보들하고 보풀 잘 안 생길 것 같은 재질 !! 
완전 마음에 들어용 기본템으로 최고 너무 딱 달라붙지도 않아욥 ☺️"
0e53rgfe,,22.12.13,오트밀,,정사이즈예요,보통이에요,화면과 비슷해요,166cm,60kg,상의 66,"색도 이쁘구 안에 얇은 속기모도 있어서 입엇을 때 부드러워요 겉에 면도 부드럽구요
하지만 한 서너번 입으니까 벌써 보풀이 올라와요 ㅠㅠ
하나 더 사려는데... 한 두해 입고는 못입겟네요"
ㅎㅉ,상위 30%,22.12.06,오트밀,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"꽉 끼거나 까칠한 원단의 폴라 티셔츠가 싫어서 겨울에 추워도 잘 안입게되는데, 이 제품은 너무 부드럽고 넉넉해서 손이 자주 가더라구요-! 따듯한 건 말할 것도 없구요! 너무 마음에 들어서 겨울 내내 자주 입을 것 같아요:)"
OQfFUWQc,,22.12.04,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,154cm,48kg,상의 55,"배송은 일주일 걸렸어요!
단독으로 입기에도 부담스럽지 않은 핏이고 기모가 들어있어서 겨울철 이너로 입기에도 좋아요! 비치는 정도 (2번째) 이미지 첨부하였어요! 스킨색 속옷 입고 입으면 크게 신경쓰이지 않을 정도입니다"
yaho****,,24.12.06,오트밀,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,"기대했던 것보다 훨~~씬 마음에 들어요! 어깨라인도 좁지않게 봉제되어있고 촉감 부들뷰들 , 넥도 크게 답답하게 조이지도 않아요! 한 철 입어보구 잘 안 늘어나면 여러개 쟁여야겠어요"
