아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
jSTuVEvH,,24.12.02,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,60kg,상의 66,딱 정직한 블랙이고 세탁기돌려도 구김없어서 좋아요 아이보리나 페일라벤더랑은 또 조금 다르게 약간 두번째같은 결이 보여요! 사진상 잘 안보여서 밝기 조절했습니다 원래 색상은 처음 사진과 동일해요! 한주 입어보고 후기올리는데 마음에 듭니다
4Hs9KH3J,상위 5%,24.11.17,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,58kg,상의 55,"작년에 아이보리 구매해서 입고 괜찮은거 같아서 고민하다가 멜란지그레이 사봤는데 이게 훨씬 맘에들어요!!
노란기가 안받는편인데 아이보리는 좀 노란기돌아서 화이트가 없는게 아쉬웠는데 이컬러는 입어보자마자 너무 맘에들어서 바로 입고나왔네용 ㅠ 페일라벤더도 사고싶은데 좀 어두워보여서 다른 컬러도 더 추가됐으면 좋겠어요 그러면 깔별로 모을거같음 🥰 보들보들하고 최고의 기본티에요"
rgb1*,상위 15%,24.10.15,블랙,,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,53kg,상의 55,"부들부들 일단 너무 좋아요!
아이낳고 상체가 여리여리한핏이아니여서 
매번 상의고를때마다 고민이 많았었는데 

기본티 고르기가 젤 어렵더라구요 
너무 딱 붙으면 보기싫고 너무 부해보여도 보기싫고 
이제품은 살짝 라인잡아주면서 여유도있어서 
착용하시기너무좋아요"
행복한쿼카,상위 5%,24.10.12,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,159cm,59kg,상의 66,"159/59/66사이즈를 입는 사람입니다

저는 회색,아이보리,흰색 3장을 구매했습니다

이티를 입었을때의 느낌은
방방한 핏에 목이 생각보다 많이 파여있더군요

저는 전체적으로 살집이 있고 가슴이 아래로 쳐져있어 목부분이 너무 들어나면 휑해보이는 스타일인데

여리여리해보인다는 다른분들 리뷰와 달리
제 체형에는 옷을 단독으로 활용했을때
넥라인은 내복같고 전체적인 실루엣은
부해 보여서 무조건 레이어드 합니다 ㅜㅜㅎㅎ
그럼에도

몸에 닿는 감촉도 부들부들한 촉감이 기분좋고 
소재가 얇아서 지금 계절에 기본템 이너로 가볍게 받쳐 입고 있어요"
그럼피,상위 5%,24.09.01,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,41kg,상의 33 이하,기본티로 입기 좋아요. 흰 색은 조금 비쳐서 안에 나시를 꼭 입으셔야 해요. 엄청 여리여리해 보이고 생각보다 훨씬 만족합니다. 가을에 이너로 많이 활용할 거 같아요. 소매기장도 딱 적당한 거 같아요.
3fzn5vGc,,24.12.11,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,62kg,상의 66,"정말 만족스러워요, 겨울이라 니트안에 입을 용도로 구입해봤는데 보들보들하고 너무 딱 붙지도 않아서 좋았습니다. 하나 사보고 좋아서 다른색 쟁이러 추가구매했어요."
zauKpedx,,23.04.23,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,54kg,상의 55,"무난해요! 부드럽고 좋아요. 
얇아서 시원한데 비치지 않아서 좋고, 
어깨도 깔끔하게 트여 있어서 답답하지 않아요! 
끈 나오게 입는 걸 좋아하는데, 일부러 꺼내야 하는 정도이고 평소에는 잘 안 보일 것 같아요."
핀카츄,상위 5%,24.12.23,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,64kg,상의 66,"촉감이 정말 너무 좋아요...
블랙도 샀었는데 너무 마음에 들어서 화이트도 샀습니다
내복느낌 전혀 없고 단품으로도 입을 수 있어요! 대신 화이트라 약간 비침이 있다는 점 감안하셔야됩니다
팔다리 긴 편이고 허리 짧고 골반이 넓은 체형인데 딱 골반 위에 널널하게 쌓이는 정도 기장에 손등까지 좀 못 오는 팔길이입니다, 몸통 부분도 엄청 널널해요! 66~77까지 루즈핏으로 입을 수 있는 정도입니다
목은 약간 파이긴 했는데 양옆으로 파인 보트넥 느낌보다는 위아래로 파인 유넥의 느낌이 강합니다"
Zn706ma6,상위 5%,24.12.04,멜란지그레이,,정사이즈예요,보통이에요,화면보다 밝아요,161cm,70kg,상의 77,"촉감은 부드럽고, 안에 받쳐입기 좋은 이너티 같아요
암홀이 좀 주름지는것 같지만
소매기장,가슴너비,총장 등 핏에 큰 단점없이 무난한 티셔츠 같아요.

안에 입은 속옷이 울퉁불퉁 드러나서 아쉽긴해요."
