아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
CfKdtFAM,상위 10%,24.11.14,아이보리,베이지,정사이즈예요,보통이에요,화면과 비슷해요,158,46,55,넥라인이 딱 적당히 파여있어서 제일 만족한 부분이에요 아이보리는 쨩한 화이트여서 너무 좋아요 근데 베이지는 연한 노랑에 가까운색이여서 실망.. 그래도 가성비좋아서 입으렵니다 퀄리티는 블랙이 가장 단딘하고 그다음 베이지 그다음 아이보리 에요 색이 연할수록 재질이 많이 흐물거려요 ㅠㅠ,Free
KNbJOkRN,,24.05.19,아이보리,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,160,51,44,"이 쇼핑몰에서 판매하는 반팔도 같이 샀는데 그건 속옷이 안보이는데요. 이 나시는 속옷 라인이 보여요. 가슴에 완벽히 밀착하는 속옷을 입어야 좋을듯요. 부유방 커버돼서 좋고요. 질 나쁘지 않아요. 속옷같은 나시는 이너로 입는게 아니면 부담스러운데, 이건 속옷은 티나지만 속옷같은 느낌이 아니라 옷 느낌이라 이너가 아니어도 괜찮을듯요. 대신 레이스 속옷 입음 티나긴 할 듯해요.",Free
hw97****,상위 20%,25.01.08,아이보리,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,티 안에 입으려고 같이 샀ㄴ는데 이게머람 재질 일단 보들보들 합격.. 막막막 쪼이는 거 1도 없음 합격.. 색상 화이트 합격 .. 건조기 돌리면 좀 늘어나지 않을ㅋ가라는 생각....(🙄,Free
LouJA39P,상위 25%,24.10.25,아이보리,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,164,55,55,기본 나시가 필요해서 주문했는데 아주 만족합니다!! 블랙이랑 화이트 다 베이직하고 예뻐서 마음에 들어요:) 레이어드해서 입어도 되고 안에 그냥 단독으로 입어도 좋을것 같아요!,Free
하니닝,,24.11.17,블랙,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,171,56,55,길이도 적당하고 소재도 좋아요 이너로 레이어드하기 좋아요 ㅎㅎ 자주 입을거같아요 흰색도 살까싶어요 굿굿 좋습니당 ㅎ,Free
0ZrDqwa9,상위 20%,24.10.16,아이보리,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,165,62,55,"오호 사이즈도 적당하고 이너로 입으면 
가릴 곳 다 가려줘서 딱임 굿굿
재질은 면인데 되게 탄탄하고 
길이도 골반위로 와서 좋네여~",Free
DE9xwvCC,상위 15%,24.10.09,블랙,선택안함,정사이즈예요,보통이에요,화면과 비슷해요,159,45,44,"짱짱하고 재질도 좋고 퀄리티 좋은데 어중간한 길이감때문에 바지이 넣기도 그렇고 빼기도 좀 애매해요. 겨드랑이 살 많은 분들은 좀 당황하실 거예요 그리고 먼가 너무 잘 붙는 재질이라 좀 당황했어요 
밖에 있으면 먼지 다 붙어요",Free
Z0TzuDj0,,24.10.09,아이보리,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,160,50,55,"전에도 사서 입었었는데 이거 나시 너무 좋아용
구매내력찾아서 재구매합니당 ㅎㅎ 
핏이나 디자인 탄탄함 쫀쫀함 만족도 100이고요
늘어짐 전혀없습니다 !! 회색 코코아색도 있었음 좋겠어용 ㅎ",Free
BZKSj64X,,24.10.05,아이보리,블랙,정사이즈예요,보통이에요,화면과 비슷해요,161,68,66,와 이거 진짜 요물이에요 다른 쇼핑몰이나 다른 브랜드에도 나시는 많이 파는데 요즘 블랙업에 빠져서 그냥 여기서 나시 산건데 다른 쇼핑몰에 비해 조오오금 비싸긴하지만 진짜 너무 편하고 좀 통통한 편인데도 편하고 짱짱하게 잘 입어ㅛ어요,Free
zzzzn,상위 20%,24.08.22,블랙,블랙,정사이즈예요,보통이에요,화면과 비슷해요,152,50,55,"처음 나왔을 때부터 꾸준히 계속 사서 입는 중인데 점점 재질이 달라져요 첨에 산 거는 두툼하고 늘어짐이나 줄어드는 거 없고, 거의 매일 입고 건조기 돌려도 아직 보풀 하나도 안 났거든요 두번째로 산 건 얇아서 건조기 몇 번 돌리니까 냅다 보풀 생기고 이번에 산 건 두번째꺼 보단 괜찮은지 보풀은 아직 안 나네요 좀 시원한 재질로 바뀐 것 같아요 첫번째꺼만큼 좀 오래 입을 수 있지 않을까 싶네요",Free
CfKdtFAM,상위 10%,24.11.14,블랙,선택안함,정사이즈예요,아주 만족해요,화면과 비슷해요,158,46,55,찐한 검정이여서 좋고 딱 좋은 넥라인 깊이에요 너무 갑갑도 아닌 파임도 아닌 !! 재질도 짱짱해서 오래 잘입을거같아요 아주 만족입니다,Free
