아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
psb7******,상위 1%,24.12.01,딥핑크,,정사이즈예요,보통이에요,화면과 비슷해요,154,42,44,사막투어 가서 입으려고 샀는데 색감이 쨍하고 포인트 돼서 넘넘 예뻤어요🩷 아무렇게나 찍어도 사진 잘 나오더라구요 동남아 룩으로 추천! 물론 마감이나 퀄리티가 엄청 좋은 건 아니라서 사진용으로 입기 딱 좋은 거 같아요 그래도 가격 대비 만족입니당,Free
JOmFwMNL,,23.10.31,라이트그린,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,167,57,55,여행가기전에 급하게 샀는데 제일 맘에들었던 옷이에요 색도 약간 톤다운된 라이트그린이고 가볍고 잘안흘러내리고 너무 만족했습니다. 잘 보관했다가 내년 여름에 잘 입고 더운나라 갈때마다 챙겨가서 입을거 같네여,Free
yXFL9blo,,23.08.09,베이비화이트,FREE,정사이즈예요,보통이에요,화면과 비슷해요,160,52,66,"일단 찜해놓은지 오래됐는데 딱 휴가가기전이라 구매해봤어용
옷 살때 상세페이지보다 리뷰 먼저 살피는
저같은 사람들 있을까봐 한줄 요약 먼저 해요

그냥 사세요 만원대잖아요? 무료배송에 직진배송? 
되게 큐티뽀짝한데 과하거나 부담스러운 노출도 아님,,
안살이유가 뭐지..?

직진배송 도른거같어요,,오늘 오전에 주문했는데 오늘 10시전에 도착함여,,감격 그자체,,,

검정색이 더 끌렸는데, 검정색 비슷한 느낌의 원피스도 있어서 화이트로 구매해봤습니당
입자마자 안색 환해지는 매직..

근데 가슴팍에 저렇게 안으로 넓게 들어간 안감이라거 해야하나요,,?
그 부분이 깔끔하게 쏙 안들어가고 올라와서 보여요
밝은색이라 그 부분이 비치기도 하구요,,
그게 너무 아쉬운데 그냥뭐,, 일단 귀여운데 누가 그렇게 제 옷 가슴팍 디테일을 살펴본다구요,,?
됐어 그냥 사세요",Free
Vu8QmKqI,,23.06.08,코튼블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,166,52,55,"여행 와서 입을려고 샀는데
여행중 가장 마음에 들었던 룩이에요
배송도 빨랐고 오픈하자마자 블랙 컬러 보고 와 이거다!! 싶었어요
소재도 바스락 거리고 그냥 제일 마음에 들었어요 👏🏻",Free
ku7DVxvO,,23.04.15,딥핑크,FREE,생각보다 커요,보통이에요,화면과 비슷해요,150,46,44,"마감이 잘못된 건지 왼쪽, 오른쪽 어깨끈 마감라인이 다르네요. 그래서 양쪽 핏이 달라요. 그리고 옆태는 예쁜데 정면은 좀 부해보입니다. 다시 교환,환불은 귀찮아서 안하는 편이라 그냥 입을 거긴 합니다. 색상은 핑크밖에 안남아서 핑크 샀는데 포인트로 예쁩니다.",Free
g6kmgoQ7,,23.04.13,라이트그린,FREE,작아요,보통이에요,화면과 비슷해요,165,75,77,덩치가 있어서 도전 못하다가 해외여행에서 처음으로 나시 도전해봤는데 가슴부분이 작았던 거 말고는 괜찮았어요 핏이 이뻐서 여행갈 때 자주 입을 거 같아용 뚱뚱해도 입을 수 있어용~~이쁩니다~~부해보이진 않아요~!!도전해보세용,Free
P6xSdLaK,,23.04.13,딥핑크,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,시원한 소재라 좋아요~~색감도 사진 잫 나와요!! 근데 저는 조금 마른 편이라 살짝 큰 감이 있긴한데 원래 이런 스탈은 좀 헐렁하게 입는 게 이쁜 것 같아서 괜찮아요~ 앞에가 좀 더 짧은 스탈입니당 밑에 와이드 바지랑 입으면 이뻐요!,Free
47ERLAiy,상위 10%,23.03.28,딥핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164,50,55,"핫핑크 이뻐요 여행가서 제일 잘입었어요
부유방흘러넘쳐서 민소매 꿈도 못꿧는데
얘는 어깨끈이 넓어서 앞에서 봤을때 가려져요
사진보면 옆모습에서 보이는 부유방이
앞에서는 가려집니당 ㅎㅎ
길이는 앞이 좀더 짧은 스타일입니다!꙼̈",Free
ㅅr람,,23.02.14,라이트그린,FREE,생각보다 커요,보통이에요,화면과 비슷해요,162,44,44,"어벙벙한 핏이겠다고 예상하긴 했었는데 
생각보다 더 앞뒤로 통이 컸어요
크로스백으로 누르면 좀 괜찮으려나 했는데 ..
색상은 홈페이지랑 크게 다르지 않았어요 
연두색은 아니고 녹색 느낌이에요
자연적인 곳으로 놀러가면 입기 좋을 것 같아요",Free
gWb9RwqC,,22.08.25,라이트그린,,정사이즈예요,아주 만족해요,화면과 비슷해요,154,47,44,진짜 아방하고 귀엽고 이쁘고 사이즈 넉넉한데 커보이지도 작아보이지도 않고 딱 이쁘고 혼자 다 해요.. 제주도가서 입었는데 너~~~~무 맘에 들었어요!!! 핑크색도 살까 고민중이지만! 날이 선선해져서ㅎㅎ 다들 꼭 사세요!!,Free
OmgUTIxq,,24.10.11,진청,,정사이즈예요,아주 만족해요,화면과 비슷해요,160,60,55,너무 마음에 듭니당! 이번에 놀러가서 정말 잘입었어요. 어깨 끈이 넓어서 부담스럽지도 않고 길이는 짧막 하긴 하지만 크롭 수준 아니구요~ 가슴이 좀 큰편이라 나시를 잘 안입는데 이건 쪼이는 느낌도 없고 엄청 편했어요. 부각되 보이지도 않구요. 마침 있던 진청 바지랑 컬러가 딱맞아 셋업느낌으로 잘 입었어요. 흰컬러는 진짜 여기저기 막 입어도 다 잘 어울리더라구요. 12월에 또 더운나라 가는데 그때도 꼭 무조건 챙겨갈겁니다 ㅋㅋ 강추!!,Free
핫캣,상위 15%,24.09.27,코튼화이트,,생각보다 커요,보통이에요,화면과 비슷해요,155,46,44,"제주도 여행가기 전에 사려고했던 옷들이 전부다 품절이거나 배송이 늦어져서 급하게 구매했었어요
생각보다 벙벙한 느낌이 있기는 했는데 바지랑 매치하니까 오히려 더 캐주얼해보이고 여행지랑 잘 어울려서 제 최고착장이라고 할 수 있겠습니다
다음 여름에도 있으면 다른색을 사볼까해여",Free
vm2NAilY,상위 5%,24.09.07,딥핑크,,생각보다 커요,보통이에요,화면과 비슷해요,164,50,55,"여행준비 하다가 쿨톤에 딱인거 같아 구매했어요!
역시 직진배송 최고👍🏻👍🏻👍🏻
품이 생각보다 큰거 같아요~ 어깨끈 박음질이 양쪽이 다르다는 후기가 있던데 저는 괜찮게 왔네요!
사진 찍으면 쨍해서 더 예쁠것 같아요ㅎㅎ",Free
