아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
vB6GNj5n,상위 30%,24.11.03,뮤트카키,,작아요,보통이에요,화면과 비슷해요,160.0,58,55,"자켓안이나 남방안에 읻으려고 구매했는데 디자인도괜찮고 색상도화면과비슷하긴합니다 다만
작아요 55반인데 가슴좀 있으신분들은 안이쁘게커보이고. 딱붙어서 단추열고는 입기부담....",Free
pyr9***,상위 25%,24.10.23,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,다른색상 구입후 마음에들어서 추가로 검정색도 주문요 슬리브리스인데 목이 높고 어깨선이 두꺼워서 부담스럽지않아요,Free
YVUc4qE5,,24.10.21,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,157.0,47,44,"이거 입으면 핫걸 가능
뜨거운 햇볕 피하지 않고 즐길 수 있습니다
기장 괜찮고 적당히 타이즈해서 몸 이쁘게 잡아줘요",Free
hml6***,,24.10.15,크림베이지,,작아요,보통이에요,화면보다 어두워요,156.0,54,77,"색상도 예쁘고 바느질도 튼튼 합니다
디자인도 좋고 어디에나 잘 어울려서
편하게 입을거 같고 실용적일듯 합니다
잘 입을거 같아요",Free
휴지눈사람눙눙이,상위 10%,24.10.12,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,157.0,45,55,"품절 풀리기를 기다렸다가 샀어요
쫀쫀해서 좋아요~
색상은 고민하다가 기본으로 샀고, 여름 되면 포인트 되는 색깔로 더 사려고요",Free
y1u8eqYR,,24.10.12,아이보리,,정사이즈예요,아주 만족해요,화면보다 밝아요,158.0,52,55,스판끼 적당하고 새하얀 화이트예요! 전제척으로 핏도 다 이쁜데 목이 짧은 편이라 좀 답답한 느낌은 있어요 그래도 만족합니다,Free
XRZlpLk4,,24.10.12,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,50,55,크림베이지 입고 너무 좋아서 멜란지그레이 바로 샀어요 쫀쫀하고 노출이 아에없어서 너무 이쁜거같아요 목이 살짝 쨍기지만 그래도 이뻐요,Free
STUwr7m1,상위 30%,24.10.11,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,168.0,53,55,"가격애 비해 질 괜탄ㄹ은데 그렇게 좋은 질은 기대하먄은 안될거같아요 무난하게 아무데나 기본템으로 입기
좋고 배송도 빨랐어요",Free
kCzinsva,,24.10.11,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,53,55,"부들부들하니 좋아요 쫀쫀해요~~
거의 목끝까지 와서 좋아요
텐션도 있어서 입기편하고 잘늘어나지 않을꺼같아 좋아요~",Free
네모빔맞은메모,상위 30%,24.10.11,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,52,55,쫀쫀하니 좋아요 재입고 알림 뜨자마자 바아로 주문했어요 ㅎㅎ 재질도 탄탄하고 길이도 안 짧아서 예쁘게 잘 입을 수 있을 거 같아요,Free
2NLUmYRt,,24.10.10,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,50,66,배송도 빨리 도착했고 퀄리티 진짜 좋아요!! 화면이랑 색상 똑같아요~ 두가지 색상 구입했는데 다른 색상도 또 구입하려구요!!!,Free
2NLUmYRt,,24.10.10,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,50,66,배송도 금방 도착했고 퀄리티 진짜 좋아요!! 화면이랑 색상 똑같아요~ 두가지 색상 구입했는데 다른 색상도 또 구입하려구요!!!,Free
jae3****,,24.10.09,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,158.0,57,55,157cm/57kg의 핏이에요. 저는 허리쪽만 살 안찌고 다 찌는 타입이에요. 요새 살크업해서 팔뚝살이 엄청 쪘고요 보시다시피 부담스러워요ㅎ 하지만 이너로 입을거라 괜찮았어요~,Free
DR6lwei0,상위 25%,24.10.09,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,50,55,"쫀쫀하니 딱 맞았어요!
이런 스타일을 찾고있었는데 너무 맘에 듭니다.
기장도 딱 적당하고 퀄리티도 좋아요
이너로 입기 딱 좋아요!!",Free
v7rFFDpw,,24.10.08,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,158.0,55,55,생각보다 누런 아이보리 컬러예요 (사진과 실물 다름)골지인 것에 비해 엄청나게 쫀쫀한 느낌은 아니니 참고하세요! 기본 이너로 추천!,Free
b1a4**,,24.10.06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,53,55,부유방 가린다고 팔쪽이 좁으면 만세하고나서 부유방이 튀어나오기 마련인데 그런거 없이 정말 잘 가려줘서 좋았고 유교걸들도 입을 수 있는 적당한 노출이어서 한국에서도 편하게 입었습니다😆,Free
qa1qPGz3,,24.10.06,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,43,44,화면에서 보는 색깔 그대로구요 쫀쫀해서 좋아요 나시들 싸구려 늘어나서 흐물흐물거리는거 시른데 요건 나쁘지않네요 ㅎㅎ 추천합니다,Free
YvG44Xlb,상위 30%,24.10.06,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,167.0,60,66,몸에 맞게 잘 늘어나고 색깔도 딱 좋고 골지?느낌인데 질이 진짜 좋습니다 ㅎㅎ 이너로 짱 좋아요 잘 안늘어날 것 같은 느낌나네여,Free
YvG44Xlb,상위 30%,24.10.06,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,167.0,60,66,퀄리티 진짜 좋아요!! 쫀쫀하고 파여있지 않아서 이너로도 입고 여름에 나시로 입을 것 같습니다 ㅎㅎ 색깔별로 쟁일거에요,Free
2tAlftFq,상위 20%,24.10.05,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,50,55,쫀쫀하니 탄력좋고 좋아요 색상고민을 했는데 화이트사길 잘했어요 그래도 그레이 블랙등등 다른색도 잘 입을거같은데 하나만 산게 아쉬워요,Free
EoYrf8O0,,24.10.05,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,160.0,51,55,"벌써 3번째 구매네요. 반팔 안에 또 반팔을 입을정도로 살 보이는 게 정말 싫어하는 1인으로서 너무 좋은 나시입니다!!!
목라인 많이 파이지도 조이지도 않고, 겨드랑이 부분도 잘잡아줍니다. 여러분 한 번 츄라이해보세요. 극락입니다.",Free
kqgMwDxP,상위 20%,24.10.02,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,170.0,57,55,"여름에 입으려고 샀는데 너무맘에들어요!
가격도 재질도 크기도 다 마음에 들어서 다릉삭도 구매했어요! 부유방도 가려주고 짱짱입니다",Free
ZpW4Gq3u,,24.10.02,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,163.0,51,55,쫀쫀하고 두껍구 확실히 싼나시보다 퀄리티가 좋아요 여름이지나서 잘 활용해서 입어야될거같아요 기본템으로 좋습니다,Free
iuEOA4Gl,,24.09.30,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,160.0,47,55,소재는 탄탄해서 목 늘어남도 별로 없고 세탁하고 입어도 괜찮았어요 그리고 부유방을 확 잡아줘서 날씬해보리는 것 같아요 !,Free
Hl2d43ar,,24.09.29,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,52,66,진짜 쫀쫀하고 질도 좋아요 색감도 딱 제가 생각한 색감이라 좋아요 사진보다는 조금 더 갈색느낌이에요 다른 색도 사려구요,Free
H1FMnUlX,,24.09.23,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,55,55,재질도 좋고 시원하고 까슬거리지도 않아요. 여름에 입기 좋았고 가을엔 이 위에 체크셔츠입어주면 이쁠것같아요!!,Free
qcL9Qaio,,24.09.21,뮤트카키,,정사이즈예요,보통이에요,화면과 비슷해요,162.0,51,55,"생각보다 달라붙기는 하는데 색감이 생각한 그대로 뮤트한 카키색이라 이너로 입기 좋을 것 같아요 
부유방 싸악 가려줘서 좋습니다 ㅎ",Free
khgZ4C5f,상위 30%,24.09.19,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"정사이즈에 부유방도 가려주고 예쁜핏이에요
사진에 보이는대로 고양이털이 묻으면 확 티나요~ 빳빳하고 마감도 괜찮게 되어있습니다",Free
IEI5q9tp,상위 20%,24.09.19,소프트라임,,정사이즈예요,보통이에요,화면과 비슷해요,170.0,54,55,짱짱하고 좋아요 색깜 쨍하고 그렇게 널널한 핏은 아닌 것 같아요 그래도 부유방 다 가려지고 늘려서 입으면될듯 저는 타이트 했습니더,Free
나폴리맛마피아,,24.09.15,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,55,55,"작년에 블랙 사서 잘 입고 이번에 화이트도 구매했어요 기본템으로 짱
가슴부분이 덜 파인거 찾다가 구매했는데 재질도 톡톡하고 좋아요",Free
안뚜부뚜뿌뚭,,24.09.15,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,56,66,통통이인데 부유방 잘가려주고 배도 잘 커버해줘서 좋았어요 다른사람들도 이쁘다고 칭찬하더라구요!다음에 다른컬러도 구매할게요!,Free
qp49hyFg,상위 10%,24.09.10,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,152.0,45,55,여름에 셔츠 안 이너로 너무 잘 입었어요. 이 가격에 이만한 나시 없습니다. 색은 화면과 같고 소재 탄탄하고 편하게 입기 좋아요,Free
TG2132HU,,24.09.10,뮤트카키,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,다른색 구매후 너무마음에들어서 바로 카키 구매했어요.! 세탁해도 쫀쫀함유지돼서 너무 좋고 더운여름에 많이 입었어용,Free
bW7QnY4j,,24.09.09,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,158.0,55,55,쫀쫀하구 몸매보정도 되요! 겨드랑이부분 조금 쪼이긴 한데 불편한 정도는 아니에요 다른색도 재구매 의향 잇습니다!!,Free
XBuUjJsk,,24.09.08,블랙,,작아요,아주 만족해요,화면과 비슷해요,,,,조금 타이트한데 입으면 이뻐요 블랙이라 먼지가 묻은게 좀 보이긴 해요 하지만 재질도 탄탄하고 좋아요~~~~!!!!,Free
XRZlpLk4,,24.09.08,크림베이지,,작아요,아주 만족해요,화면과 비슷해요,160.0,50,55,옷이 살짝 크롭같이 느껴질수 있는 기장이에요 재질 진짜쫀쫀하고 색도 그대로에요 넘 이쁘네요!!! 그레이도 직진재고 풀리면 사려구요,Free
KOFwSMOM,,24.09.07,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,60,55,"너무 좋았어요 
역시 블랙업은 퀄리티가 좋아서 믿고 삽니다
이번 나시도 부유방 잘 가려주고 재질도 탄탄해서 만족입니당 굳",Free
IqoIKHdF,,24.09.07,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,베이직한 나시인데 속옷도 다 가려주고 묘하게 다른 나시들보다 핏이 좋아요 어깨가 좀 더 예뻐보이는 느낌?? 다른 컬러도 구매하려구요,Free
dQYm8oWO,상위 20%,24.09.06,그레이,,작아요,아주 만족해요,화면과 비슷해요,,,,착용하면 쫀쫀하고 탄탄해요. 잘 망가지지 않을 재질이고 기본으로 갖고 있으면 이곳저곳에 활용하기 정말 좋을 것 같아요!,Free
tIy05SEW,,24.11.08,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,57,55,"저 이 나시 3장째 구매합니다..
진짜 노출 싫어하는분들한테 딱이고 짱짱해서 입어도 잘 안늘어나요 요아이 넘 추천합니당 
색깔별로 다 사고파요",Free
